Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sv8-1,Exeggcute,Pokémon,Grass,Surging Sparks,1,Common,https://images.pokemontcg.io/sv8/1_hires.png,https://images.pokemontcg.io/sv8/1.png,30,,"[{""name"": ""Precocious Evolution"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""If you go first, you can use this attack during your first turn. Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.""}]",Precocious Evolution,,"If you go first, you can use this attack during your first turn. Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.",Fire:×2,,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sv8-2,Exeggcute,Pokémon,Grass,Surging Sparks,2,Common,https://images.pokemontcg.io/sv8/2_hires.png,https://images.pokemontcg.io/sv8/2.png,50,,"[{""name"": ""Absorb"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Heal 10 damage from this Pokémon.""}]",Absorb,10,Heal 10 damage from this Pokémon.,Fire:×2,,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sv8-3,Exeggutor,Pokémon,Grass,Surging Sparks,3,Uncommon,https://images.pokemontcg.io/sv8/3_hires.png,https://images.pokemontcg.io/sv8/3.png,130,,"[{""name"": ""Barrage O'Clock"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""60×"", ""text"": ""Flip a coin for each Energy attached to both Active Pokémon. This attack does 60 damage for each heads.""}]",Barrage O'Clock,60×,Flip a coin for each Energy attached to both Active Pokémon. This attack does 60 damage for each heads.,Fire:×2,,Colorless__Colorless,Exeggcute,,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sv8-4,Durant ex,Pokémon,Grass,Surging Sparks,4,Double Rare,https://images.pokemontcg.io/sv8/4_hires.png,https://images.pokemontcg.io/sv8/4.png,190,"[{""name"": ""Sudden Shearing"", ""text"": ""When you play this Pokémon from your hand onto your Bench during your turn, you may discard the top card of your opponent's deck."", ""type"": ""Ability""}]","[{""name"": ""Vengeful Crush"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""120+"", ""text"": ""This attack does 30 more damage for each Prize card your opponent has taken.""}]",Vengeful Crush,120+,This attack does 30 more damage for each Prize card your opponent has taken.,Fire:×2,,Colorless__Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sv8-5,Scatterbug,Pokémon,Grass,Surging Sparks,5,Common,https://images.pokemontcg.io/sv8/5_hires.png,https://images.pokemontcg.io/sv8/5.png,40,,"[{""name"": ""Call for Family"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for a Basic Pokémon and put it onto your Bench. Then, shuffle your deck.""}]",Call for Family,,"Search your deck for a Basic Pokémon and put it onto your Bench. Then, shuffle your deck.",Fire:×2,,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sv8-6,Spewpa,Pokémon,Grass,Surging Sparks,6,Common,https://images.pokemontcg.io/sv8/6_hires.png,https://images.pokemontcg.io/sv8/6.png,80,,"[{""name"": ""Wander About"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Switch this Pokémon with 1 of your Benched Pokémon.""}, {""name"": ""Tackle"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": """"}]",Wander About|Tackle,|30,Switch this Pokémon with 1 of your Benched Pokémon.|,Fire:×2,,Colorless__Colorless__Colorless,Scatterbug,,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sv8-7,Vivillon,Pokémon,Grass,Surging Sparks,7,Uncommon,https://images.pokemontcg.io/sv8/7_hires.png,https://images.pokemontcg.io/sv8/7.png,120,,"[{""name"": ""Evo-Powder"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""For each of your Benched Pokémon, search your deck for a card that evolves from that Pokémon and put it onto that Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Cutting Wind"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""90"", ""text"": """"}]",Evo-Powder|Cutting Wind,|90,"For each of your Benched Pokémon, search your deck for a card that evolves from that Pokémon and put it onto that Pokémon to evolve it. Then, shuffle your deck.|",Fire:×2,,Colorless,Spewpa,,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sv8-8,Morelull,Pokémon,Grass,Surging Sparks,8,Common,https://images.pokemontcg.io/sv8/8_hires.png,https://images.pokemontcg.io/sv8/8.png,60,,"[{""name"": ""Attach"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Attach,10,,Fire:×2,,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sv8-9,Shiinotic,Pokémon,Grass,Surging Sparks,9,Uncommon,https://images.pokemontcg.io/sv8/9_hires.png,https://images.pokemontcg.io/sv8/9.png,110,"[{""name"": ""Calming Light"", ""text"": ""Once during your turn, if this Pokémon is in the Active Spot, you may make your opponent's Active Pokémon Asleep."", ""type"": ""Ability""}]","[{""name"": ""Spiral Rush"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""60+"", ""text"": ""Flip a coin until you get tails. This attack does 30 more damage for each heads.""}]",Spiral Rush,60+,Flip a coin until you get tails. This attack does 30 more damage for each heads.,Fire:×2,,Colorless__Colorless,Morelull,,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sv8-10,Dhelmise,Pokémon,Grass,Surging Sparks,10,Common,https://images.pokemontcg.io/sv8/10_hires.png,https://images.pokemontcg.io/sv8/10.png,130,,"[{""name"": ""Rescue Kedge"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Put up to 2 Pokémon from your discard pile into your hand.""}, {""name"": ""Annihilating Anchor"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80"", ""text"": ""Before doing damage, discard all Pokémon Tools from your opponent's Active Pokémon.""}]",Rescue Kedge|Annihilating Anchor,|80,"Put up to 2 Pokémon from your discard pile into your hand.|Before doing damage, discard all Pokémon Tools from your opponent's Active Pokémon.",Fire:×2,,Colorless__Colorless__Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
