Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh1-1,Celebi V,Pokémon,Grass,Sword & Shield,1,Rare Holo V,https://images.pokemontcg.io/swsh1/1_hires.png,https://images.pokemontcg.io/swsh1/1.png,180,,"[{""name"": ""Find a Friend"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for up to 2 Pokémon, reveal them, and put them into your hand. Then, shuffle your deck.""}, {""name"": ""Line Force"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50+"", ""text"": ""This attack does 20 more damage for each of your Benched Pokémon.""}]",Find a Friend|Line Force,|50+,"Search your deck for up to 2 Pokémon, reveal them, and put them into your hand. Then, shuffle your deck.|This attack does 20 more damage for each of your Benched Pokémon.",Fire:×2,,Colorless,,PLANETA Igarashi,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,swsh1-2,Roselia,Pokémon,Grass,Sword & Shield,2,Common,https://images.pokemontcg.io/swsh1/2_hires.png,https://images.pokemontcg.io/swsh1/2.png,70,,"[{""name"": ""Absorb"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Heal 10 damage from this Pokémon.""}]",Absorb,10,Heal 10 damage from this Pokémon.,Fire:×2,,Colorless,,sowsow,"Its flowers give off a relaxing fragrance. The stronger its aroma, the healthier the Roselia is.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,swsh1-3,Roselia,Pokémon,Grass,Sword & Shield,3,Common,https://images.pokemontcg.io/swsh1/3_hires.png,https://images.pokemontcg.io/swsh1/3.png,70,,"[{""name"": ""Sweet Scent"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Heal 30 damage from 1 of your Pokémon.""}, {""name"": ""Sting"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Sweet Scent|Sting,|20,Heal 30 damage from 1 of your Pokémon.|,Fire:×2,,Colorless,,Naoyo Kimura,"Its flowers give off a relaxing fragrance. The stronger its aroma, the healthier the Roselia is.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,swsh1-4,Roserade,Pokémon,Grass,Sword & Shield,4,Rare,https://images.pokemontcg.io/swsh1/4_hires.png,https://images.pokemontcg.io/swsh1/4.png,120,,"[{""name"": ""Paralyze Poison"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Your opponent's Active Pokémon is now Poisoned. Flip a coin. If heads, your opponent's Active Pokémon is also Paralyzed.""}, {""name"": ""Mega Drain"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""90"", ""text"": ""Heal 30 damage from this Pokémon.""}]",Paralyze Poison|Mega Drain,30|90,"Your opponent's Active Pokémon is now Poisoned. Flip a coin. If heads, your opponent's Active Pokémon is also Paralyzed.|Heal 30 damage from this Pokémon.",Fire:×2,,Colorless,Roselia,chibi,"After captivating opponents with its sweet scent, it lashes them with its thorny whips.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,swsh1-5,Cottonee,Pokémon,Grass,Sword & Shield,5,Common,https://images.pokemontcg.io/swsh1/5_hires.png,https://images.pokemontcg.io/swsh1/5.png,60,,"[{""name"": ""Attach"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Attach,10,,Fire:×2,,Colorless,,ryoma uratsuka,"It shoots cotton from its body to protect itself. If it gets caught up in hurricane-strength winds, it can get sent to the other side of the Earth.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,swsh1-6,Whimsicott,Pokémon,Grass,Sword & Shield,6,Rare,https://images.pokemontcg.io/swsh1/6_hires.png,https://images.pokemontcg.io/swsh1/6.png,100,,"[{""name"": ""Cotton Ride"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, your opponent shuffles their Active Pokémon and all attached cards into their deck.""}, {""name"": ""Leaf Step"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""50"", ""text"": """"}]",Cotton Ride|Leaf Step,|50,"Flip a coin. If heads, your opponent shuffles their Active Pokémon and all attached cards into their deck.|",Fire:×2,,Colorless,Cottonee,kodama,"It scatters cotton all over the place as a prank. If it gets wet, it'll become too heavy to move and have no choice but to answer for its mischief.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,swsh1-7,Maractus,Pokémon,Grass,Sword & Shield,7,Common,https://images.pokemontcg.io/swsh1/7_hires.png,https://images.pokemontcg.io/swsh1/7.png,110,,"[{""name"": ""Zzzt"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Powerful Needles"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""60×"", ""text"": ""Flip a coin for each Energy attached to this Pokémon. This attack does 60 damage for each heads.""}]",Zzzt|Powerful Needles,20|60×,|Flip a coin for each Energy attached to this Pokémon. This attack does 60 damage for each heads.,Fire:×2,,Colorless__Colorless,,Atsuko Nishida,"With noises that could be mistaken for the rattles of maracas, it creates an upbeat rhythm, startling bird Pokémon and making them fly off in a hurry.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,swsh1-8,Durant,Pokémon,Grass,Sword & Shield,8,Rare,https://images.pokemontcg.io/swsh1/8_hires.png,https://images.pokemontcg.io/swsh1/8.png,110,,"[{""name"": ""Bite Together"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""If Durant is on your Bench, this attack does 60 more damage.""}]",Bite Together,30+,"If Durant is on your Bench, this attack does 60 more damage.",Fire:×2,,Colorless,,Miki Tanaka,"They lay their eggs deep inside their nests. When attacked by Heatmor, they retaliate using their massive mandibles.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,swsh1-9,Dhelmise V,Pokémon,Grass,Sword & Shield,9,Rare Holo V,https://images.pokemontcg.io/swsh1/9_hires.png,https://images.pokemontcg.io/swsh1/9.png,220,,"[{""name"": ""Anchor Anger"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30+"", ""text"": ""If any of your Grass Pokémon were Knocked Out by damage from an opponent's attack during their last turn, this attack does 90 more damage.""}, {""name"": ""Giga Hammer"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""200"", ""text"": ""During your next turn, this Pokémon can't use Giga Hammer.""}]",Anchor Anger|Giga Hammer,30+|200,"If any of your Grass Pokémon were Knocked Out by damage from an opponent's attack during their last turn, this attack does 90 more damage.|During your next turn, this Pokémon can't use Giga Hammer.",Fire:×2,,Colorless__Colorless,,Eske Yoshinob,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,swsh1-10,Grookey,Pokémon,Grass,Sword & Shield,10,Common,https://images.pokemontcg.io/swsh1/10_hires.png,https://images.pokemontcg.io/swsh1/10.png,60,,"[{""name"": ""Fury Swipes"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10×"", ""text"": ""Flip 3 coins. This attack does 10 damage for each heads.""}]",Fury Swipes,10×,Flip 3 coins. This attack does 10 damage for each heads.,Fire:×2,,Colorless,,Naoki Saito,"When it uses its special stick to strike up a beat, the sound waves produced carry revitalizing energy to the plants and flowers in the area.",,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,swsh1-11,Grookey,Pokémon,Grass,Sword & Shield,11,Common,https://images.pokemontcg.io/swsh1/11_hires.png,https://images.pokemontcg.io/swsh1/11.png,70,,"[{""name"": ""Scratch"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Beat"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Scratch|Beat,10|20,|,Fire:×2,,Colorless,,Kouki Saitou,"When it uses its special stick to strike up a beat, the sound waves produced carry revitalizing energy to the plants and flowers in the area.",,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,swsh1-12,Thwackey,Pokémon,Grass,Sword & Shield,12,Uncommon,https://images.pokemontcg.io/swsh1/12_hires.png,https://images.pokemontcg.io/swsh1/12.png,100,,"[{""name"": ""Taunt"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Switch 1 of your opponent's Benched Pokémon with their Active Pokémon.""}, {""name"": ""Double Hit"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60×"", ""text"": ""Flip 2 coins. This attack does 60 damage for each heads.""}]",Taunt|Double Hit,|60×,Switch 1 of your opponent's Benched Pokémon with their Active Pokémon.|Flip 2 coins. This attack does 60 damage for each heads.,Fire:×2,,Colorless__Colorless,Grookey,Megumi Mizutani,"The faster a Thwackey can beat out a rhythm with its two sticks, the more respect it wins from its peers.",,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,swsh1-13,Thwackey,Pokémon,Grass,Sword & Shield,13,Uncommon,https://images.pokemontcg.io/swsh1/13_hires.png,https://images.pokemontcg.io/swsh1/13.png,100,,"[{""name"": ""Beat"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}, {""name"": ""Ambush"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50+"", ""text"": ""Flip a coin. If heads, this attack does 30 more damage.""}]",Beat|Ambush,30|50+,"|Flip a coin. If heads, this attack does 30 more damage.",Fire:×2,,Colorless__Colorless,Grookey,Akira Komayama,"The faster a Thwackey can beat out a rhythm with its two sticks, the more respect it wins from its peers.",,,,,,,,,,,,,,,,,,,,,,,,,
