Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ex4-1,Team Aqua's Cacturne,Pokémon,Grass__Darkness,Team Magma vs Team Aqua,1,Rare Holo,https://images.pokemontcg.io/ex4/1_hires.png,https://images.pokemontcg.io/ex4/1.png,80,,"[{""name"": ""Dark Bind"", ""cost"": [""Darkness""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""You may discard a Darkness Energy card attached to Team Aqua's Cacturne. If you do, the Defending Pokémon is now Paralyzed.""}, {""name"": ""Poison Barb"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""The Defending Pokémon is now Poisoned.""}]",Dark Bind|Poison Barb,10|40,"You may discard a Darkness Energy card attached to Team Aqua's Cacturne. If you do, the Defending Pokémon is now Paralyzed.|The Defending Pokémon is now Poisoned.",Fire:×2,,Colorless__Colorless,Team Aqua's Cacnea,K. Utsunomiya,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,ex4-2,Team Aqua's Crawdaunt,Pokémon,Water__Darkness,Team Magma vs Team Aqua,2,Rare Holo,https://images.pokemontcg.io/ex4/2_hires.png,https://images.pokemontcg.io/ex4/2.png,80,,"[{""name"": ""Aqua Reverse"", ""cost"": [""Darkness"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Before doing damage, you may choose 1 of your opponent's Benched Pokémon that has Team Magma in its name and switch it with 1 of the Defending Pokémon. Your opponent chooses the Defending Pokémon to switch.""}, {""name"": ""Deep Impact"", ""cost"": [""Water"", ""Water"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""If the Defending Pokémon already has any damage counters on it, the Defending Pokémon is now Confused.""}]",Aqua Reverse|Deep Impact,20|40,"Before doing damage, you may choose 1 of your opponent's Benched Pokémon that has Team Magma in its name and switch it with 1 of the Defending Pokémon. Your opponent chooses the Defending Pokémon to switch.|If the Defending Pokémon already has any damage counters on it, the Defending Pokémon is now Confused.",Lightning:×2,,Colorless,Team Aqua's Corphish,Nakaoka,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,ex4-3,Team Aqua's Kyogre,Pokémon,Water__Darkness,Team Magma vs Team Aqua,3,Rare Holo,https://images.pokemontcg.io/ex4/3_hires.png,https://images.pokemontcg.io/ex4/3.png,100,"[{""name"": ""Power Saver"", ""text"": ""As long as the number of Pokémon in play (both yours and your opponent's) that has Team Aqua in its name is 3 or less, Team Aqua's Kyogre can't attack."", ""type"": ""Poké-Body""}]","[{""name"": ""Aqua Trip"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Confused. If tails, the Defending Pokémon is now Asleep.""}, {""name"": ""Aqua Smash"", ""cost"": [""Water"", ""Water"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50+"", ""text"": ""If the Defending Pokémon is affected by a Special Condition, this attack does 50 damage plus 20 more damage.""}]",Aqua Trip|Aqua Smash,10|50+,"Flip a coin. If heads, the Defending Pokémon is now Confused. If tails, the Defending Pokémon is now Asleep.|If the Defending Pokémon is affected by a Special Condition, this attack does 50 damage plus 20 more damage.",Grass:×2,,Colorless__Colorless__Colorless,,K. Hoshiba,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,ex4-4,Team Aqua's Manectric,Pokémon,Lightning__Darkness,Team Magma vs Team Aqua,4,Rare Holo,https://images.pokemontcg.io/ex4/4_hires.png,https://images.pokemontcg.io/ex4/4.png,70,"[{""name"": ""Power Shift"", ""text"": ""Once during your turn (before your attack), you may move any number of basic Energy cards attached to 1 of your Pokémon with Team Aqua in its name to another of your Pokémon. This power can't be used if Team Aqua's Manectric is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Thunderspark"", ""cost"": [""Lightning"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""Does 10 damage to each Benched Pokémon (both yours and your opponent's) that has Energy cards attached to it. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Thunderspark,50,Does 10 damage to each Benched Pokémon (both yours and your opponent's) that has Energy cards attached to it. (Don't apply Weakness and Resistance for Benched Pokémon.),Fighting:×2,Metal:-30,Colorless,Team Aqua's Electrike,K. Utsunomiya,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,ex4-5,Team Aqua's Sharpedo,Pokémon,Water__Darkness,Team Magma vs Team Aqua,5,Rare Holo,https://images.pokemontcg.io/ex4/5_hires.png,https://images.pokemontcg.io/ex4/5.png,70,,"[{""name"": ""Rage"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10+"", ""text"": ""Does 10 damage plus 10 more damage for each damage counter on Team Aqua's Sharpedo.""}, {""name"": ""Aqua Slash"", ""cost"": [""Water"", ""Water"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""Team Aqua's Sharpedo can't attack during your next turn.""}]",Rage|Aqua Slash,10+|60,Does 10 damage plus 10 more damage for each damage counter on Team Aqua's Sharpedo.|Team Aqua's Sharpedo can't attack during your next turn.,Lightning:×2,,,Team Aqua's Carvanha,Katsura Tabata,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,ex4-6,Team Aqua's Walrein,Pokémon,Water__Darkness,Team Magma vs Team Aqua,6,Rare Holo,https://images.pokemontcg.io/ex4/6_hires.png,https://images.pokemontcg.io/ex4/6.png,120,,"[{""name"": ""Power Blow"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""Does 10 damage plus 10 more damage for each Energy attached to Team Aqua's Walrein.""}, {""name"": ""Hydro Reverse"", ""cost"": [""Water"", ""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""50+"", ""text"": ""You may return any number of basic Water Energy cards attached to all of your Pokémon to your hand. If you do, this attack does 50 damage plus 10 more damage for each Energy you returned.""}]",Power Blow|Hydro Reverse,10+|50+,"Does 10 damage plus 10 more damage for each Energy attached to Team Aqua's Walrein.|You may return any number of basic Water Energy cards attached to all of your Pokémon to your hand. If you do, this attack does 50 damage plus 10 more damage for each Energy you returned.",Fighting:×2|Metal:×2,,Colorless__Colorless,Team Aqua's Sealeo,Ken Ikuji,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,ex4-7,Team Magma's Aggron,Pokémon,Fighting__Darkness,Team Magma vs Team Aqua,7,Rare Holo,https://images.pokemontcg.io/ex4/7_hires.png,https://images.pokemontcg.io/ex4/7.png,120,,"[{""name"": ""Crush"", ""cost"": [""Fighting""], ""convertedEnergyCost"": 1, ""damage"": ""30×"", ""text"": ""Flip a coin for each Energy attached to Team Magma's Aggron. This attack does 30 damage times the number of heads.""}, {""name"": ""Land Stream"", ""cost"": [""Fighting"", ""Fighting"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""50+"", ""text"": ""You may discard any number of basic Energy cards attached to Team Magma's Aggron. If you do, this attack does 50 damage plus 20 more damage for each basic Energy card you discarded.""}]",Crush|Land Stream,30×|50+,"Flip a coin for each Energy attached to Team Magma's Aggron. This attack does 30 damage times the number of heads.|You may discard any number of basic Energy cards attached to Team Magma's Aggron. If you do, this attack does 50 damage plus 20 more damage for each basic Energy card you discarded.",Grass:×2|Water:×2,,Colorless__Colorless,Team Magma's Lairon,Hiromichi Sugiyama,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,ex4-8,Team Magma's Claydol,Pokémon,Psychic__Darkness,Team Magma vs Team Aqua,8,Rare Holo,https://images.pokemontcg.io/ex4/8_hires.png,https://images.pokemontcg.io/ex4/8.png,80,"[{""name"": ""Magma Switch"", ""text"": ""Once during your turn (before your attack), you may move an Energy card attached to your Pokémon with Team Magma in its name to another of your Pokémon. This power can't be used if Team Magma's Claydol is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Dark Hand"", ""cost"": [""Psychic"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40+"", ""text"": ""If you have more cards in your hand than your opponent, this attack does 40 damage plus 20 more damage.""}]",Dark Hand,40+,"If you have more cards in your hand than your opponent, this attack does 40 damage plus 20 more damage.",Psychic:×2,,Colorless__Colorless,Team Magma's Baltoy,Zu-Ka,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,ex4-9,Team Magma's Groudon,Pokémon,Fighting__Darkness,Team Magma vs Team Aqua,9,Rare Holo,https://images.pokemontcg.io/ex4/9_hires.png,https://images.pokemontcg.io/ex4/9.png,100,"[{""name"": ""Power Saver"", ""text"": ""As long as the number of Pokémon in play (both yours and your opponent's) that has Team Magma in its name is 3 or less, Team Magma's Groudon can't attack."", ""type"": ""Poké-Body""}]","[{""name"": ""Linear Attack"", ""cost"": [""Fighting"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Choose 1 of your opponent's Pokémon. This attack does 20 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Pulverize"", ""cost"": [""Fighting"", ""Fighting"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50+"", ""text"": ""If the Defending Pokémon already has at least 2 damage counters on it, this attack does 50 damage plus 20 more damage.""}]",Linear Attack|Pulverize,|50+,"Choose 1 of your opponent's Pokémon. This attack does 20 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|If the Defending Pokémon already has at least 2 damage counters on it, this attack does 50 damage plus 20 more damage.",Grass:×2,,Colorless__Colorless__Colorless,,Kazuo Yazawa,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,ex4-10,Team Magma's Houndoom,Pokémon,Fire__Darkness,Team Magma vs Team Aqua,10,Rare Holo,https://images.pokemontcg.io/ex4/10_hires.png,https://images.pokemontcg.io/ex4/10.png,70,,"[{""name"": ""Roasting Heat"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""If the Defending Pokémon is Burned, this attack does 30 damage plus 20 more damage.""}, {""name"": ""Magma Spurt"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30×"", ""text"": ""Discard the top 5 cards from your deck. This attack does 30 damage times the number of Fire and Fighting basic Energy cards discarded in this way.""}]",Roasting Heat|Magma Spurt,30+|30×,"If the Defending Pokémon is Burned, this attack does 30 damage plus 20 more damage.|Discard the top 5 cards from your deck. This attack does 30 damage times the number of Fire and Fighting basic Energy cards discarded in this way.",Water:×2,,Colorless,Team Magma's Houndour,Ken Ikuji,,,,,,,,,,,,,,,,,,,,,,,,,,
