Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ex7-1,Azumarill,Pokémon,Water,Team Rocket Returns,1,Rare Holo,https://images.pokemontcg.io/ex7/1_hires.png,https://images.pokemontcg.io/ex7/1.png,80,"[{""name"": ""Froth"", ""text"": ""Once during your turn, when you play Azumarill from your hand to evolve 1 of your Active Pokémon, you may use this power. Each Defending Pokémon is now Paralyzed."", ""type"": ""Poké-Power""}]","[{""name"": ""Water Punch"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""Flip a coin for each Water Energy attached to Azumarill. This attack does 20 damage plus 20 more damage for each heads.""}]",Water Punch,20+,Flip a coin for each Water Energy attached to Azumarill. This attack does 20 damage plus 20 more damage for each heads.,Lightning:×2,,Colorless,Marill,Sumiyoshi Kizuki,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,ex7-2,Dark Ampharos,Pokémon,Lightning__Darkness,Team Rocket Returns,2,Rare Holo,https://images.pokemontcg.io/ex7/2_hires.png,https://images.pokemontcg.io/ex7/2.png,120,"[{""name"": ""Darkest Impulse"", ""text"": ""As long as Dark Ampharos is in play, whenever your opponent plays an Evolution card from his or her hand to evolve 1 of his or her Pokémon, put 2 damage counters on that Pokémon. You can't use more than 1 Darkest Impulse Poké-Body each turn."", ""type"": ""Poké-Body""}]","[{""name"": ""Ram"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}, {""name"": ""Shock Bolt"", ""cost"": [""Lightning"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": ""Discard all Lightning Energy attached to Dark Ampharos.""}]",Ram|Shock Bolt,30|70,|Discard all Lightning Energy attached to Dark Ampharos.,Fighting:×2,,Colorless__Colorless,Dark Flaaffy,Emi Miwa,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,ex7-3,Dark Crobat,Pokémon,Grass__Darkness,Team Rocket Returns,3,Rare Holo,https://images.pokemontcg.io/ex7/3_hires.png,https://images.pokemontcg.io/ex7/3.png,90,"[{""name"": ""Black Beam"", ""text"": ""Once during your turn (before your attack), if Dark Crobat is your Active Pokémon, you may choose 1 of the Defending Pokémon. That Pokémon is now Poisoned. This power can't be used if Dark Crobat is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Dark Drain"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Does 10 damage to each of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) Remove from Dark Crobat a number of damage counters equal to the number of your opponent's Pokémon in play.""}, {""name"": ""Skill Dive"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Does 30 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Dark Drain|Skill Dive,|,Does 10 damage to each of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) Remove from Dark Crobat a number of damage counters equal to the number of your opponent's Pokémon in play.|Does 30 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Lightning:×2,Fighting:-30,Colorless,Dark Golbat,Kyoko Koizumi,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,ex7-4,Dark Electrode,Pokémon,Lightning__Darkness,Team Rocket Returns,4,Rare Holo,https://images.pokemontcg.io/ex7/4_hires.png,https://images.pokemontcg.io/ex7/4.png,70,"[{""name"": ""Darkness Navigation"", ""text"": ""Once during your turn (before your attack), if Dark Electrode has no Energy attached to it, you may search your deck for a Darkness or Dark Metal Energy and attach it to Dark Electrode. Shuffle your deck afterward. This power can't be used if Dark Electrode is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Energy Bomb"", ""cost"": [""Lightning""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""You may move all Energy cards attached to Dark Electrode to your Benched Pokémon in any way you like.""}]",Energy Bomb,30,You may move all Energy cards attached to Dark Electrode to your Benched Pokémon in any way you like.,Fighting:×2,,Colorless,Voltorb,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,ex7-5,Dark Houndoom,Pokémon,Fire__Darkness,Team Rocket Returns,5,Rare Holo,https://images.pokemontcg.io/ex7/5_hires.png,https://images.pokemontcg.io/ex7/5.png,70,,"[{""name"": ""Shakedown"", ""cost"": [""Darkness"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Choose a card from your opponent's hand without looking and discard it.""}, {""name"": ""Dark Fire"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40+"", ""text"": ""You may discard a Fire Energy or Darkness Energy attached to Dark Houndoom. If you do, this attack does 40 damage plus 20 more damage.""}]",Shakedown|Dark Fire,20|40+,"Choose a card from your opponent's hand without looking and discard it.|You may discard a Fire Energy or Darkness Energy attached to Dark Houndoom. If you do, this attack does 40 damage plus 20 more damage.",Fighting:×2,Psychic:-30,Colorless,Houndour,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,ex7-6,Dark Hypno,Pokémon,Psychic__Darkness,Team Rocket Returns,6,Rare Holo,https://images.pokemontcg.io/ex7/6_hires.png,https://images.pokemontcg.io/ex7/6.png,70,,"[{""name"": ""Dark Link"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, choose an attack on 1 of your Pokémon in play that has Dark in its name (excluding this one). Dark Link copies that attack except for its Energy cost. (You must still do anything else required for that attack.) (No matter what type that Pokémon is, Dark Hypno's type is still Psychic Darkness.) Dark Hypno performs that attack.""}, {""name"": ""Black Magic"", ""cost"": [""Psychic"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20×"", ""text"": ""Does 20 damage times the number of your opponent's Benched Pokémon.""}]",Dark Link|Black Magic,|20×,"Flip a coin. If heads, choose an attack on 1 of your Pokémon in play that has Dark in its name (excluding this one). Dark Link copies that attack except for its Energy cost. (You must still do anything else required for that attack.) (No matter what type that Pokémon is, Dark Hypno's type is still Psychic Darkness.) Dark Hypno performs that attack.|Does 20 damage times the number of your opponent's Benched Pokémon.",Psychic:×2,,Colorless,Drowzee,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,ex7-7,Dark Marowak,Pokémon,Fighting__Darkness,Team Rocket Returns,7,Rare Holo,https://images.pokemontcg.io/ex7/7_hires.png,https://images.pokemontcg.io/ex7/7.png,70,,"[{""name"": ""Brick Smash"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""This attack's damage isn't affected by Resistance, Poké-Powers, Poké-Bodies, or any other effects on the Defending Pokémon.""}, {""name"": ""Hard Bone"", ""cost"": [""Fighting"", ""Fighting"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": ""Discard a Basic Pokémon or Evolution card from your hand or this attack does nothing.""}]",Brick Smash|Hard Bone,30|70,"This attack's damage isn't affected by Resistance, Poké-Powers, Poké-Bodies, or any other effects on the Defending Pokémon.|Discard a Basic Pokémon or Evolution card from your hand or this attack does nothing.",Grass:×2,,Colorless,Cubone,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,ex7-8,Dark Octillery,Pokémon,Water__Darkness,Team Rocket Returns,8,Rare Holo,https://images.pokemontcg.io/ex7/8_hires.png,https://images.pokemontcg.io/ex7/8.png,70,,"[{""name"": ""Black Suction Cups"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Does 10 damage to each Defending Pokémon. Flip a coin. If heads, each Defending Pokémon is now Paralyzed.""}, {""name"": ""Ink Blast"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""Does 30 damage plus 10 more damage for each Energy attached to Dark Octillery but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.""}]",Black Suction Cups|Ink Blast,|30+,"Does 10 damage to each Defending Pokémon. Flip a coin. If heads, each Defending Pokémon is now Paralyzed.|Does 30 damage plus 10 more damage for each Energy attached to Dark Octillery but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.",Lightning:×2,,Colorless,Remoraid,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,ex7-9,Dark Slowking,Pokémon,Psychic__Darkness,Team Rocket Returns,9,Rare Holo,https://images.pokemontcg.io/ex7/9_hires.png,https://images.pokemontcg.io/ex7/9.png,80,"[{""name"": ""Cunning"", ""text"": ""Once during your turn (before your attack), you may look at the top card of your opponent's deck. Then, you may shuffle his or her deck. This power can't be used if Dark Slowking is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Litter"", ""cost"": [""Psychic"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""You may discard a combination of up to 2 Pokémon Tool cards and Rocket's Secret Machine cards from your hand. If you do, this attack does 20 damage plus 30 more damage for each card you discarded.""}]",Litter,20+,"You may discard a combination of up to 2 Pokémon Tool cards and Rocket's Secret Machine cards from your hand. If you do, this attack does 20 damage plus 30 more damage for each card you discarded.",Grass:×2,,Colorless,Slowpoke,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,ex7-10,Dark Steelix,Pokémon,Darkness__Metal,Team Rocket Returns,10,Rare Holo,https://images.pokemontcg.io/ex7/10_hires.png,https://images.pokemontcg.io/ex7/10.png,110,,"[{""name"": ""Energy Link"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Search your discard pile for an Energy card and attach it to Dark Steelix.""}, {""name"": ""Heavy Impact"", ""cost"": [""Fighting"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""60"", ""text"": """"}]",Energy Link|Heavy Impact,20|60,Search your discard pile for an Energy card and attach it to Dark Steelix.|,Fire:×2,Grass:-30,Colorless__Colorless__Colorless__Colorless,Onix,Kyoko Koizumi,,,,,,,,,,,,,,,,,,,,,,,,,,
