Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ex7-1,Azumarill,Pokémon,Water,Team Rocket Returns,1,Rare Holo,https://images.pokemontcg.io/ex7/1_hires.png,https://images.pokemontcg.io/ex7/1.png,,,,,,8.0,9.25,18.99,14.38,3.77,7.3,20.55,28.0,28.64,16.46,,,,,,,,,,
001.jpg,ex7-2,Dark Ampharos,Pokémon,Lightning__Darkness,Team Rocket Returns,2,Rare Holo,https://images.pokemontcg.io/ex7/2_hires.png,https://images.pokemontcg.io/ex7/2.png,,,,,,20.0,30.74,100.0,40.18,,51.0,54.99,78.03,16.0,,,,,,,,,,,
002.jpg,ex7-3,Dark Crobat,Pokémon,Grass__Darkness,Team Rocket Returns,3,Rare Holo,https://images.pokemontcg.io/ex7/3_hires.png,https://images.pokemontcg.io/ex7/3.png,,,,,,7.0,16.84,37.49,17.0,7.99,24.0,24.99,47.0,6.02,,,,,,,,,,,
003.jpg,base5-1,Dark Alakazam,Pokémon,Psychic,Team Rocket,1,Rare Holo,https://images.pokemontcg.io/base5/1_hires.png,https://images.pokemontcg.io/base5/1.png,,,,,,16.78,24.99,77.75,35.79,16.87,,,,,,40.0,55.99,189.99,78.98,,,,,,
004.jpg,base5-2,Dark Arbok,Pokémon,Grass,Team Rocket,2,Rare Holo,https://images.pokemontcg.io/base5/2_hires.png,https://images.pokemontcg.io/base5/2.png,,,,,,2.41,6.99,85.99,7.48,3.06,,,,,,18.0,34.42,78.99,37.97,13.98,,,,,
005.jpg,ex7-4,Dark Electrode,Pokémon,Lightning__Darkness,Team Rocket Returns,4,Rare Holo,https://images.pokemontcg.io/ex7/4_hires.png,https://images.pokemontcg.io/ex7/4.png,,,,,,14.31,18.04,40.0,29.43,,24.99,34.99,79.14,34.99,,,,,,,,,,,
006.jpg,ex7-5,Dark Houndoom,Pokémon,Fire__Darkness,Team Rocket Returns,5,Rare Holo,https://images.pokemontcg.io/ex7/5_hires.png,https://images.pokemontcg.io/ex7/5.png,,,,,,17.37,34.99,59.98,49.93,10.61,37.99,49.99,65.99,39.26,,,,,,,,,,,
007.jpg,base5-3,Dark Blastoise,Pokémon,Water,Team Rocket,3,Rare Holo,https://images.pokemontcg.io/base5/3_hires.png,https://images.pokemontcg.io/base5/3.png,,,,,,48.0,73.51,151.19,95.48,,,,,,,167.95,230.0,499.99,294.49,,,,,,
008.jpg,ex7-6,Dark Hypno,Pokémon,Psychic__Darkness,Team Rocket Returns,6,Rare Holo,https://images.pokemontcg.io/ex7/6_hires.png,https://images.pokemontcg.io/ex7/6.png,,,,,,11.25,15.15,28.5,18.19,,35.73,49.99,99.99,49.99,,,,,,,,,,,
009.jpg,base5-4,Dark Charizard,Pokémon,Fire,Team Rocket,4,Rare Holo,https://images.pokemontcg.io/base5/4_hires.png,https://images.pokemontcg.io/base5/4.png,,,,,,105.0,165.49,399.99,182.58,,,,,,,275.0,471.59,2393.85,613.9,,,,,,
010.jpg,base5-5,Dark Dragonite,Pokémon,Colorless,Team Rocket,5,Rare Holo,https://images.pokemontcg.io/base5/5_hires.png,https://images.pokemontcg.io/base5/5.png,,,,,,38.9,54.0,199.99,67.81,38.9,,,,,,84.02,214.95,399.99,189.23,,,,,,
011.jpg,ex7-7,Dark Marowak,Pokémon,Fighting__Darkness,Team Rocket Returns,7,Rare Holo,https://images.pokemontcg.io/ex7/7_hires.png,https://images.pokemontcg.io/ex7/7.png,,,,,,13.99,22.35,31.24,26.09,,27.96,39.98,44.97,22.99,,,,,,,,,,,
012.jpg,base5-6,Dark Dugtrio,Pokémon,Fighting,Team Rocket,6,Rare Holo,https://images.pokemontcg.io/base5/6_hires.png,https://images.pokemontcg.io/base5/6.png,,,,,,6.99,13.0,70.49,18.18,7.8,,,,,,21.8,37.43,140.0,43.69,25.48,,,,,
013.jpg,ex7-8,Dark Octillery,Pokémon,Water__Darkness,Team Rocket Returns,8,Rare Holo,https://images.pokemontcg.io/ex7/8_hires.png,https://images.pokemontcg.io/ex7/8.png,,,,,,7.51,10.48,19.99,11.75,7.51,11.99,19.0,25.18,18.61,,,,,,,,,,,
014.jpg,base5-7,Dark Golbat,Pokémon,Grass,Team Rocket,7,Rare Holo,https://images.pokemontcg.io/base5/7_hires.png,https://images.pokemontcg.io/base5/7.png,,,,,,7.49,12.89,32.49,17.34,11.0,,,,,,16.08,29.98,175.0,25.61,,,,,,
015.jpg,base5-8,Dark Gyarados,Pokémon,Water,Team Rocket,8,Rare Holo,https://images.pokemontcg.io/base5/8_hires.png,https://images.pokemontcg.io/base5/8.png,,,,,,12.0,21.74,80.0,25.38,13.91,,,,,,51.96,94.71,229.99,104.11,71.79,,,,,
016.jpg,ex7-9,Dark Slowking,Pokémon,Psychic__Darkness,Team Rocket Returns,9,Rare Holo,https://images.pokemontcg.io/ex7/9_hires.png,https://images.pokemontcg.io/ex7/9.png,,,,,,20.57,37.86,74.99,32.66,,39.09,47.5,72.46,72.47,,,,,,,,,,,
017.jpg,base5-9,Dark Hypno,Pokémon,Psychic,Team Rocket,9,Rare Holo,https://images.pokemontcg.io/base5/9_hires.png,https://images.pokemontcg.io/base5/9.png,,,,,,9.55,12.66,24.95,16.22,8.16,,,,,,25.97,41.02,100.0,43.89,41.99,,,,,
