Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sm9-1,Celebi & Venusaur-GX,Pokémon,Grass,Team Up,1,Rare Holo GX,https://images.pokemontcg.io/sm9/1_hires.png,https://images.pokemontcg.io/sm9/1.png,270,,"[{""name"": ""Pollen Hazard"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""Your opponent's Active Pokémon is now Burned, Confused, and Poisoned.""}, {""name"": ""Solar Beam"", ""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""150"", ""text"": """"}, {""name"": ""Evergreen-GX"", ""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""180"", ""text"": ""Heal all damage from this Pokémon. If this Pokémon has at least 1 extra Grass Energy attached to it (in addition to this attack's cost), shuffle all cards from your discard pile into your deck. (You can't use more than 1 GX attack in a game.)""}]",Pollen Hazard|Solar Beam|Evergreen-GX,50|150|180,"Your opponent's Active Pokémon is now Burned, Confused, and Poisoned.||Heal all damage from this Pokémon. If this Pokémon has at least 1 extra Grass Energy attached to it (in addition to this attack's cost), shuffle all cards from your discard pile into your deck. (You can't use more than 1 GX attack in a game.)",Fire:×2,,Colorless__Colorless__Colorless__Colorless,,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sm9-2,Weedle,Pokémon,Grass,Team Up,2,Common,https://images.pokemontcg.io/sm9/2_hires.png,https://images.pokemontcg.io/sm9/2.png,40,,"[{""name"": ""Tangle Drag"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Switch 1 of your opponent's Benched Pokémon with their Active Pokémon.""}, {""name"": ""Bug Bite"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Tangle Drag|Bug Bite,|10,Switch 1 of your opponent's Benched Pokémon with their Active Pokémon.|,Fire:×2,,Colorless,,Shibuzoh.,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sm9-3,Weedle,Pokémon,Grass,Team Up,3,Common,https://images.pokemontcg.io/sm9/3_hires.png,https://images.pokemontcg.io/sm9/3.png,50,,"[{""name"": ""Reckless Charge"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""This Pokémon does 10 damage to itself.""}]",Reckless Charge,20,This Pokémon does 10 damage to itself.,Fire:×2,,Colorless,,SATOSHI NAKAI,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sm9-4,Kakuna,Pokémon,Grass,Team Up,4,Uncommon,https://images.pokemontcg.io/sm9/4_hires.png,https://images.pokemontcg.io/sm9/4.png,80,"[{""name"": ""Grass Cushion"", ""text"": ""If this Pokémon has any Grass Energy attached to it, it takes 30 less damage from attacks (after applying Weakness and Resistance)."", ""type"": ""Ability""}]","[{""name"": ""Bug Bite"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Bug Bite,20,,Fire:×2,,Colorless__Colorless__Colorless,Weedle,Yuka Morii,"Almost incapable of moving, this Pokémon can only harden its shell to protect itself when it is in danger.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sm9-5,Beedrill,Pokémon,Grass,Team Up,5,Rare,https://images.pokemontcg.io/sm9/5_hires.png,https://images.pokemontcg.io/sm9/5.png,130,,"[{""name"": ""Destiny Stinger"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""You can use this attack only if this Pokémon has any damage counters on it. Both Active Pokémon are Knocked Out.""}, {""name"": ""Reckless Charge"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""90"", ""text"": ""This Pokémon does 10 damage to itself.""}]",Destiny Stinger|Reckless Charge,|90,You can use this attack only if this Pokémon has any damage counters on it. Both Active Pokémon are Knocked Out.|This Pokémon does 10 damage to itself.,Fire:×2,,Colorless,Kakuna,You Iribi,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sm9-6,Paras,Pokémon,Grass,Team Up,6,Common,https://images.pokemontcg.io/sm9/6_hires.png,https://images.pokemontcg.io/sm9/6.png,70,,"[{""name"": ""Scratch"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Slash"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Scratch|Slash,10|20,|,Fire:×2,,Colorless,,Naoyo Kimura,"Whether it's due to a lack of moisture or a lack of nutrients, in Alola the mushrooms on Paras don't grow up quite right.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sm9-7,Parasect,Pokémon,Grass,Team Up,7,Rare,https://images.pokemontcg.io/sm9/7_hires.png,https://images.pokemontcg.io/sm9/7.png,100,"[{""name"": ""Panic Spores"", ""text"": ""Put 2 damage counters on your opponent's Confused Pokémon between turns."", ""type"": ""Ability""}]","[{""name"": ""Mysterious Powder"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Confused.""}]",Mysterious Powder,30,"Flip a coin. If heads, your opponent's Active Pokémon is now Confused.",Fire:×2,,Colorless__Colorless,Paras,Satoshi Shirai,"The bug is mostly dead, with the mushroom on its back having become the main body. If the mushroom comes off, the bug stops moving.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sm9-8,Exeggcute,Pokémon,Grass,Team Up,8,Common,https://images.pokemontcg.io/sm9/8_hires.png,https://images.pokemontcg.io/sm9/8.png,50,,"[{""name"": ""Bullet Seed"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10×"", ""text"": ""Flip 4 coins. This attack does 10 damage for each heads.""}]",Bullet Seed,10×,Flip 4 coins. This attack does 10 damage for each heads.,Fire:×2,,Colorless,,Ken Sugimori,"Six of them form a single Pokémon. Should one of the six be lost, the next morning there will once more be six.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sm9-9,Pinsir,Pokémon,Grass,Team Up,9,Rare,https://images.pokemontcg.io/sm9/9_hires.png,https://images.pokemontcg.io/sm9/9.png,120,,"[{""name"": ""Grip and Squeeze"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""The Defending Pokémon can't retreat during your opponent's next turn.""}, {""name"": ""Guillotine Hug"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": """", ""text"": ""Flip 2 coins. If both of them are heads, your opponent's Active Pokémon is Knocked Out.""}]",Grip and Squeeze|Guillotine Hug,30|,"The Defending Pokémon can't retreat during your opponent's next turn.|Flip 2 coins. If both of them are heads, your opponent's Active Pokémon is Knocked Out.",Fire:×2,,Colorless__Colorless__Colorless,,Eri Yamaki,"It gets into territorial disputes with Vikavolt. For some reason, it apparently gets along well with Heracross in Alola.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sm9-10,Shaymin ◇,Pokémon,Grass,Team Up,10,Rare Prism Star,https://images.pokemontcg.io/sm9/10_hires.png,https://images.pokemontcg.io/sm9/10.png,80,,"[{""name"": ""Flower Storm"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""30×"", ""text"": ""This attack does 30 damage times the amount of basic Energy attached to all of your Pokémon.""}]",Flower Storm,30×,This attack does 30 damage times the amount of basic Energy attached to all of your Pokémon.,Fire:×2,,,,kawayoo,The blooming of Gracidea flowers confers the power of flight upon it. Feelings of gratitude are the message it delivers.,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,sm9-11,Charmander,Pokémon,Fire,Team Up,11,Common,https://images.pokemontcg.io/sm9/11_hires.png,https://images.pokemontcg.io/sm9/11.png,50,,"[{""name"": ""Scratch"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Reprisal"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20×"", ""text"": ""This attack does 20 damage for each damage counter on this Pokémon.""}]",Scratch|Reprisal,10|20×,|This attack does 20 damage for each damage counter on this Pokémon.,Water:×2,,Colorless,,Naoyo Kimura,"The flame on its tail indicates Charmander's life force. If it is healthy, the flame burns brightly.",,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,sm9-12,Charmander,Pokémon,Fire,Team Up,12,Common,https://images.pokemontcg.io/sm9/12_hires.png,https://images.pokemontcg.io/sm9/12.png,70,,"[{""name"": ""Ember"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Discard an Energy from this Pokémon.""}]",Ember,30,Discard an Energy from this Pokémon.,Water:×2,,Colorless,,Atsuko Nishida,"The flame on its tail indicates Charmander's life force. If it is healthy, the flame burns brightly.",,,,,,,,,,,,,,,,,,,,,,,,,
