Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sv5-1,Scyther,Pokémon,Grass,Temporal Forces,1,Common,https://images.pokemontcg.io/sv5/1_hires.png,https://images.pokemontcg.io/sv5/1.png,90,,"[{""name"": ""Cut Up"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Slashing Strike"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""60"", ""text"": ""During your next turn, this Pokémon can't use Slashing Strike.""}]",Cut Up|Slashing Strike,10|60,"|During your next turn, this Pokémon can't use Slashing Strike.",Fire:×2,,Colorless,,Dsuke,The sharp scythes on its forearms become increasingly sharp by cutting through hard objects.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sv5-2,Pineco,Pokémon,Grass,Temporal Forces,2,Common,https://images.pokemontcg.io/sv5/2_hires.png,https://images.pokemontcg.io/sv5/2.png,70,,"[{""name"": ""Ram"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}]",Ram,50,,Fire:×2,,Colorless__Colorless,,Midori Harada,It spits out a fluid that it uses to glue tree bark to its body. The fluid hardens when it touches air.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sv5-3,Seedot,Pokémon,Grass,Temporal Forces,3,Common,https://images.pokemontcg.io/sv5/3_hires.png,https://images.pokemontcg.io/sv5/3.png,60,,"[{""name"": ""Rigidify"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).""}, {""name"": ""Hang Down"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Rigidify|Hang Down,|20,"During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).|",Fire:×2,,Colorless,,Asako Ito,"If it remains still, it looks just like a real nut. It delights in surprising foraging Pokémon.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sv5-4,Nuzleaf,Pokémon,Grass,Temporal Forces,4,Common,https://images.pokemontcg.io/sv5/4_hires.png,https://images.pokemontcg.io/sv5/4.png,90,,"[{""name"": ""Corkscrew Punch"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Comet Slap"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30×"", ""text"": ""Flip 3 coins. This attack does 30 damage for each heads.""}]",Corkscrew Punch|Comet Slap,20|30×,|Flip 3 coins. This attack does 30 damage for each heads.,Fire:×2,,Colorless,Seedot,Lee HyunJung,"It lives deep in forests. With the leaf on its head, it makes a flute whose song makes listeners uneasy.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sv5-5,Shiftry,Pokémon,Grass,Temporal Forces,5,Uncommon,https://images.pokemontcg.io/sv5/5_hires.png,https://images.pokemontcg.io/sv5/5.png,150,,"[{""name"": ""Expelling Tornado"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Choose 3 of your opponent's Benched Pokémon. If you do, shuffle all of your opponent's Benched Pokémon that you didn't choose, and all cards attached to those Pokémon, into their deck.""}, {""name"": ""Energy Loop"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""140"", ""text"": ""Put an Energy attached to this Pokémon into your hand.""}]",Expelling Tornado|Energy Loop,|140,"Choose 3 of your opponent's Benched Pokémon. If you do, shuffle all of your opponent's Benched Pokémon that you didn't choose, and all cards attached to those Pokémon, into their deck.|Put an Energy attached to this Pokémon into your hand.",Fire:×2,,Colorless__Colorless,Nuzleaf,Souichirou Gunjima,A Pokémon that was feared as a forest guardian. It can read the foe's mind and take preemptive action.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sv5-6,Shroomish,Pokémon,Grass,Temporal Forces,6,Common,https://images.pokemontcg.io/sv5/6_hires.png,https://images.pokemontcg.io/sv5/6.png,60,,"[{""name"": ""Double Headbutt"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10×"", ""text"": ""Flip 2 coins. This attack does 10 damage for each heads.""}, {""name"": ""Seed Bomb"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Double Headbutt|Seed Bomb,10×|20,Flip 2 coins. This attack does 10 damage for each heads.|,Fire:×2,,Colorless,,Yoriyuki Ikegami,"If it senses danger, it scatters spores from the top of its head to protect itself.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sv5-7,Breloom,Pokémon,Grass,Temporal Forces,7,Common,https://images.pokemontcg.io/sv5/7_hires.png,https://images.pokemontcg.io/sv5/7.png,120,,"[{""name"": ""Punch"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": """"}, {""name"": ""Knuckle Impact"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""120"", ""text"": ""During your next turn, this Pokémon can't attack.""}]",Punch|Knuckle Impact,30|120,"|During your next turn, this Pokémon can't attack.",Fire:×2,,Colorless,Shroomish,Taiga Kasai,"The seeds on its tail are made of toxic spores. It knocks out foes with quick, virtually invisible punches.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sv5-8,Roselia,Pokémon,Grass,Temporal Forces,8,Common,https://images.pokemontcg.io/sv5/8_hires.png,https://images.pokemontcg.io/sv5/8.png,60,"[{""name"": ""Poison Point"", ""text"": ""If this Pokémon is in the Active Spot and is damaged by an attack from your opponent's Pokémon (even if this Pokémon is Knocked Out), the Attacking Pokémon is now Poisoned."", ""type"": ""Ability""}]","[{""name"": ""Leaf Step"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Leaf Step,10,,Fire:×2,,Colorless,,Tomomi Ozaki,"Its flowers give off a relaxing fragrance. The stronger its aroma, the healthier the Roselia is.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sv5-9,Roserade,Pokémon,Grass,Temporal Forces,9,Uncommon,https://images.pokemontcg.io/sv5/9_hires.png,https://images.pokemontcg.io/sv5/9.png,130,"[{""name"": ""Poison Point"", ""text"": ""If this Pokémon is in the Active Spot and is damaged by an attack from your opponent's Pokémon (even if this Pokémon is Knocked Out), the Attacking Pokémon is now Poisoned."", ""type"": ""Ability""}]","[{""name"": ""Bind Down"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""70"", ""text"": ""During your opponent's next turn, the Defending Pokémon can't retreat.""}]",Bind Down,70,"During your opponent's next turn, the Defending Pokémon can't retreat.",Fire:×2,,Colorless__Colorless,Roselia,Gapao,"After captivating opponents with its sweet scent, it lashes them with its thorny whips.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sv5-10,Turtwig,Pokémon,Grass,Temporal Forces,10,Common,https://images.pokemontcg.io/sv5/10_hires.png,https://images.pokemontcg.io/sv5/10.png,80,"[{""name"": ""Solid Shell"", ""text"": ""This Pokémon takes 20 less damage from attacks (after applying Weakness and Resistance)."", ""type"": ""Ability""}]","[{""name"": ""Leafage"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": """"}]",Leafage,30,,Fire:×2,,Colorless__Colorless__Colorless,,OKACHEKE,Photosynthesis occurs across its body under the sun. The shell on its back is actually hardened soil.,,,,,,,,,,,,,,,,,,,,,,,,,
