Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sv6-1,Tangela,Pokémon,Grass,Twilight Masquerade,1,Common,https://images.pokemontcg.io/sv6/1_hires.png,https://images.pokemontcg.io/sv6/1.png,80,,"[{""name"": ""Gentle Slap"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Vine Slap"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Gentle Slap|Vine Slap,10|30,|,Fire:×2,,Colorless__Colorless,,Yoriyuki Ikegami,"Hidden beneath a tangle of vines that grows nonstop even if the vines are torn off, this Pokémon's true appearance remains a mystery.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sv6-2,Tangrowth,Pokémon,Grass,Twilight Masquerade,2,Common,https://images.pokemontcg.io/sv6/2_hires.png,https://images.pokemontcg.io/sv6/2.png,150,"[{""name"": ""Thicket Body"", ""text"": ""This Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance)."", ""type"": ""Ability""}]","[{""name"": ""Loom Over"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""150-"", ""text"": ""This attack does 10 less damage for each damage counter on this Pokémon.""}]",Loom Over,150-,This attack does 10 less damage for each damage counter on this Pokémon.,Fire:×2,,Colorless__Colorless__Colorless__Colorless,Tangela,LINNE,"Tangrowth has two arms that it can extend as it pleases. Recent research has shown that these arms are, in fact, bundles of vines.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sv6-3,Pinsir,Pokémon,Grass,Twilight Masquerade,3,Common,https://images.pokemontcg.io/sv6/3_hires.png,https://images.pokemontcg.io/sv6/3.png,110,,"[{""name"": ""Slow Crunch"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Discard all Energy from this Pokémon. At the end of your opponent's next turn, the Defending Pokémon will be Knocked Out.""}, {""name"": ""Superpowered Horns"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""100"", ""text"": """"}]",Slow Crunch|Superpowered Horns,|100,"Discard all Energy from this Pokémon. At the end of your opponent's next turn, the Defending Pokémon will be Knocked Out.|",Fire:×2,,Colorless__Colorless,,HYOGONOSUKE,"These Pokémon judge one another based on pincers. Thicker, more impressive pincers make for more popularity with the opposite gender.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sv6-4,Spinarak,Pokémon,Grass,Twilight Masquerade,4,Common,https://images.pokemontcg.io/sv6/4_hires.png,https://images.pokemontcg.io/sv6/4.png,60,,"[{""name"": ""Bug Bite"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Bug Bite,20,,Fire:×2,,Colorless,,Saya Tsuruta,Some fishers weave its sturdy thread into nets to catch fish Pokémon.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sv6-5,Ariados,Pokémon,Grass,Twilight Masquerade,5,Uncommon,https://images.pokemontcg.io/sv6/5_hires.png,https://images.pokemontcg.io/sv6/5.png,90,"[{""name"": ""Big Net"", ""text"": ""Your opponent's Active Evolution Pokémon's Retreat Cost is Colorless more."", ""type"": ""Ability""}]","[{""name"": ""String Bind"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""This attack does 30 more damage for each Colorless in your opponent's Active Pokémon's Retreat Cost.""}]",String Bind,10+,This attack does 30 more damage for each Colorless in your opponent's Active Pokémon's Retreat Cost.,Fire:×2,,Colorless,Spinarak,Anesaki Dynamic,"It wanders in search of food after darkness falls, never nesting in a specific place.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sv6-6,Sunkern,Pokémon,Grass,Twilight Masquerade,6,Common,https://images.pokemontcg.io/sv6/6_hires.png,https://images.pokemontcg.io/sv6/6.png,40,,"[{""name"": ""Bullet Seed"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10×"", ""text"": ""Flip 4 coins. This attack does 10 damage for each heads.""}]",Bullet Seed,10×,Flip 4 coins. This attack does 10 damage for each heads.,Fire:×2,,Colorless,,Naoyo Kimura,It is very weak. Its only means of defense is to shake its leaves desperately at its attacker.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sv6-7,Sunflora,Pokémon,Grass,Twilight Masquerade,7,Uncommon,https://images.pokemontcg.io/sv6/7_hires.png,https://images.pokemontcg.io/sv6/7.png,100,,"[{""name"": ""Redirected Sunlight"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""60×"", ""text"": ""This attack does 60 damage for each Fire Energy attached to all of your opponent's Pokémon.""}, {""name"": ""Mega Drain"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": ""Heal 30 damage from this Pokémon.""}]",Redirected Sunlight|Mega Drain,60×|50,This attack does 60 damage for each Fire Energy attached to all of your opponent's Pokémon.|Heal 30 damage from this Pokémon.,Fire:×2,,Colorless,Sunkern,Ounishi,"Since it converts sunlight into energy, it is always looking in the direction of the sun.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sv6-8,Heracross,Pokémon,Grass,Twilight Masquerade,8,Uncommon,https://images.pokemontcg.io/sv6/8_hires.png,https://images.pokemontcg.io/sv6/8.png,120,,"[{""name"": ""Body Slam"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}, {""name"": ""Seismic Toss"", ""cost"": [""Grass"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""130"", ""text"": """"}]",Body Slam|Seismic Toss,60|130,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.|",Fire:×2,,Colorless__Colorless,,Toshinao Aoki,"With its herculean powers, it can easily throw around an object that is 100 times its own weight.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sv6-9,Volbeat,Pokémon,Grass,Twilight Masquerade,9,Common,https://images.pokemontcg.io/sv6/9_hires.png,https://images.pokemontcg.io/sv6/9.png,70,,"[{""name"": ""Quick Sign"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""If you go first, you can use this attack during your first turn. Search your deck for up to 2 Basic Pokémon and put them onto your Bench. Then, shuffle your deck.""}, {""name"": ""Coordinated Strike"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""If Illumise is on your Bench, this attack does 60 more damage.""}]",Quick Sign|Coordinated Strike,|20+,"If you go first, you can use this attack during your first turn. Search your deck for up to 2 Basic Pokémon and put them onto your Bench. Then, shuffle your deck.|If Illumise is on your Bench, this attack does 60 more damage.",Fire:×2,,Colorless,,Orca,It flashes the light on its rear to communicate with other Volbeat. It loves the sweet aroma given off by Illumise.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sv6-10,Illumise,Pokémon,Grass,Twilight Masquerade,10,Common,https://images.pokemontcg.io/sv6/10_hires.png,https://images.pokemontcg.io/sv6/10.png,70,,"[{""name"": ""Slowing Perfume"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""You can use this attack only if you go second, and only during your first turn. Shuffle 1 of your opponent's Benched Pokémon and all attached cards into their deck.""}, {""name"": ""Glide"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Slowing Perfume|Glide,|30,"You can use this attack only if you go second, and only during your first turn. Shuffle 1 of your opponent's Benched Pokémon and all attached cards into their deck.|",Fire:×2,,Colorless,,Orca,It guides Volbeat to draw signs in the night sky. There are scholars who research the meaning of these signs.,,,,,,,,,,,,,,,,,,,,,,,,,
