Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sm5-1,Exeggcute,Pokémon,Grass,Ultra Prism,1,Common,https://images.pokemontcg.io/sm5/1_hires.png,https://images.pokemontcg.io/sm5/1.png,50,,"[{""name"": ""Continuous Eggsplosion"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20×"", ""text"": ""Flip a coin until you get tails. This attack does 20 damage for each heads.""}]",Continuous Eggsplosion,20×,Flip a coin until you get tails. This attack does 20 damage for each heads.,Fire:×2,,Colorless,,kawayoo,Its six eggs use telepathy to communicate among themselves. It is believed to carry plant genes and the genes of other species.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sm5-2,Yanma,Pokémon,Grass,Ultra Prism,2,Common,https://images.pokemontcg.io/sm5/2_hires.png,https://images.pokemontcg.io/sm5/2.png,70,,"[{""name"": ""Super Speed"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.""}]",Super Speed,20,"Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.",Lightning:×2,Fighting:-20,Colorless,,Akira Komayama,"If it flaps its wings really fast, it can generate shock waves that will shatter windows in the area.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sm5-3,Yanmega,Pokémon,Grass,Ultra Prism,3,Uncommon,https://images.pokemontcg.io/sm5/3_hires.png,https://images.pokemontcg.io/sm5/3.png,120,,"[{""name"": ""Supersonic"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Your opponent's Active Pokémon is now Confused.""}, {""name"": ""Cutting Wind"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""120"", ""text"": """"}]",Supersonic|Cutting Wind,30|120,Your opponent's Active Pokémon is now Confused.|,Lightning:×2,Fighting:-20,Colorless,Yanma,SATOSHI NAKAI,This six-legged Pokémon is easily capable of transporting an adult in flight. The wings on its tail help it stay balanced.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sm5-4,Roselia,Pokémon,Grass,Ultra Prism,4,Common,https://images.pokemontcg.io/sm5/4_hires.png,https://images.pokemontcg.io/sm5/4.png,70,,"[{""name"": ""Petal Dance"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30×"", ""text"": ""Flip 3 coins. This attack does 30 damage for each heads. This Pokémon is now Confused.""}]",Petal Dance,30×,Flip 3 coins. This attack does 30 damage for each heads. This Pokémon is now Confused.,Fire:×2,,Colorless,,Kyoko Umemoto,Roselia that drink nutritionally rich springwater are said to reveal rare coloration when they bloom.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sm5-5,Roserade,Pokémon,Grass,Ultra Prism,5,Rare,https://images.pokemontcg.io/sm5/5_hires.png,https://images.pokemontcg.io/sm5/5.png,100,,"[{""name"": ""Inviting Poison"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Switch 1 of your opponent's Benched Pokémon with their Active Pokémon. The new Active Pokémon is now Poisoned.""}, {""name"": ""Flower Tornado"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""100"", ""text"": ""Move any number of Grass Energy from your Pokémon to your other Pokémon in any way you like.""}]",Inviting Poison|Flower Tornado,|100,Switch 1 of your opponent's Benched Pokémon with their Active Pokémon. The new Active Pokémon is now Poisoned.|Move any number of Grass Energy from your Pokémon to your other Pokémon in any way you like.,Fire:×2,,Colorless,Roselia,Mitsuhiro Arita,"With the movements of a dancer, it strikes with whips that are densely lined with poison thorns.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sm5-6,Turtwig,Pokémon,Grass,Ultra Prism,6,Common,https://images.pokemontcg.io/sm5/6_hires.png,https://images.pokemontcg.io/sm5/6.png,70,,"[{""name"": ""Synthesis"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for a Grass Energy card and attach it to 1 of your Pokémon. Then, shuffle your deck.""}, {""name"": ""Headbutt Bounce"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Synthesis|Headbutt Bounce,|30,"Search your deck for a Grass Energy card and attach it to 1 of your Pokémon. Then, shuffle your deck.|",Fire:×2,,Colorless__Colorless,,Ken Sugimori,"It undertakes photosynthesis with its body, making oxygen. The leaf on its head wilts if it is thirsty.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sm5-7,Turtwig,Pokémon,Grass,Ultra Prism,7,Common,https://images.pokemontcg.io/sm5/7_hires.png,https://images.pokemontcg.io/sm5/7.png,80,,"[{""name"": ""Tackle"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}, {""name"": ""Razor Leaf"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}]",Tackle|Razor Leaf,20|50,|,Fire:×2,,Colorless__Colorless,,OOYAMA,"It undertakes photosynthesis with its body, making oxygen. The leaf on its head wilts if it is thirsty.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sm5-8,Grotle,Pokémon,Grass,Ultra Prism,8,Uncommon,https://images.pokemontcg.io/sm5/8_hires.png,https://images.pokemontcg.io/sm5/8.png,110,,"[{""name"": ""Mega Drain"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Heal 30 damage from this Pokémon.""}, {""name"": ""Razor Leaf"", ""cost"": [""Grass"", ""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""80"", ""text"": """"}]",Mega Drain|Razor Leaf,30|80,Heal 30 damage from this Pokémon.|,Fire:×2,,Colorless__Colorless__Colorless__Colorless,Turtwig,Shigenori Negishi,It knows where pure water wells up. It carries fellow Pokémon there on its back.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sm5-9,Torterra,Pokémon,Grass,Ultra Prism,9,Rare Holo,https://images.pokemontcg.io/sm5/9_hires.png,https://images.pokemontcg.io/sm5/9.png,180,,"[{""name"": ""Giga Drain"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""Heal from this Pokémon the same amount of damage you did to your opponent's Active Pokémon.""}, {""name"": ""Earthquake"", ""cost"": [""Grass"", ""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""180"", ""text"": ""This attack does 20 damage to each of your Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Giga Drain|Earthquake,50|180,Heal from this Pokémon the same amount of damage you did to your opponent's Active Pokémon.|This attack does 20 damage to each of your Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Fire:×2,,Colorless__Colorless__Colorless__Colorless,Grotle,kawayoo,Small Pokémon occasionally gather on its unmoving back to begin building their nests.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sm5-10,Cherubi,Pokémon,Grass,Ultra Prism,10,Common,https://images.pokemontcg.io/sm5/10_hires.png,https://images.pokemontcg.io/sm5/10.png,50,,"[{""name"": ""Surprise Attack"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Flip a coin. If tails, this attack does nothing.""}]",Surprise Attack,30,"Flip a coin. If tails, this attack does nothing.",Fire:×2,,Colorless,,Asako Ito,It evolves by sucking the energy out of the small ball where it had been storing nutrients.,,,,,,,,,,,,,,,,,,,,,,,,,
