Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sm10-1,Pheromosa & Buzzwole-GX,Pokémon,Grass,Unbroken Bonds,1,Rare Holo GX,https://images.pokemontcg.io/sm10/1_hires.png,https://images.pokemontcg.io/sm10/1.png,260,,"[{""name"": ""Jet Punch"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""This attack does 30 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Elegant Sole"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""190"", ""text"": ""During your next turn, this Pokémon's Elegant Sole attack's base damage is 60.""}, {""name"": ""Beast Game-GX"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""50"", ""text"": ""If your opponent's Pokémon is Knocked Out by damage from this attack, take 1 more Prize card. If this Pokémon has at least 7 extra Energy attached to it (in addition to this attack's cost), take 3 more Prize cards instead. (You can't use more than 1 GX attack in a game.)""}]",Jet Punch|Elegant Sole|Beast Game-GX,30|190|50,"This attack does 30 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|During your next turn, this Pokémon's Elegant Sole attack's base damage is 60.|If your opponent's Pokémon is Knocked Out by damage from this attack, take 1 more Prize card. If this Pokémon has at least 7 extra Energy attached to it (in addition to this attack's cost), take 3 more Prize cards instead. (You can't use more than 1 GX attack in a game.)",Fire:×2,,Colorless__Colorless,,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sm10-2,Caterpie,Pokémon,Grass,Unbroken Bonds,2,Common,https://images.pokemontcg.io/sm10/2_hires.png,https://images.pokemontcg.io/sm10/2.png,40,"[{""name"": ""Pupate"", ""text"": ""Once during your turn (before your attack), you may flip a coin. If heads, search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck."", ""type"": ""Ability""}]","[{""name"": ""Hook"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10"", ""text"": """"}]",Hook,10,,Fire:×2,,Colorless,,Shibuzoh.,"Perhaps because it would like to grow up quickly, it has a voracious appetite, eating a hundred leaves a day.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sm10-3,Metapod,Pokémon,Grass,Unbroken Bonds,3,Uncommon,https://images.pokemontcg.io/sm10/3_hires.png,https://images.pokemontcg.io/sm10/3.png,70,"[{""name"": ""Emerge"", ""text"": ""Once during your turn (before your attack), you may flip a coin. If heads, search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck."", ""type"": ""Ability""}]","[{""name"": ""Bug Bite"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": """"}]",Bug Bite,30,,Fire:×2,,Colorless__Colorless__Colorless,Caterpie,Shigenori Negishi,Its shell is filled with a thick liquid. All of the cells throughout its body are being rebuilt in preparation for evolution.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sm10-4,Butterfree,Pokémon,Grass,Unbroken Bonds,4,Rare,https://images.pokemontcg.io/sm10/4_hires.png,https://images.pokemontcg.io/sm10/4.png,130,,"[{""name"": ""Triple Charge"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for up to 3 basic Energy cards and attach them to your Pokémon in any way you like. Then, shuffle your deck.""}, {""name"": ""Solar Beam"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": """"}]",Triple Charge|Solar Beam,|70,"Search your deck for up to 3 basic Energy cards and attach them to your Pokémon in any way you like. Then, shuffle your deck.|",Fire:×2,,Colorless,Metapod,Midori Harada,"Its wings are covered in toxic scales. If it finds bird Pokémon going after Caterpie, Butterfree sprinkles its scales on them to drive them off.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sm10-5,Oddish,Pokémon,Grass,Unbroken Bonds,5,Common,https://images.pokemontcg.io/sm10/5_hires.png,https://images.pokemontcg.io/sm10/5.png,50,,"[{""name"": ""Stun Spore"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}, {""name"": ""Seed Bomb"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Stun Spore|Seed Bomb,|20,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.|",Fire:×2,,Colorless,,0313,"During the day, It stays in the cold underground to avoid the sun. It grows by bathing in moonlight.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sm10-6,Oddish,Pokémon,Grass,Unbroken Bonds,6,Common,https://images.pokemontcg.io/sm10/6_hires.png,https://images.pokemontcg.io/sm10/6.png,60,,"[{""name"": ""Hook"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Hook,10,,Fire:×2,,Colorless,,Asako Ito,"During the day, It stays in the cold underground to avoid the sun. It grows by bathing in moonlight.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sm10-7,Gloom,Pokémon,Grass,Unbroken Bonds,7,Uncommon,https://images.pokemontcg.io/sm10/7_hires.png,https://images.pokemontcg.io/sm10/7.png,80,"[{""name"": ""Irresistible Aroma"", ""text"": ""Once during your turn (before your attack), if your opponent's Bench isn't full, you may flip a coin. If heads, your opponent reveals their hand. Put a Basic Pokémon you find there onto their Bench."", ""type"": ""Ability""}]","[{""name"": ""Drool"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Drool,30,,Fire:×2,,Colorless__Colorless,Oddish,Anesaki Dynamic,"Smells incredibly foul! However, around one out of a thousand people enjoy sniffing its nose-bending stink.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sm10-8,Vileplume,Pokémon,Grass,Unbroken Bonds,8,Rare Holo,https://images.pokemontcg.io/sm10/8_hires.png,https://images.pokemontcg.io/sm10/8.png,140,"[{""name"": ""Varied Pollen"", ""text"": ""Once during your turn (before your attack), you may flip a coin. If heads, choose Asleep, Burned, Confused, or Poisoned. Your opponent's Active Pokémon is now affected by that Special Condition."", ""type"": ""Ability""}]","[{""name"": ""Giant Bloom"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""90"", ""text"": ""Heal 30 damage from this Pokémon.""}]",Giant Bloom,90,Heal 30 damage from this Pokémon.,Fire:×2,,Colorless__Colorless__Colorless,Gloom,Suwama Chiaki,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sm10-9,Venonat,Pokémon,Grass,Unbroken Bonds,9,Common,https://images.pokemontcg.io/sm10/9_hires.png,https://images.pokemontcg.io/sm10/9.png,60,,"[{""name"": ""Radar Eyes"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Look at the top 7 cards of your deck and put 1 of them into your hand. Shuffle the other cards back into your deck.""}, {""name"": ""Flop"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Radar Eyes|Flop,|20,Look at the top 7 cards of your deck and put 1 of them into your hand. Shuffle the other cards back into your deck.|,Fire:×2,,Colorless,,kirisAki,"Its big eyes are actually clusters of tiny eyes. At night, its kind is drawn by light.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sm10-10,Venonat,Pokémon,Grass,Unbroken Bonds,10,Common,https://images.pokemontcg.io/sm10/10_hires.png,https://images.pokemontcg.io/sm10/10.png,60,,"[{""name"": ""Psybeam"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Your opponent's Active Pokémon is now Confused.""}]",Psybeam,10,Your opponent's Active Pokémon is now Confused.,Fire:×2,,Colorless,,Yuka Morii,"Its big eyes are actually clusters of tiny eyes. At night, its kind is drawn by light.",,,,,,,,,,,,,,,,,,,,,,,,,
