Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sm11-1,Rowlet & Alolan Exeggutor-GX,Pokémon,Grass,Unified Minds,1,Rare Holo GX,https://images.pokemontcg.io/sm11/1_hires.png,https://images.pokemontcg.io/sm11/1.png,270,,"[{""name"": ""Super Growth"", ""cost"": [], ""convertedEnergyCost"": 0, ""damage"": """", ""text"": ""Search your deck for a card that evolves from 1 of your Grass Pokémon and put it onto that Pokémon to evolve it. If that Pokémon is now a Stage 1 Pokémon, search your deck for a Stage 2 Pokémon that evolves from that Pokémon and put it onto that Pokémon to evolve it. Then, shuffle your deck.""}, {""name"": ""Calming Hurricane"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""150"", ""text"": ""Heal 30 damage from this Pokémon.""}, {""name"": ""Tropical Hour-GX"", ""cost"": [""Grass"", ""Grass"", ""Grass""], ""convertedEnergyCost"": 3, ""damage"": ""200"", ""text"": ""If this Pokémon has at least 3 extra Energy attached to it (in addition to this attack's cost), your opponent shuffles all Energy from all of their Pokémon into their deck. (You can't use more than 1 GX attack in a game.)""}]",Super Growth|Calming Hurricane|Tropical Hour-GX,|150|200,"Search your deck for a card that evolves from 1 of your Grass Pokémon and put it onto that Pokémon to evolve it. If that Pokémon is now a Stage 1 Pokémon, search your deck for a Stage 2 Pokémon that evolves from that Pokémon and put it onto that Pokémon to evolve it. Then, shuffle your deck.|Heal 30 damage from this Pokémon.|If this Pokémon has at least 3 extra Energy attached to it (in addition to this attack's cost), your opponent shuffles all Energy from all of their Pokémon into their deck. (You can't use more than 1 GX attack in a game.)",Fire:×2,,Colorless__Colorless__Colorless,,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sm11-2,Yanma,Pokémon,Grass,Unified Minds,2,Common,https://images.pokemontcg.io/sm11/2_hires.png,https://images.pokemontcg.io/sm11/2.png,70,,"[{""name"": ""Tackle"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Cutting Wind"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Tackle|Cutting Wind,10|20,|,Fire:×2,,Colorless,,Eri Yamaki,Its eyes can see 360 degrees without moving its head. It won't miss prey—even those behind it.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sm11-3,Yanmega,Pokémon,Grass,Unified Minds,3,Uncommon,https://images.pokemontcg.io/sm11/3_hires.png,https://images.pokemontcg.io/sm11/3.png,120,,"[{""name"": ""Tackle"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": """"}, {""name"": ""Air Slash"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""100"", ""text"": ""Discard an Energy from this Pokémon.""}]",Tackle|Air Slash,50|100,|Discard an Energy from this Pokémon.,Fire:×2,,Colorless,Yanma,Hitoshi Ariga,It prefers to battle by biting apart foes' heads instantly while flying by at high speed.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sm11-4,Celebi,Pokémon,Grass,Unified Minds,4,Rare Holo,https://images.pokemontcg.io/sm11/4_hires.png,https://images.pokemontcg.io/sm11/4.png,80,,"[{""name"": ""Time Spiral"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Devolve 1 of your opponent's evolved Pokémon by removing the highest Stage Evolution card from it. Your opponent shuffles that card into their deck.""}, {""name"": ""Mind Bend"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Your opponent's Active Pokémon is now Confused.""}]",Time Spiral|Mind Bend,|20,Devolve 1 of your opponent's evolved Pokémon by removing the highest Stage Evolution card from it. Your opponent shuffles that card into their deck.|Your opponent's Active Pokémon is now Confused.,Fire:×2,,Colorless,,Megumi Mizutani,This Pokémon wanders across time. Grass and trees flourish in the forests in which it has appeared.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sm11-5,Shroomish,Pokémon,Grass,Unified Minds,5,Common,https://images.pokemontcg.io/sm11/5_hires.png,https://images.pokemontcg.io/sm11/5.png,60,,"[{""name"": ""Poison Powder"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Your opponent's Active Pokémon is now Poisoned.""}]",Poison Powder,,Your opponent's Active Pokémon is now Poisoned.,Fire:×2,,Colorless,,Ken Sugimori,It prefers damp places. By day it remains still in the forest shade. It releases toxic powder from its head.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sm11-6,Sewaddle,Pokémon,Grass,Unified Minds,6,Common,https://images.pokemontcg.io/sm11/6_hires.png,https://images.pokemontcg.io/sm11/6.png,50,,"[{""name"": ""Multiply"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for up to 2 Sewaddle and put them onto your Bench. Then, shuffle your deck.""}, {""name"": ""Gnaw"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Multiply|Gnaw,|10,"Search your deck for up to 2 Sewaddle and put them onto your Bench. Then, shuffle your deck.|",Fire:×2,,Colorless,,Naoyo Kimura,This Pokémon makes clothes for itself. It chews up leaves and sews them with sticky thread extruded from its mouth.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sm11-7,Sewaddle,Pokémon,Grass,Unified Minds,7,Common,https://images.pokemontcg.io/sm11/7_hires.png,https://images.pokemontcg.io/sm11/7.png,50,"[{""name"": ""Swaddling Leaves"", ""text"": ""This Pokémon takes 10 less damage from attacks (after applying Weakness and Resistance)."", ""type"": ""Ability""}]","[{""name"": ""Surprise Attack"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Flip a coin. If tails, this attack does nothing.""}]",Surprise Attack,20,"Flip a coin. If tails, this attack does nothing.",Fire:×2,,Colorless,,Shigenori Negishi,This Pokémon makes clothes for itself. It chews up leaves and sews them with sticky thread extruded from its mouth.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sm11-8,Swadloon,Pokémon,Grass,Unified Minds,8,Uncommon,https://images.pokemontcg.io/sm11/8_hires.png,https://images.pokemontcg.io/sm11/8.png,70,"[{""name"": ""Swaddling Leaves"", ""text"": ""This Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance)."", ""type"": ""Ability""}]","[{""name"": ""Bug Bite"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Bug Bite,10,,Fire:×2,,Colorless__Colorless,Sewaddle,Shibuzoh.,Forests where Swadloon live have superb foliage because the nutrients they make from fallen leaves nourish the plant life.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sm11-9,Leavanny,Pokémon,Grass,Unified Minds,9,Rare,https://images.pokemontcg.io/sm11/9_hires.png,https://images.pokemontcg.io/sm11/9.png,120,"[{""name"": ""Blanket Weaver"", ""text"": ""Your Grass Pokémon take 40 less damage from your opponent's attacks (after applying Weakness and Resistance). You can't apply more than 1 Blanket Weaver Ability at a time."", ""type"": ""Ability""}]","[{""name"": ""Razor Leaf"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""70"", ""text"": """"}]",Razor Leaf,70,,Fire:×2,,Colorless,Swadloon,Kagemaru Himeno,"Upon finding a small Pokémon, it weaves clothing for it from leaves by using the sticky silk secreted from its mouth.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sm11-10,Dwebble,Pokémon,Grass,Unified Minds,10,Common,https://images.pokemontcg.io/sm11/10_hires.png,https://images.pokemontcg.io/sm11/10.png,70,,"[{""name"": ""Dig Claws"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Dig Claws,10,,Fire:×2,,Colorless__Colorless,,kawayoo,"It makes a hole in a suitable rock. If that rock breaks, the Pokémon remains agitated until it locates a replacement.",,,,,,,,,,,,,,,,,,,,,,,,,
