Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ex10-1,Ampharos,Pokémon,Lightning,Unseen Forces,1,Rare Holo,https://images.pokemontcg.io/ex10/1_hires.png,https://images.pokemontcg.io/ex10/1.png,120,"[{""name"": ""Energy Connect"", ""text"": ""As often as you like during your turn (before your attack), you may move a basic Energy card attached to 1 of your Benched Pokémon to your Active Pokémon. This power can't be used if Ampharos is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Miraculous Thunder"", ""cost"": [""Lightning"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""You may discard all Lightning Energy attached to Ampharos. If you do, the Defending Pokémon is now Burned and Confused.""}]",Miraculous Thunder,50,"You may discard all Lightning Energy attached to Ampharos. If you do, the Defending Pokémon is now Burned and Confused.",Fighting:×2,Metal:-30,Colorless__Colorless,Flaaffy,Kyoko Umemoto,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,ex10-2,Ariados,Pokémon,Grass,Unseen Forces,2,Rare Holo,https://images.pokemontcg.io/ex10/2_hires.png,https://images.pokemontcg.io/ex10/2.png,70,,"[{""name"": ""Reactive Poison"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""Does 10 damage plus 30 more damage for each Special Condition affecting the Defending Pokémon.""}, {""name"": ""Spider Trap"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""The Defending Pokémon is now Asleep and Poisoned. Before applying this effect, you may switch 1 of your opponent's Benched Pokémon with 1 of the Defending Pokémon. If you do, the new Defending Pokémon is now Asleep and Poisoned. Your opponent chooses the Defending Pokémon to switch.""}]",Reactive Poison|Spider Trap,10+|,"Does 10 damage plus 30 more damage for each Special Condition affecting the Defending Pokémon.|The Defending Pokémon is now Asleep and Poisoned. Before applying this effect, you may switch 1 of your opponent's Benched Pokémon with 1 of the Defending Pokémon. If you do, the new Defending Pokémon is now Asleep and Poisoned. Your opponent chooses the Defending Pokémon to switch.",Psychic:×2,,Colorless,Spinarak,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,ex10-3,Bellossom,Pokémon,Grass,Unseen Forces,3,Rare Holo,https://images.pokemontcg.io/ex10/3_hires.png,https://images.pokemontcg.io/ex10/3.png,90,,"[{""name"": ""Green Dance"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for up to 2 Grass Pokémon, show them to your opponent, and put them into your hand. Shuffle your deck afterward. If you put any Grass Pokémon into your hand, you may switch Bellossom with 1 of your Benched Pokémon.""}, {""name"": ""Full Bloom"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50+"", ""text"": ""If you have at least 3 Bellossom in play, this attack does 50 damage plus 50 more damage.""}]",Green Dance|Full Bloom,|50+,"Search your deck for up to 2 Grass Pokémon, show them to your opponent, and put them into your hand. Shuffle your deck afterward. If you put any Grass Pokémon into your hand, you may switch Bellossom with 1 of your Benched Pokémon.|If you have at least 3 Bellossom in play, this attack does 50 damage plus 50 more damage.",Fire:×2,Water:-30,Colorless,Gloom,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,ex10-4,Feraligatr,Pokémon,Water,Unseen Forces,4,Rare Holo,https://images.pokemontcg.io/ex10/4_hires.png,https://images.pokemontcg.io/ex10/4.png,120,"[{""name"": ""Intimidating Fang"", ""text"": ""As long as Feraligatr is your Active Pokémon, any damage done by an opponent's attack is reduced by 10 (before applying Weakness and Resistance)."", ""type"": ""Poké-Body""}]","[{""name"": ""Pull Away"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""If your opponent has 5 of more cards in his or her hand, your opponent discards a number of cards until your opponent has 4 cards left in his or her hand.""}, {""name"": ""Tonnage"", ""cost"": [""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50+"", ""text"": ""You may do 50 damage plus 30 more damage. If you do, Feraligatr does 30 damage to itself.""}]",Pull Away|Tonnage,30|50+,"If your opponent has 5 of more cards in his or her hand, your opponent discards a number of cards until your opponent has 4 cards left in his or her hand.|You may do 50 damage plus 30 more damage. If you do, Feraligatr does 30 damage to itself.",Lightning:×2,,Colorless__Colorless,Croconaw,Masakazu Fukuda,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,ex10-5,Flareon,Pokémon,Fire,Unseen Forces,5,Rare Holo,https://images.pokemontcg.io/ex10/5_hires.png,https://images.pokemontcg.io/ex10/5.png,70,,"[{""name"": ""Fire Dance"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Search your discard pile for a Fire Energy card and attach it to 1 of your Pokémon.""}, {""name"": ""Multi Burn"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40+"", ""text"": ""If Flareon has 3 or more different types of basic Energy cards attached to it, this attack does 40 damage plus 20 more damage and the Defending Pokémon is now Burned.""}]",Fire Dance|Multi Burn,20|40+,"Search your discard pile for a Fire Energy card and attach it to 1 of your Pokémon.|If Flareon has 3 or more different types of basic Energy cards attached to it, this attack does 40 damage plus 20 more damage and the Defending Pokémon is now Burned.",Water:×2,,Colorless,Eevee,Naoyo Kimura,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,ex10-6,Forretress,Pokémon,Metal,Unseen Forces,6,Rare Holo,https://images.pokemontcg.io/ex10/6_hires.png,https://images.pokemontcg.io/ex10/6.png,70,,"[{""name"": ""Spiky Shell"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Put 3 damage counters on the Defending Pokémon at the end of your opponent's next turn.""}, {""name"": ""Pop"", ""cost"": [""Metal"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""100"", ""text"": ""Put 7 damage counters on Forretress. Move all Energy cards attached to Forretress to your Benched Pokémon in any way you like. (Ignore this effect if you don't have any Benched Pokémon.)""}]",Spiky Shell|Pop,20|100,Put 3 damage counters on the Defending Pokémon at the end of your opponent's next turn.|Put 7 damage counters on Forretress. Move all Energy cards attached to Forretress to your Benched Pokémon in any way you like. (Ignore this effect if you don't have any Benched Pokémon.),Fire:×2,Grass:-30,Colorless,Pineco,Aya Kusube,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,ex10-7,Houndoom,Pokémon,Fire,Unseen Forces,7,Rare Holo,https://images.pokemontcg.io/ex10/7_hires.png,https://images.pokemontcg.io/ex10/7.png,70,"[{""name"": ""Lonesome"", ""text"": ""As long as you have less Pokémon in play than your opponent, your opponent can't play any Trainer cards (except for Supporter cards) from his or her hand."", ""type"": ""Poké-Body""}]","[{""name"": ""Tight Jaw"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}, {""name"": ""Flamethrower"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": ""Discard a Fire Energy attached to Houndoom.""}]",Tight Jaw|Flamethrower,20|70,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.|Discard a Fire Energy attached to Houndoom.",Water:×2,,Colorless,Houndour,Midori Harada,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,ex10-8,Jolteon,Pokémon,Lightning,Unseen Forces,8,Rare Holo,https://images.pokemontcg.io/ex10/8_hires.png,https://images.pokemontcg.io/ex10/8.png,70,,"[{""name"": ""Attract Current"", ""cost"": [""Lightning""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, search your deck for a Lightning Energy card and attach it to 1 of your Pokémon. Shuffle your deck afterward.""}, {""name"": ""Multi Pulse"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40+"", ""text"": ""If Jolteon has 3 of more different types of basic Energy cards attached to it, this attack does 40 damage plus 20 more damage and the Defending Pokémon is now Confused.""}]",Attract Current|Multi Pulse,20|40+,"Flip a coin. If heads, search your deck for a Lightning Energy card and attach it to 1 of your Pokémon. Shuffle your deck afterward.|If Jolteon has 3 of more different types of basic Energy cards attached to it, this attack does 40 damage plus 20 more damage and the Defending Pokémon is now Confused.",Fighting:×2,Metal:-30,,Eevee,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,ex10-9,Meganium,Pokémon,Grass,Unseen Forces,9,Rare Holo,https://images.pokemontcg.io/ex10/9_hires.png,https://images.pokemontcg.io/ex10/9.png,100,"[{""name"": ""Healing Aroma"", ""text"": ""As long as Meganium is your Active Pokémon, remove 1 damage counter from each Pokémon (excluding Pokémon-ex) (both yours and your opponent's) between turns."", ""type"": ""Poké-Body""}]","[{""name"": ""Bouncy Move"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50+"", ""text"": ""You may put up to 5 damage counters on Meganium. If you do, this attack does 50 damage plus 10 more damage for each damage counter you put on Meganium in this way.""}]",Bouncy Move,50+,"You may put up to 5 damage counters on Meganium. If you do, this attack does 50 damage plus 10 more damage for each damage counter you put on Meganium in this way.",Fire:×2,Water:-30,Colorless__Colorless__Colorless,Bayleef,Atsuko Nishida,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,ex10-10,Octillery,Pokémon,Water,Unseen Forces,10,Rare Holo,https://images.pokemontcg.io/ex10/10_hires.png,https://images.pokemontcg.io/ex10/10.png,80,"[{""name"": ""Super Suction Cups"", ""text"": ""As long as Octillery is your Active Pokémon, your opponent's Pokémon can't retreat."", ""type"": ""Poké-Body""}]","[{""name"": ""Standing By"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Discard an Energy card attached to Octillery. During your next turn, Octillery's Pulse Blast attack's base damage is 120.""}, {""name"": ""Pulse Blast"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Standing By|Pulse Blast,|30,"Discard an Energy card attached to Octillery. During your next turn, Octillery's Pulse Blast attack's base damage is 120.|",Lightning:×2,,Colorless,Remoraid,Naoyo Kimura,,,,,,,,,,,,,,,,,,,,,,,,,,
