Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh4-1,Weedle,Pokémon,Grass,Vivid Voltage,1,Common,https://images.pokemontcg.io/swsh4/1_hires.png,https://images.pokemontcg.io/swsh4/1.png,40,,"[{""name"": ""Bug Hunch"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for up to 2 Grass Pokémon, reveal them, and put them into your hand. Then, shuffle your deck.""}]",Bug Hunch,,"Search your deck for up to 2 Grass Pokémon, reveal them, and put them into your hand. Then, shuffle your deck.",Fire:×2,,Colorless,,sui,Its poison stinger is very powerful. Its bright-colored body is intended to warn off its enemies.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,swsh4-2,Kakuna,Pokémon,Grass,Vivid Voltage,2,Uncommon,https://images.pokemontcg.io/swsh4/2_hires.png,https://images.pokemontcg.io/swsh4/2.png,80,,"[{""name"": ""Shed Skin"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Heal 30 damage from this Pokémon.""}, {""name"": ""Bug Bite"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Shed Skin|Bug Bite,|20,Heal 30 damage from this Pokémon.|,Fire:×2,,Colorless__Colorless__Colorless,Weedle,Naoyo Kimura,"While awaiting evolution, it hides from predators under leaves and in nooks of branches.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,swsh4-3,Beedrill,Pokémon,Grass,Vivid Voltage,3,Rare,https://images.pokemontcg.io/swsh4/3_hires.png,https://images.pokemontcg.io/swsh4/3.png,130,"[{""name"": ""Elusive Master"", ""text"": ""Once during your turn, if this Pokémon is the last card in your hand, you may play it onto your Bench. If you do, draw 3 cards."", ""type"": ""Ability""}]","[{""name"": ""Sharp Sting"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""120"", ""text"": """"}]",Sharp Sting,120,,Fire:×2,,,Kakuna,KEIICHIRO ITO,"May appear in a swarm. Flies at violent speeds, all the while stabbing with the toxic stinger on its rear.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,swsh4-4,Exeggcute,Pokémon,Grass,Vivid Voltage,4,Common,https://images.pokemontcg.io/swsh4/4_hires.png,https://images.pokemontcg.io/swsh4/4.png,60,,"[{""name"": ""Seed Bomb"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Seed Bomb,10,,Fire:×2,,Colorless,,Hasuno,"Six of them form a single Pokémon. Should one of the six be lost, the next morning there will once more be six.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,swsh4-5,Exeggutor,Pokémon,Grass,Vivid Voltage,5,Rare,https://images.pokemontcg.io/swsh4/5_hires.png,https://images.pokemontcg.io/swsh4/5.png,140,,"[{""name"": ""Head Crack"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Choose 1 of your opponent's Active Pokémon's attacks. During your opponent's next turn, that Pokémon can't use that attack.""}, {""name"": ""Solar Beam"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""90"", ""text"": """"}]",Head Crack|Solar Beam,30|90,"Choose 1 of your opponent's Active Pokémon's attacks. During your opponent's next turn, that Pokémon can't use that attack.|",Fire:×2,,Colorless__Colorless__Colorless,Exeggcute,miki kudo,"Each of its three heads has its own thoughts. When they want to go in different directions, Exeggutor becomes unable to move.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,swsh4-6,Yanma,Pokémon,Grass,Vivid Voltage,6,Common,https://images.pokemontcg.io/swsh4/6_hires.png,https://images.pokemontcg.io/swsh4/6.png,80,,"[{""name"": ""U-turn"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""You may switch this Pokémon with 1 of your Benched Pokémon.""}, {""name"": ""Cutting Wind"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": """"}]",U-turn|Cutting Wind,10|60,You may switch this Pokémon with 1 of your Benched Pokémon.|,Fire:×2,,Colorless,,MAHOU,"If it flaps its wings really fast, it can generate shock waves that will shatter windows in the area.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,swsh4-7,Yanmega,Pokémon,Grass,Vivid Voltage,7,Rare,https://images.pokemontcg.io/swsh4/7_hires.png,https://images.pokemontcg.io/swsh4/7.png,130,,"[{""name"": ""U-turn"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": ""You may switch this Pokémon with 1 of your Benched Pokémon.""}, {""name"": ""Cutting Wind"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""130"", ""text"": """"}]",U-turn|Cutting Wind,50|130,You may switch this Pokémon with 1 of your Benched Pokémon.|,Fire:×2,,,Yanma,Uta,This six-legged Pokémon is easily capable of transporting an adult in flight. The wings on its tail help it stay balanced.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,swsh4-8,Pineco,Pokémon,Grass,Vivid Voltage,8,Common,https://images.pokemontcg.io/swsh4/8_hires.png,https://images.pokemontcg.io/swsh4/8.png,60,,"[{""name"": ""Ram"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Iron Defense"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Flip a coin. If heads, during your opponent's next turn, prevent all damage done to this Pokémon by attacks.""}]",Ram|Iron Defense,10|,"|Flip a coin. If heads, during your opponent's next turn, prevent all damage done to this Pokémon by attacks.",Fire:×2,,Colorless__Colorless,,Tomokazu Komiya,"It sticks tree bark to itself with its saliva, making itself thicker and larger. Elderly Pineco are ridiculously huge.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,swsh4-9,Celebi,Pokémon,Grass,Vivid Voltage,9,Amazing Rare,https://images.pokemontcg.io/swsh4/9_hires.png,https://images.pokemontcg.io/swsh4/9.png,60,,"[{""name"": ""Energy Press"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30×"", ""text"": ""This attack does 30 damage for each Energy attached to your opponent's Active Pokémon.""}, {""name"": ""Amazing Bloom"", ""cost"": [""Lightning"", ""Psychic""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""For each of your Benched Pokémon, search your deck for a card that evolves from that Pokémon and put it onto that Pokémon to evolve it. Then, shuffle your deck.""}]",Energy Press|Amazing Bloom,30×|,"This attack does 30 damage for each Energy attached to your opponent's Active Pokémon.|For each of your Benched Pokémon, search your deck for a card that evolves from that Pokémon and put it onto that Pokémon to evolve it. Then, shuffle your deck.",Fire:×2,,Colorless,,5ban Graphics,This Pokémon has the ability to move through time. Records describing it as a forest deity can be found from many different eras.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,swsh4-10,Seedot,Pokémon,Grass,Vivid Voltage,10,Common,https://images.pokemontcg.io/swsh4/10_hires.png,https://images.pokemontcg.io/swsh4/10.png,60,,"[{""name"": ""Ram"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Ram,10,,Fire:×2,,Colorless,,Suwama Chiaki,"If it remains still, it looks just like a real nut. It delights in surprising foraging Pokémon.",,,,,,,,,,,,,,,,,,,,,,,,,
