Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,rsv10pt5-1,Sewaddle,Pokémon,Grass,White Flare,1,Common,https://images.pokemontcg.io/rsv10pt5/1_hires.png,https://images.pokemontcg.io/rsv10pt5/1.png,50,,"[{""name"": ""Bug Bite"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Bug Bite,20,,Fire:×2,,Colorless,,Oswaldo KATO,Leavanny dress it in clothes they made for it when it hatched. It hides its head in its hood while it is sleeping.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,rsv10pt5-2,Swadloon,Pokémon,Grass,White Flare,2,Common,https://images.pokemontcg.io/rsv10pt5/2_hires.png,https://images.pokemontcg.io/rsv10pt5/2.png,80,"[{""name"": ""Healing Leaves"", ""text"": ""Once during your turn, you may heal 20 damage from your Active Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Bug Buzz"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": """"}]",Bug Buzz,40,,Fire:×2,,Colorless__Colorless,Sewaddle,Oswaldo KATO,Forests where Swadloon live have superb foliage because the nutrients they make from fallen leaves nourish the plant life.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,rsv10pt5-3,Leavanny,Pokémon,Grass,White Flare,3,Uncommon,https://images.pokemontcg.io/rsv10pt5/3_hires.png,https://images.pokemontcg.io/rsv10pt5/3.png,130,,"[{""name"": ""Healing Wrapping"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Heal 100 damage from each of your Basic Pokémon.""}, {""name"": ""X-Scissor"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""90+"", ""text"": ""Flip a coin. If heads, this attack does 40 more damage.""}]",Healing Wrapping|X-Scissor,|90+,"Heal 100 damage from each of your Basic Pokémon.|Flip a coin. If heads, this attack does 40 more damage.",Fire:×2,,Colorless,Swadloon,Oswaldo KATO,"Upon finding a small Pokémon, it weaves clothing for it from leaves, using the cutters on its arms and sticky silk.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,rsv10pt5-4,Cottonee,Pokémon,Grass,White Flare,4,Common,https://images.pokemontcg.io/rsv10pt5/4_hires.png,https://images.pokemontcg.io/rsv10pt5/4.png,60,,"[{""name"": ""Absorb"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Heal 10 damage from this Pokémon.""}]",Absorb,10,Heal 10 damage from this Pokémon.,Fire:×2,,Colorless,,sui,"When attacked, it escapes by shooting cotton from its body. The cotton serves as a decoy to distract the attacker.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,rsv10pt5-5,Whimsicott ex,Pokémon,Grass,White Flare,5,Double Rare,https://images.pokemontcg.io/rsv10pt5/5_hires.png,https://images.pokemontcg.io/rsv10pt5/5.png,230,,"[{""name"": ""Energy Gift"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for up to 3 Basic Energy cards and attach them to your Pokémon in any way you like. Then, shuffle your deck.""}, {""name"": ""Wondrous Cotton"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""50×"", ""text"": ""Your opponent reveals their hand. This attack does 50 damage for each Trainer card you find there.""}]",Energy Gift|Wondrous Cotton,|50×,"Search your deck for up to 3 Basic Energy cards and attach them to your Pokémon in any way you like. Then, shuffle your deck.|Your opponent reveals their hand. This attack does 50 damage for each Trainer card you find there.",Fire:×2,,,Cottonee,5ban Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,rsv10pt5-6,Deerling,Pokémon,Grass,White Flare,6,Common,https://images.pokemontcg.io/rsv10pt5/6_hires.png,https://images.pokemontcg.io/rsv10pt5/6.png,70,,"[{""name"": ""Rear Kick"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Rear Kick,30,,Fire:×2,,Colorless,,Narano,"The color and scent of their fur changes to match the mountain grass. When they sense hostility, they hide in the grass.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,rsv10pt5-7,Sawsbuck,Pokémon,Grass,White Flare,7,Uncommon,https://images.pokemontcg.io/rsv10pt5/7_hires.png,https://images.pokemontcg.io/rsv10pt5/7.png,130,,"[{""name"": ""Push Down"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": ""Switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.)""}, {""name"": ""Solar Beam"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""100"", ""text"": """"}]",Push Down|Solar Beam,50|100,Switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.)|,Fire:×2,,Colorless__Colorless,Deerling,Narano,They migrate according to the seasons. People can tell the season by looking at Sawsbuck's horns.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,rsv10pt5-8,Shelmet,Pokémon,Grass,White Flare,8,Common,https://images.pokemontcg.io/rsv10pt5/8_hires.png,https://images.pokemontcg.io/rsv10pt5/8.png,60,"[{""name"": ""Stimulated Evolution"", ""text"": ""If you have Karrablast in play, this Pokémon can evolve during your first turn or the turn you play it."", ""type"": ""Ability""}]","[{""name"": ""Headbutt Bounce"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Headbutt Bounce,10,,Fire:×2,,Colorless__Colorless__Colorless,,Saboteri,"When attacked, it defends itself by closing the lid of its shell. It can spit a sticky, poisonous liquid.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,rsv10pt5-9,Accelgor,Pokémon,Grass,White Flare,9,Uncommon,https://images.pokemontcg.io/rsv10pt5/9_hires.png,https://images.pokemontcg.io/rsv10pt5/9.png,100,,"[{""name"": ""Acid Spray"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""50"", ""text"": ""Flip a coin. If heads, discard an Energy from your opponent's Active Pokémon.""}]",Acid Spray,50,"Flip a coin. If heads, discard an Energy from your opponent's Active Pokémon.",Fire:×2,,Colorless,Shelmet,Saboteri,"When its body dries out, it weakens. So, to prevent dehydration, it wraps itself in many layers of thin membrane.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,rsv10pt5-10,Virizion,Pokémon,Grass,White Flare,10,Rare,https://images.pokemontcg.io/rsv10pt5/10_hires.png,https://images.pokemontcg.io/rsv10pt5/10.png,120,,"[{""name"": ""Giga Drain"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Heal from this Pokémon the same amount of damage you did to your opponent's Active Pokémon.""}, {""name"": ""Emerald Blade"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""130"", ""text"": ""During your next turn, this Pokémon can't use attacks.""}]",Giga Drain|Emerald Blade,30|130,"Heal from this Pokémon the same amount of damage you did to your opponent's Active Pokémon.|During your next turn, this Pokémon can't use attacks.",Fire:×2,,Colorless,,Felicia Chen,This Pokémon fought humans in order to protect its friends. Legends about it continue to be passed down.,,,,,,,,,,,,,,,,,,,,,,,,,
