Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,xy1-1,Venusaur-EX,Pokémon,Grass,XY,1,Rare Holo EX,https://images.pokemontcg.io/xy1/1_hires.png,https://images.pokemontcg.io/xy1/1.png,180,,"[{""name"": ""Poison Powder"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""Your opponent's Active Pokémon is now Poisoned.""}, {""name"": ""Jungle Hammer"", ""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""90"", ""text"": ""Heal 30 damage from this Pokémon.""}]",Poison Powder|Jungle Hammer,60|90,Your opponent's Active Pokémon is now Poisoned.|Heal 30 damage from this Pokémon.,Fire:×2,,Colorless__Colorless__Colorless__Colorless,,Eske Yoshinob,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,xy1-2,M Venusaur-EX,Pokémon,Grass,XY,2,Rare Holo EX,https://images.pokemontcg.io/xy1/2_hires.png,https://images.pokemontcg.io/xy1/2.png,230,,"[{""name"": ""Crisis Vine"", ""cost"": [""Grass"", ""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""120"", ""text"": ""Your opponent's Active Pokémon is now Paralyzed and Poisoned.""}]",Crisis Vine,120,Your opponent's Active Pokémon is now Paralyzed and Poisoned.,Fire:×2,,Colorless__Colorless__Colorless__Colorless,Venusaur-EX,5ban Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,xy1-3,Weedle,Pokémon,Grass,XY,3,Common,https://images.pokemontcg.io/xy1/3_hires.png,https://images.pokemontcg.io/xy1/3.png,50,,"[{""name"": ""Leaf Munch"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""If your opponent's Active Pokémon is a Grass Pokémon, this attack does 20 more damage.""}]",Leaf Munch,10+,"If your opponent's Active Pokémon is a Grass Pokémon, this attack does 20 more damage.",Fire:×2,,Colorless,,Suwama Chiaki,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,xy1-4,Kakuna,Pokémon,Grass,XY,4,Uncommon,https://images.pokemontcg.io/xy1/4_hires.png,https://images.pokemontcg.io/xy1/4.png,70,,"[{""name"": ""Harden"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""During your opponent's next turn, if this Pokémon would be damaged by an attack, prevent that attack's damage done to this Pokémon if that damage is 60 or less.""}]",Harden,,"During your opponent's next turn, if this Pokémon would be damaged by an attack, prevent that attack's damage done to this Pokémon if that damage is 60 or less.",Fire:×2,,Colorless__Colorless,Weedle,Kouki Saitou,"Almost incapable of moving, this Pokémon can only harden its shell to protect itself when it is in danger.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,xy1-5,Beedrill,Pokémon,Grass,XY,5,Rare,https://images.pokemontcg.io/xy1/5_hires.png,https://images.pokemontcg.io/xy1/5.png,120,,"[{""name"": ""Poison Jab"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Your opponent's Active Pokémon is now Poisoned.""}, {""name"": ""Flash Needle"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""40×"", ""text"": ""Flip 3 coins. This attack does 40 damage times the number of heads. If all of them are heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.""}]",Poison Jab|Flash Needle,20|40×,"Your opponent's Active Pokémon is now Poisoned.|Flip 3 coins. This attack does 40 damage times the number of heads. If all of them are heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.",Fire:×2,,Colorless,Kakuna,Shin Nagasawa,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,xy1-6,Ledyba,Pokémon,Grass,XY,6,Common,https://images.pokemontcg.io/xy1/6_hires.png,https://images.pokemontcg.io/xy1/6.png,60,,"[{""name"": ""Spinning Attack"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Spinning Attack,30,,Fire:×2,,Colorless,,Mizue,"When the weather turns cold, lots of Ledyba gather from everywhere to cluster and keep each other warm.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,xy1-7,Ledian,Pokémon,Grass,XY,7,Uncommon,https://images.pokemontcg.io/xy1/7_hires.png,https://images.pokemontcg.io/xy1/7.png,80,,"[{""name"": ""Tackle"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": """"}, {""name"": ""Mach Punch"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": ""This attack does 10 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Tackle|Mach Punch,30|50,|This attack does 10 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Fire:×2,,Colorless,Ledyba,Hitoshi Ariga,"When the stars flicker in the night sky, it flutters about, scattering a glowing powder.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,xy1-8,Volbeat,Pokémon,Grass,XY,8,Uncommon,https://images.pokemontcg.io/xy1/8_hires.png,https://images.pokemontcg.io/xy1/8.png,70,,"[{""name"": ""Luring Glow"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Switch 1 of your opponent's Benched Pokémon with your opponent's Active Pokémon.""}, {""name"": ""Signal Beam"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Your opponent's Active Pokémon is now Confused.""}]",Luring Glow|Signal Beam,|30,Switch 1 of your opponent's Benched Pokémon with your opponent's Active Pokémon.|Your opponent's Active Pokémon is now Confused.,Fire:×2,,Colorless,,Kanako Eo,It communicates with others by lighting up its rear at night. It loves Illumise's sweet aroma.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,xy1-9,Illumise,Pokémon,Grass,XY,9,Uncommon,https://images.pokemontcg.io/xy1/9_hires.png,https://images.pokemontcg.io/xy1/9.png,70,,"[{""name"": ""Pheromotion"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for a Grass Pokémon, reveal it, and put it into your hand. Shuffle your deck afterward.""}, {""name"": ""Quick Attack"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""Flip a coin. If heads, this attack does 20 more damage.""}]",Pheromotion|Quick Attack,|20+,"Search your deck for a Grass Pokémon, reveal it, and put it into your hand. Shuffle your deck afterward.|Flip a coin. If heads, this attack does 20 more damage.",Fire:×2,,Colorless,,Kanako Eo,"Its fragrance attracts a swarm of Volbeat, so they draw over 200 patterns in the night sky.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,xy1-10,Pansage,Pokémon,Grass,XY,10,Common,https://images.pokemontcg.io/xy1/10_hires.png,https://images.pokemontcg.io/xy1/10.png,60,,"[{""name"": ""Vine Whip"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Leech Seed"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Heal 10 damage from this Pokémon.""}]",Vine Whip|Leech Seed,10|20,|Heal 10 damage from this Pokémon.,Fire:×2,,Colorless,,Midori Harada,It shares the leaf on its head with weary-looking Pokémon. These leaves are known to relieve stress.,,,,,,,,,,,,,,,,,,,,,,,,,
