Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sv3pt5-1,Bulbasaur,Pokémon,Grass,151,1,Common,https://images.pokemontcg.io/sv3pt5/1_hires.png,https://images.pokemontcg.io/sv3pt5/1.png,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sv3pt5-2,Ivysaur,Pokémon,Grass,151,2,Uncommon,https://images.pokemontcg.io/sv3pt5/2_hires.png,https://images.pokemontcg.io/sv3pt5/2.png,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sv3pt5-3,Venusaur ex,Pokémon,Grass,151,3,Double Rare,https://images.pokemontcg.io/sv3pt5/3_hires.png,https://images.pokemontcg.io/sv3pt5/3.png,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sv3pt5-4,Charmander,Pokémon,Fire,151,4,Common,https://images.pokemontcg.io/sv3pt5/4_hires.png,https://images.pokemontcg.io/sv3pt5/4.png,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sv3pt5-5,Charmeleon,Pokémon,Fire,151,5,Uncommon,https://images.pokemontcg.io/sv3pt5/5_hires.png,https://images.pokemontcg.io/sv3pt5/5.png,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sv3pt5-6,Charizard ex,Pokémon,Fire,151,6,Double Rare,https://images.pokemontcg.io/sv3pt5/6_hires.png,https://images.pokemontcg.io/sv3pt5/6.png,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sv3pt5-7,Squirtle,Pokémon,Water,151,7,Common,https://images.pokemontcg.io/sv3pt5/7_hires.png,https://images.pokemontcg.io/sv3pt5/7.png,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sv3pt5-8,Wartortle,Pokémon,Water,151,8,Uncommon,https://images.pokemontcg.io/sv3pt5/8_hires.png,https://images.pokemontcg.io/sv3pt5/8.png,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sv3pt5-9,Blastoise ex,Pokémon,Water,151,9,Double Rare,https://images.pokemontcg.io/sv3pt5/9_hires.png,https://images.pokemontcg.io/sv3pt5/9.png,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sv3pt5-10,Caterpie,Pokémon,Grass,151,10,Common,https://images.pokemontcg.io/sv3pt5/10_hires.png,https://images.pokemontcg.io/sv3pt5/10.png,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,sv3pt5-11,Metapod,Pokémon,Grass,151,11,Common,https://images.pokemontcg.io/sv3pt5/11_hires.png,https://images.pokemontcg.io/sv3pt5/11.png,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,sv3pt5-12,Butterfree,Pokémon,Grass,151,12,Uncommon,https://images.pokemontcg.io/sv3pt5/12_hires.png,https://images.pokemontcg.io/sv3pt5/12.png,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,sv3pt5-13,Weedle,Pokémon,Grass,151,13,Common,https://images.pokemontcg.io/sv3pt5/13_hires.png,https://images.pokemontcg.io/sv3pt5/13.png,,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,sv3pt5-14,Kakuna,Pokémon,Grass,151,14,Common,https://images.pokemontcg.io/sv3pt5/14_hires.png,https://images.pokemontcg.io/sv3pt5/14.png,,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,sv3pt5-15,Beedrill,Pokémon,Grass,151,15,Rare,https://images.pokemontcg.io/sv3pt5/15_hires.png,https://images.pokemontcg.io/sv3pt5/15.png,,,,,,,,,,,,,,,,,,,,,,,,,
015.jpg,sv3pt5-16,Pidgey,Pokémon,Colorless,151,16,Common,https://images.pokemontcg.io/sv3pt5/16_hires.png,https://images.pokemontcg.io/sv3pt5/16.png,,,,,,,,,,,,,,,,,,,,,,,,,
