Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ecard2-H1,Ampharos,Pokémon,Lightning,Aquapolis,H1,Rare Holo,https://images.pokemontcg.io/ecard2/H1_hires.png,https://images.pokemontcg.io/ecard2/H1.png,,,,,,84.0,119.99,124.99,129.2,,,,,,,,,,,,,,,,
001.jpg,ecard2-H2,Arcanine,Pokémon,Fire,Aquapolis,H2,Rare Holo,https://images.pokemontcg.io/ecard2/H2_hires.png,https://images.pokemontcg.io/ecard2/H2.png,,,,,,156.22,164.49,198.96,203.38,,,,,,,,,,,,,,,,
002.jpg,ecard2-H3,Ariados,Pokémon,Grass,Aquapolis,H3,Rare Holo,https://images.pokemontcg.io/ecard2/H3_hires.png,https://images.pokemontcg.io/ecard2/H3.png,,,,,,42.99,56.27,99.97,47.4,,,,,,,,,,,,,,,,
003.jpg,ecard2-H4,Azumarill,Pokémon,Water,Aquapolis,H4,Rare Holo,https://images.pokemontcg.io/ecard2/H4_hires.png,https://images.pokemontcg.io/ecard2/H4.png,,,,,,65.68,65.68,89.99,67.99,31.76,,,,,,,,,,,,,,,
004.jpg,ecard2-H5,Bellossom,Pokémon,Grass,Aquapolis,H5,Rare Holo,https://images.pokemontcg.io/ecard2/H5_hires.png,https://images.pokemontcg.io/ecard2/H5.png,,,,,,69.0,72.1,674.24,74.69,,,,,,,,,,,,,,,,
005.jpg,ecard2-H6,Blissey,Pokémon,Colorless,Aquapolis,H6,Rare Holo,https://images.pokemontcg.io/ecard2/H6_hires.png,https://images.pokemontcg.io/ecard2/H6.png,,,,,,39.98,45.73,79.79,52.49,,,,,,,,,,,,,,,,
006.jpg,ecard2-H7,Electrode,Pokémon,Lightning,Aquapolis,H7,Rare Holo,https://images.pokemontcg.io/ecard2/H7_hires.png,https://images.pokemontcg.io/ecard2/H7.png,,,,,,41.22,89.15,99.0,40.48,98.89,,,,,,,,,,,,,,,
007.jpg,ecard2-H8,Entei,Pokémon,Fire,Aquapolis,H8,Rare Holo,https://images.pokemontcg.io/ecard2/H8_hires.png,https://images.pokemontcg.io/ecard2/H8.png,,,,,,144.78,169.95,249.99,199.64,,,,,,,,,,,,,,,,
008.jpg,ecard2-H9,Espeon,Pokémon,Psychic,Aquapolis,H9,Rare Holo,https://images.pokemontcg.io/ecard2/H9_hires.png,https://images.pokemontcg.io/ecard2/H9.png,,,,,,100.0,111.75,339.99,173.99,,,,,,,,,,,,,,,,
009.jpg,ecard2-H10,Exeggutor,Pokémon,Grass,Aquapolis,H10,Rare Holo,https://images.pokemontcg.io/ecard2/H10_hires.png,https://images.pokemontcg.io/ecard2/H10.png,,,,,,52.49,69.99,79.14,78.27,,,,,,,,,,,,,,,,
