Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,pl4-1,Charizard,Pokémon,Fire,Arceus,1,Rare Holo,https://images.pokemontcg.io/pl4/1_hires.png,https://images.pokemontcg.io/pl4/1.png,,,,,,15.97,47.0,149.99,50.46,20.65,32.33,84.99,119.99,90.0,32.33,,,,,,,,,,
001.jpg,pl4-2,Froslass,Pokémon,Water,Arceus,2,Rare Holo,https://images.pokemontcg.io/pl4/2_hires.png,https://images.pokemontcg.io/pl4/2.png,,,,,,2.26,4.75,29.97,3.47,5.97,5.15,5.39,6.0,5.95,3.98,,,,,,,,,,
002.jpg,pl4-3,Heatran,Pokémon,Fire,Arceus,3,Rare Holo,https://images.pokemontcg.io/pl4/3_hires.png,https://images.pokemontcg.io/pl4/3.png,,,,,,1.31,2.37,9.97,1.71,1.36,2.85,3.12,3.53,3.48,3.0,,,,,,,,,,
003.jpg,pl4-4,Kabutops,Pokémon,Fighting,Arceus,4,Rare Holo,https://images.pokemontcg.io/pl4/4_hires.png,https://images.pokemontcg.io/pl4/4.png,,,,,,0.56,3.96,9.0,4.13,7.0,3.0,4.97,12.0,3.99,4.99,,,,,,,,,,
004.jpg,pl4-5,Luxray,Pokémon,Lightning,Arceus,5,Rare Holo,https://images.pokemontcg.io/pl4/5_hires.png,https://images.pokemontcg.io/pl4/5.png,,,,,,2.28,9.2,15.0,3.01,2.99,2.49,6.95,17.95,1.5,16.15,,,,,,,,,,
005.jpg,pl4-6,Mothim,Pokémon,Grass,Arceus,6,Rare Holo,https://images.pokemontcg.io/pl4/6_hires.png,https://images.pokemontcg.io/pl4/6.png,,,,,,0.89,1.96,7.5,2.6,1.49,0.6,1.0,3.99,0.92,,,,,,,,,,,
006.jpg,pl4-7,Probopass,Pokémon,Metal,Arceus,7,Rare Holo,https://images.pokemontcg.io/pl4/7_hires.png,https://images.pokemontcg.io/pl4/7.png,,,,,,0.75,1.87,2.99,1.1,0.88,0.33,0.92,3.99,0.74,0.4,,,,,,,,,,
007.jpg,pl4-8,Salamence,Pokémon,Colorless,Arceus,8,Rare Holo,https://images.pokemontcg.io/pl4/8_hires.png,https://images.pokemontcg.io/pl4/8.png,,,,,,1.9,5.99,23.99,7.51,2.89,1.91,4.5,13.46,12.95,13.46,,,,,,,,,,
008.jpg,pl4-9,Swalot,Pokémon,Psychic,Arceus,9,Rare Holo,https://images.pokemontcg.io/pl4/9_hires.png,https://images.pokemontcg.io/pl4/9.png,,,,,,0.75,1.26,3.97,1.17,0.75,0.5,1.0,2.99,0.93,,,,,,,,,,,
009.jpg,pl4-10,Tangrowth,Pokémon,Grass,Arceus,10,Rare Holo,https://images.pokemontcg.io/pl4/10_hires.png,https://images.pokemontcg.io/pl4/10.png,,,,,,0.68,1.97,14.97,2.01,,0.68,1.38,2.49,1.28,2.25,,,,,,,,,,
010.jpg,pl4-11,Toxicroak,Pokémon,Fighting,Arceus,11,Rare Holo,https://images.pokemontcg.io/pl4/11_hires.png,https://images.pokemontcg.io/pl4/11.png,,,,,,1.49,3.79,19.99,0.71,0.86,0.88,1.1,2.99,1.08,1.09,,,,,,,,,,
011.jpg,pl4-12,Zapdos G,Pokémon,Lightning,Arceus,12,Rare Holo,https://images.pokemontcg.io/pl4/12_hires.png,https://images.pokemontcg.io/pl4/12.png,,,,,,3.63,5.74,34.21,6.42,16.48,2.74,5.81,8.61,6.38,4.49,,,,,,,,,,
012.jpg,pl4-13,Aerodactyl,Pokémon,Fighting,Arceus,13,Rare,https://images.pokemontcg.io/pl4/13_hires.png,https://images.pokemontcg.io/pl4/13.png,0.25,1.2,1.77,0.87,1.67,,,,,,1.75,2.11,4.04,2.84,1.75,,,,,,,,,,
013.jpg,pl4-14,Bronzong,Pokémon,Metal,Arceus,14,Rare,https://images.pokemontcg.io/pl4/14_hires.png,https://images.pokemontcg.io/pl4/14.png,0.2,0.49,2.49,0.35,0.24,,,,,,0.55,0.99,4.99,0.79,,,,,,,,,,,
014.jpg,pl4-15,Cherrim,Pokémon,Grass,Arceus,15,Rare,https://images.pokemontcg.io/pl4/15_hires.png,https://images.pokemontcg.io/pl4/15.png,0.54,0.82,1.97,0.89,,,,,,,1.12,1.69,10.09,1.6,5.0,,,,,,,,,,
015.jpg,pl4-16,Gengar,Pokémon,Psychic,Arceus,16,Rare,https://images.pokemontcg.io/pl4/16_hires.png,https://images.pokemontcg.io/pl4/16.png,3.64,6.22,14.53,6.44,9.97,,,,,,12.78,45.99,70.97,15.09,12.78,,,,,,,,,,
016.jpg,pl4-17,Gengar,Pokémon,Psychic,Arceus,17,Rare,https://images.pokemontcg.io/pl4/17_hires.png,https://images.pokemontcg.io/pl4/17.png,6.0,8.99,12.48,12.89,7.16,,,,,,16.69,19.99,69.99,24.0,14.79,,,,,,,,,,
017.jpg,pl4-18,Glalie,Pokémon,Water,Arceus,18,Rare,https://images.pokemontcg.io/pl4/18_hires.png,https://images.pokemontcg.io/pl4/18.png,0.25,0.69,2.49,0.71,0.62,,,,,,0.49,2.02,4.99,1.0,1.26,,,,,,,,,,
018.jpg,pl4-19,Golem,Pokémon,Fighting,Arceus,19,Rare,https://images.pokemontcg.io/pl4/19_hires.png,https://images.pokemontcg.io/pl4/19.png,0.72,1.41,2.97,0.87,1.01,,,,,,1.25,2.0,4.6,1.9,1.95,,,,,,,,,,
019.jpg,pl4-20,Hariyama,Pokémon,Fighting,Arceus,20,Rare,https://images.pokemontcg.io/pl4/20_hires.png,https://images.pokemontcg.io/pl4/20.png,0.35,0.52,2.49,0.56,0.35,,,,,,0.5,0.99,2.99,0.83,1.59,,,,,,,,,,
020.jpg,pl4-21,Lopunny,Pokémon,Colorless,Arceus,21,Rare,https://images.pokemontcg.io/pl4/21_hires.png,https://images.pokemontcg.io/pl4/21.png,0.36,0.9,3.13,0.8,0.38,,,,,,1.5,2.35,3.54,2.89,2.34,,,,,,,,,,
021.jpg,pl4-22,Manectric,Pokémon,Lightning,Arceus,22,Rare,https://images.pokemontcg.io/pl4/22_hires.png,https://images.pokemontcg.io/pl4/22.png,0.15,0.49,2.49,0.51,0.15,,,,,,0.68,1.15,7.19,2.99,,,,,,,,,,,
022.jpg,pl4-23,Omastar,Pokémon,Water,Arceus,23,Rare,https://images.pokemontcg.io/pl4/23_hires.png,https://images.pokemontcg.io/pl4/23.png,0.53,0.94,3.16,0.82,0.58,,,,,,0.99,1.42,8.19,1.48,1.34,,,,,,,,,,
023.jpg,pl4-24,Pelipper,Pokémon,Water,Arceus,24,Rare,https://images.pokemontcg.io/pl4/24_hires.png,https://images.pokemontcg.io/pl4/24.png,0.2,0.49,2.49,0.45,0.24,,,,,,0.97,1.33,4.99,0.88,,,,,,,,,,,
024.jpg,pl4-25,Pichu,Pokémon,Lightning,Arceus,25,Rare,https://images.pokemontcg.io/pl4/25_hires.png,https://images.pokemontcg.io/pl4/25.png,2.78,9.79,19.97,7.09,,,,,,,15.73,27.5,39.99,,27.49,,,,,,,,,,
025.jpg,pl4-26,Porygon-Z G,Pokémon,Colorless,Arceus,26,Rare,https://images.pokemontcg.io/pl4/26_hires.png,https://images.pokemontcg.io/pl4/26.png,0.44,1.06,2.49,1.09,,,,,,,1.3,2.88,3.99,3.32,3.2,,,,,,,,,,
026.jpg,pl4-27,Raichu,Pokémon,Lightning,Arceus,27,Rare,https://images.pokemontcg.io/pl4/27_hires.png,https://images.pokemontcg.io/pl4/27.png,0.94,1.28,5.97,1.1,0.99,,,,,,1.33,5.39,7.72,4.4,5.39,,,,,,,,,,
027.jpg,pl4-28,Rapidash,Pokémon,Fire,Arceus,28,Rare,https://images.pokemontcg.io/pl4/28_hires.png,https://images.pokemontcg.io/pl4/28.png,0.49,1.38,3.49,1.41,1.11,,,,,,1.18,2.9,17.95,1.49,,,,,,,,,,,
028.jpg,pl4-29,Raticate,Pokémon,Colorless,Arceus,29,Rare,https://images.pokemontcg.io/pl4/29_hires.png,https://images.pokemontcg.io/pl4/29.png,0.39,0.75,2.49,0.66,,,,,,,1.04,2.33,3.49,2.36,2.71,,,,,,,,,,
029.jpg,pl4-30,Sceptile,Pokémon,Grass,Arceus,30,Rare,https://images.pokemontcg.io/pl4/30_hires.png,https://images.pokemontcg.io/pl4/30.png,0.35,0.89,2.49,0.89,1.25,,,,,,0.75,1.46,5.47,3.93,,,,,,,,,,,
030.jpg,pl4-31,Sceptile,Pokémon,Grass,Arceus,31,Rare,https://images.pokemontcg.io/pl4/31_hires.png,https://images.pokemontcg.io/pl4/31.png,0.25,0.93,2.49,0.93,0.69,,,,,,1.46,8.54,9.75,1.54,1.54,,,,,,,,,,
031.jpg,pl4-32,Spiritomb,Pokémon,Darkness,Arceus,32,Rare,https://images.pokemontcg.io/pl4/32_hires.png,https://images.pokemontcg.io/pl4/32.png,2.0,2.97,7.97,3.39,3.97,,,,,,3.55,4.76,10.0,9.0,4.76,,,,,,,,,,
032.jpg,pl4-33,Bronzong,Pokémon,Metal,Arceus,33,Uncommon,https://images.pokemontcg.io/pl4/33_hires.png,https://images.pokemontcg.io/pl4/33.png,0.16,0.33,1.0,0.25,0.25,,,,,,0.47,0.7,1.99,0.59,0.38,,,,,,,,,,
033.jpg,pl4-34,Bronzor,Pokémon,Metal,Arceus,34,Uncommon,https://images.pokemontcg.io/pl4/34_hires.png,https://images.pokemontcg.io/pl4/34.png,0.16,0.25,1.0,0.18,0.19,,,,,,0.33,0.67,2.49,0.25,0.33,,,,,,,,,,
034.jpg,pl4-35,Charmeleon,Pokémon,Fire,Arceus,35,Uncommon,https://images.pokemontcg.io/pl4/35_hires.png,https://images.pokemontcg.io/pl4/35.png,0.23,0.72,2.97,0.69,,,,,,,1.21,3.47,11.99,3.6,3.13,,,,,,,,,,
035.jpg,pl4-36,Gastly,Pokémon,Psychic,Arceus,36,Uncommon,https://images.pokemontcg.io/pl4/36_hires.png,https://images.pokemontcg.io/pl4/36.png,0.27,0.78,1.47,0.8,0.99,,,,,,0.54,1.0,1.79,1.15,1.59,,,,,,,,,,
