Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,me2pt5-1,Erika's Oddish,Pokémon,Grass,Ascended Heroes,1,Common,https://images.scrydex.com/pokemon/me2pt5-1/large,https://images.scrydex.com/pokemon/me2pt5-1/small,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,me2pt5-2,Erika's Gloom,Pokémon,Grass,Ascended Heroes,2,Uncommon,https://images.scrydex.com/pokemon/me2pt5-2/large,https://images.scrydex.com/pokemon/me2pt5-2/small,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,me2pt5-3,Erika's Vileplume ex,Pokémon,Grass,Ascended Heroes,3,Double Rare,https://images.scrydex.com/pokemon/me2pt5-3/large,https://images.scrydex.com/pokemon/me2pt5-3/small,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,me2pt5-4,Erika's Bellsprout,Pokémon,Grass,Ascended Heroes,4,Common,https://images.scrydex.com/pokemon/me2pt5-4/large,https://images.scrydex.com/pokemon/me2pt5-4/small,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,me2pt5-5,Erika's Weepinbell,Pokémon,Grass,Ascended Heroes,5,Uncommon,https://images.scrydex.com/pokemon/me2pt5-5/large,https://images.scrydex.com/pokemon/me2pt5-5/small,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,me2pt5-6,Erika's Victreebel,Pokémon,Grass,Ascended Heroes,6,Rare,https://images.scrydex.com/pokemon/me2pt5-6/large,https://images.scrydex.com/pokemon/me2pt5-6/small,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,me2pt5-7,Erika's Tangela,Pokémon,Grass,Ascended Heroes,7,Common,https://images.scrydex.com/pokemon/me2pt5-7/large,https://images.scrydex.com/pokemon/me2pt5-7/small,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,me2pt5-8,Chikorita,Pokémon,Grass,Ascended Heroes,8,Common,https://images.scrydex.com/pokemon/me2pt5-8/large,https://images.scrydex.com/pokemon/me2pt5-8/small,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,me2pt5-9,Bayleef,Pokémon,Grass,Ascended Heroes,9,Uncommon,https://images.scrydex.com/pokemon/me2pt5-9/large,https://images.scrydex.com/pokemon/me2pt5-9/small,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,me2pt5-10,Mega Meganium ex,Pokémon,Grass,Ascended Heroes,10,Double Rare,https://images.scrydex.com/pokemon/me2pt5-10/large,https://images.scrydex.com/pokemon/me2pt5-10/small,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,me2pt5-11,Wurmple,Pokémon,Grass,Ascended Heroes,11,Common,https://images.scrydex.com/pokemon/me2pt5-11/large,https://images.scrydex.com/pokemon/me2pt5-11/small,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,me2pt5-12,Silcoon,Pokémon,Grass,Ascended Heroes,12,Common,https://images.scrydex.com/pokemon/me2pt5-12/large,https://images.scrydex.com/pokemon/me2pt5-12/small,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,me2pt5-13,Beautifly,Pokémon,Grass,Ascended Heroes,13,Uncommon,https://images.scrydex.com/pokemon/me2pt5-13/large,https://images.scrydex.com/pokemon/me2pt5-13/small,,,,,,,,,,,,,,,,,,,,,,,,,
