Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh10tg-TG01,Abomasnow,Pokémon,Grass,Astral Radiance Trainer Gallery,TG01,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh10tg/TG01_hires.png,https://images.pokemontcg.io/swsh10tg/TG01.png,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,swsh10tg-TG02,Flapple,Pokémon,Grass,Astral Radiance Trainer Gallery,TG02,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh10tg/TG02_hires.png,https://images.pokemontcg.io/swsh10tg/TG02.png,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,swsh10tg-TG03,Kingdra,Pokémon,Water,Astral Radiance Trainer Gallery,TG03,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh10tg/TG03_hires.png,https://images.pokemontcg.io/swsh10tg/TG03.png,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,swsh10tg-TG04,Frosmoth,Pokémon,Water,Astral Radiance Trainer Gallery,TG04,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh10tg/TG04_hires.png,https://images.pokemontcg.io/swsh10tg/TG04.png,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,swsh10tg-TG05,Gardevoir,Pokémon,Psychic,Astral Radiance Trainer Gallery,TG05,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh10tg/TG05_hires.png,https://images.pokemontcg.io/swsh10tg/TG05.png,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,swsh10tg-TG06,Wyrdeer,Pokémon,Psychic,Astral Radiance Trainer Gallery,TG06,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh10tg/TG06_hires.png,https://images.pokemontcg.io/swsh10tg/TG06.png,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,swsh10tg-TG07,Falinks,Pokémon,Fighting,Astral Radiance Trainer Gallery,TG07,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh10tg/TG07_hires.png,https://images.pokemontcg.io/swsh10tg/TG07.png,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,swsh10tg-TG08,Kleavor,Pokémon,Fighting,Astral Radiance Trainer Gallery,TG08,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh10tg/TG08_hires.png,https://images.pokemontcg.io/swsh10tg/TG08.png,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,swsh10tg-TG09,Mightyena,Pokémon,Darkness,Astral Radiance Trainer Gallery,TG09,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh10tg/TG09_hires.png,https://images.pokemontcg.io/swsh10tg/TG09.png,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,swsh10tg-TG10,Galarian Obstagoon,Pokémon,Darkness,Astral Radiance Trainer Gallery,TG10,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh10tg/TG10_hires.png,https://images.pokemontcg.io/swsh10tg/TG10.png,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,swsh10tg-TG11,Bronzong,Pokémon,Metal,Astral Radiance Trainer Gallery,TG11,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh10tg/TG11_hires.png,https://images.pokemontcg.io/swsh10tg/TG11.png,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,swsh10tg-TG12,Hoothoot,Pokémon,Colorless,Astral Radiance Trainer Gallery,TG12,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh10tg/TG12_hires.png,https://images.pokemontcg.io/swsh10tg/TG12.png,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,swsh10tg-TG13,Starmie V,Pokémon,Water,Astral Radiance Trainer Gallery,TG13,Rare Holo V,https://images.pokemontcg.io/swsh10tg/TG13_hires.png,https://images.pokemontcg.io/swsh10tg/TG13.png,,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,swsh10tg-TG14,Ice Rider Calyrex V,Pokémon,Water,Astral Radiance Trainer Gallery,TG14,Rare Holo V,https://images.pokemontcg.io/swsh10tg/TG14_hires.png,https://images.pokemontcg.io/swsh10tg/TG14.png,,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,swsh10tg-TG15,Ice Rider Calyrex VMAX,Pokémon,Water,Astral Radiance Trainer Gallery,TG15,Rare Holo VMAX,https://images.pokemontcg.io/swsh10tg/TG15_hires.png,https://images.pokemontcg.io/swsh10tg/TG15.png,,,,,,,,,,,,,,,,,,,,,,,,,
015.jpg,swsh10tg-TG16,Galarian Articuno V,Pokémon,Psychic,Astral Radiance Trainer Gallery,TG16,Rare Holo V,https://images.pokemontcg.io/swsh10tg/TG16_hires.png,https://images.pokemontcg.io/swsh10tg/TG16.png,,,,,,,,,,,,,,,,,,,,,,,,,
016.jpg,swsh10tg-TG17,Shadow Rider Calyrex V,Pokémon,Psychic,Astral Radiance Trainer Gallery,TG17,Rare Holo V,https://images.pokemontcg.io/swsh10tg/TG17_hires.png,https://images.pokemontcg.io/swsh10tg/TG17.png,,,,,,,,,,,,,,,,,,,,,,,,,
017.jpg,swsh10tg-TG18,Shadow Rider Calyrex VMAX,Pokémon,Psychic,Astral Radiance Trainer Gallery,TG18,Rare Holo VMAX,https://images.pokemontcg.io/swsh10tg/TG18_hires.png,https://images.pokemontcg.io/swsh10tg/TG18.png,,,,,,,,,,,,,,,,,,,,,,,,,
018.jpg,swsh10tg-TG19,Galarian Zapdos V,Pokémon,Fighting,Astral Radiance Trainer Gallery,TG19,Rare Holo V,https://images.pokemontcg.io/swsh10tg/TG19_hires.png,https://images.pokemontcg.io/swsh10tg/TG19.png,,,,,,,,,,,,,,,,,,,,,,,,,
019.jpg,swsh10tg-TG20,Galarian Moltres V,Pokémon,Darkness,Astral Radiance Trainer Gallery,TG20,Rare Holo V,https://images.pokemontcg.io/swsh10tg/TG20_hires.png,https://images.pokemontcg.io/swsh10tg/TG20.png,,,,,,,,,,,,,,,,,,,,,,,,,
020.jpg,swsh10tg-TG21,Zacian V,Pokémon,Metal,Astral Radiance Trainer Gallery,TG21,Rare Holo V,https://images.pokemontcg.io/swsh10tg/TG21_hires.png,https://images.pokemontcg.io/swsh10tg/TG21.png,,,,,,,,,,,,,,,,,,,,,,,,,
021.jpg,swsh10tg-TG22,Zamazenta V,Pokémon,Metal,Astral Radiance Trainer Gallery,TG22,Rare Holo V,https://images.pokemontcg.io/swsh10tg/TG22_hires.png,https://images.pokemontcg.io/swsh10tg/TG22.png,,,,,,,,,,,,,,,,,,,,,,,,,
022.jpg,swsh10tg-TG23,Garchomp V,Pokémon,Dragon,Astral Radiance Trainer Gallery,TG23,Rare Holo V,https://images.pokemontcg.io/swsh10tg/TG23_hires.png,https://images.pokemontcg.io/swsh10tg/TG23.png,,,,,,,,,,,,,,,,,,,,,,,,,
