Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh10-1,Beedrill V,Pokémon,Grass,Astral Radiance,1,Rare Holo V,https://images.pokemontcg.io/swsh10/1_hires.png,https://images.pokemontcg.io/swsh10/1.png,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,swsh10-2,Hisuian Voltorb,Pokémon,Grass,Astral Radiance,2,Common,https://images.pokemontcg.io/swsh10/2_hires.png,https://images.pokemontcg.io/swsh10/2.png,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,swsh10-3,Hisuian Electrode,Pokémon,Grass,Astral Radiance,3,Uncommon,https://images.pokemontcg.io/swsh10/3_hires.png,https://images.pokemontcg.io/swsh10/3.png,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,swsh10-4,Scyther,Pokémon,Grass,Astral Radiance,4,Common,https://images.pokemontcg.io/swsh10/4_hires.png,https://images.pokemontcg.io/swsh10/4.png,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,swsh10-5,Scyther,Pokémon,Grass,Astral Radiance,5,Common,https://images.pokemontcg.io/swsh10/5_hires.png,https://images.pokemontcg.io/swsh10/5.png,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,swsh10-6,Yanma,Pokémon,Grass,Astral Radiance,6,Common,https://images.pokemontcg.io/swsh10/6_hires.png,https://images.pokemontcg.io/swsh10/6.png,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,swsh10-7,Yanmega,Pokémon,Grass,Astral Radiance,7,Uncommon,https://images.pokemontcg.io/swsh10/7_hires.png,https://images.pokemontcg.io/swsh10/7.png,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,swsh10-8,Heracross,Pokémon,Grass,Astral Radiance,8,Common,https://images.pokemontcg.io/swsh10/8_hires.png,https://images.pokemontcg.io/swsh10/8.png,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,swsh10-9,Kricketot,Pokémon,Grass,Astral Radiance,9,Common,https://images.pokemontcg.io/swsh10/9_hires.png,https://images.pokemontcg.io/swsh10/9.png,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,swsh10-10,Kricketune,Pokémon,Grass,Astral Radiance,10,Uncommon,https://images.pokemontcg.io/swsh10/10_hires.png,https://images.pokemontcg.io/swsh10/10.png,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,swsh10-11,Combee,Pokémon,Grass,Astral Radiance,11,Common,https://images.pokemontcg.io/swsh10/11_hires.png,https://images.pokemontcg.io/swsh10/11.png,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,swsh10-12,Vespiquen,Pokémon,Grass,Astral Radiance,12,Rare,https://images.pokemontcg.io/swsh10/12_hires.png,https://images.pokemontcg.io/swsh10/12.png,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,swsh10-13,Leafeon,Pokémon,Grass,Astral Radiance,13,Rare,https://images.pokemontcg.io/swsh10/13_hires.png,https://images.pokemontcg.io/swsh10/13.png,,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,swsh10-14,Shaymin,Pokémon,Grass,Astral Radiance,14,Rare,https://images.pokemontcg.io/swsh10/14_hires.png,https://images.pokemontcg.io/swsh10/14.png,,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,swsh10-15,Petilil,Pokémon,Grass,Astral Radiance,15,Common,https://images.pokemontcg.io/swsh10/15_hires.png,https://images.pokemontcg.io/swsh10/15.png,,,,,,,,,,,,,,,,,,,,,,,,,
015.jpg,swsh10-16,Hisuian Lilligant,Pokémon,Grass,Astral Radiance,16,Rare Holo,https://images.pokemontcg.io/swsh10/16_hires.png,https://images.pokemontcg.io/swsh10/16.png,,,,,,,,,,,,,,,,,,,,,,,,,
016.jpg,swsh10-17,Hisuian Lilligant V,Pokémon,Grass,Astral Radiance,17,Rare Holo V,https://images.pokemontcg.io/swsh10/17_hires.png,https://images.pokemontcg.io/swsh10/17.png,,,,,,,,,,,,,,,,,,,,,,,,,
017.jpg,swsh10-18,Hisuian Lilligant VSTAR,Pokémon,Grass,Astral Radiance,18,Rare Holo VSTAR,https://images.pokemontcg.io/swsh10/18_hires.png,https://images.pokemontcg.io/swsh10/18.png,,,,,,,,,,,,,,,,,,,,,,,,,
018.jpg,swsh10-19,Rowlet,Pokémon,Grass,Astral Radiance,19,Common,https://images.pokemontcg.io/swsh10/19_hires.png,https://images.pokemontcg.io/swsh10/19.png,,,,,,,,,,,,,,,,,,,,,,,,,
019.jpg,swsh10-20,Dartrix,Pokémon,Grass,Astral Radiance,20,Uncommon,https://images.pokemontcg.io/swsh10/20_hires.png,https://images.pokemontcg.io/swsh10/20.png,,,,,,,,,,,,,,,,,,,,,,,,,
020.jpg,swsh10-21,Ponyta,Pokémon,Fire,Astral Radiance,21,Common,https://images.pokemontcg.io/swsh10/21_hires.png,https://images.pokemontcg.io/swsh10/21.png,,,,,,,,,,,,,,,,,,,,,,,,,
021.jpg,swsh10-22,Rapidash,Pokémon,Fire,Astral Radiance,22,Rare,https://images.pokemontcg.io/swsh10/22_hires.png,https://images.pokemontcg.io/swsh10/22.png,,,,,,,,,,,,,,,,,,,,,,,,,
022.jpg,swsh10-23,Cyndaquil,Pokémon,Fire,Astral Radiance,23,Common,https://images.pokemontcg.io/swsh10/23_hires.png,https://images.pokemontcg.io/swsh10/23.png,,,,,,,,,,,,,,,,,,,,,,,,,
023.jpg,swsh10-24,Quilava,Pokémon,Fire,Astral Radiance,24,Uncommon,https://images.pokemontcg.io/swsh10/24_hires.png,https://images.pokemontcg.io/swsh10/24.png,,,,,,,,,,,,,,,,,,,,,,,,,
024.jpg,swsh10-25,Heatran V,Pokémon,Fire,Astral Radiance,25,Rare Holo V,https://images.pokemontcg.io/swsh10/25_hires.png,https://images.pokemontcg.io/swsh10/25.png,,,,,,,,,,,,,,,,,,,,,,,,,
025.jpg,swsh10-26,Heatran VMAX,Pokémon,Fire,Astral Radiance,26,Rare Holo VMAX,https://images.pokemontcg.io/swsh10/26_hires.png,https://images.pokemontcg.io/swsh10/26.png,,,,,,,,,,,,,,,,,,,,,,,,,
026.jpg,swsh10-27,Radiant Heatran,Pokémon,Fire,Astral Radiance,27,Radiant Rare,https://images.pokemontcg.io/swsh10/27_hires.png,https://images.pokemontcg.io/swsh10/27.png,,,,,,,,,,,,,,,,,,,,,,,,,
027.jpg,swsh10-28,Psyduck,Pokémon,Water,Astral Radiance,28,Common,https://images.pokemontcg.io/swsh10/28_hires.png,https://images.pokemontcg.io/swsh10/28.png,,,,,,,,,,,,,,,,,,,,,,,,,
028.jpg,swsh10-29,Golduck,Pokémon,Water,Astral Radiance,29,Uncommon,https://images.pokemontcg.io/swsh10/29_hires.png,https://images.pokemontcg.io/swsh10/29.png,,,,,,,,,,,,,,,,,,,,,,,,,
029.jpg,swsh10-30,Starmie V,Pokémon,Water,Astral Radiance,30,Rare Holo V,https://images.pokemontcg.io/swsh10/30_hires.png,https://images.pokemontcg.io/swsh10/30.png,,,,,,,,,,,,,,,,,,,,,,,,,
030.jpg,swsh10-31,Swinub,Pokémon,Water,Astral Radiance,31,Common,https://images.pokemontcg.io/swsh10/31_hires.png,https://images.pokemontcg.io/swsh10/31.png,,,,,,,,,,,,,,,,,,,,,,,,,
031.jpg,swsh10-32,Piloswine,Pokémon,Water,Astral Radiance,32,Uncommon,https://images.pokemontcg.io/swsh10/32_hires.png,https://images.pokemontcg.io/swsh10/32.png,,,,,,,,,,,,,,,,,,,,,,,,,
