Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,bwp-BW01,Snivy,Pokémon,Grass,BW Black Star Promos,BW01,Promo,https://images.pokemontcg.io/bwp/BW01_hires.png,https://images.pokemontcg.io/bwp/BW01.png,,,,,,0.7,1.04,6.0,1.93,1.11,,,,,,,,,,,,,,,
001.jpg,bwp-BW02,Tepig,Pokémon,Fire,BW Black Star Promos,BW02,Promo,https://images.pokemontcg.io/bwp/BW02_hires.png,https://images.pokemontcg.io/bwp/BW02.png,,,,,,0.85,1.78,4.19,1.39,1.92,,,,,,,,,,,,,,,
002.jpg,bwp-BW03,Oshawott,Pokémon,Water,BW Black Star Promos,BW03,Promo,https://images.pokemontcg.io/bwp/BW03_hires.png,https://images.pokemontcg.io/bwp/BW03.png,,,,,,0.73,2.51,12.28,3.67,3.73,,,,,,,,,,,,,,,
003.jpg,bwp-BW004,Reshiram,Pokémon,Fire,BW Black Star Promos,BW004,Promo,https://images.pokemontcg.io/bwp/BW004_hires.png,https://images.pokemontcg.io/bwp/BW004.png,,,,,,0.44,1.25,4.71,1.59,1.0,,,,,,,,,,,,,,,
004.jpg,bwp-BW005,Zekrom,Pokémon,Lightning,BW Black Star Promos,BW005,Promo,https://images.pokemontcg.io/bwp/BW005_hires.png,https://images.pokemontcg.io/bwp/BW005.png,,,,,,0.43,0.89,2.95,0.84,0.6,,,,,,,,,,,,,,,
005.jpg,bwp-BW06,Snivy,Pokémon,Grass,BW Black Star Promos,BW06,Promo,https://images.pokemontcg.io/bwp/BW06_hires.png,https://images.pokemontcg.io/bwp/BW06.png,,,,,,0.45,0.71,3.0,0.71,0.55,,,,,,,,,,,,,,,
006.jpg,bwp-BW07,Tepig,Pokémon,Fire,BW Black Star Promos,BW07,Promo,https://images.pokemontcg.io/bwp/BW07_hires.png,https://images.pokemontcg.io/bwp/BW07.png,,,,,,0.39,0.88,1.99,0.73,0.88,,,,,,,,,,,,,,,
007.jpg,bwp-BW08,Oshawott,Pokémon,Water,BW Black Star Promos,BW08,Promo,https://images.pokemontcg.io/bwp/BW08_hires.png,https://images.pokemontcg.io/bwp/BW08.png,,,,,,0.4,0.64,999.99,0.85,999.99,,,,,,,,,,,,,,,
008.jpg,bwp-BW09,Zoroark,Pokémon,Darkness,BW Black Star Promos,BW09,Promo,https://images.pokemontcg.io/bwp/BW09_hires.png,https://images.pokemontcg.io/bwp/BW09.png,,,,,,0.89,1.74,6.95,1.67,0.98,,,,,,,,,,,,,,,
009.jpg,bwp-BW10,Axew,Pokémon,Colorless,BW Black Star Promos,BW10,Promo,https://images.pokemontcg.io/bwp/BW10_hires.png,https://images.pokemontcg.io/bwp/BW10.png,,,,,,0.53,1.8,4.15,1.22,,,,,,,,,,,,,,,,
