Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,base4-1,Alakazam,Pokémon,Psychic,Base Set 2,1,Rare Holo,https://images.pokemontcg.io/base4/1_hires.png,https://images.pokemontcg.io/base4/1.png,,,,,,8.0,15.75,159.99,20.6,6.64,,,,,,,,,,,,,,,
001.jpg,base4-2,Blastoise,Pokémon,Water,Base Set 2,2,Rare Holo,https://images.pokemontcg.io/base4/2_hires.png,https://images.pokemontcg.io/base4/2.png,,,,,,51.0,67.5,123.19,97.23,36.98,,,,,,,,,,,,,,,
002.jpg,base4-3,Chansey,Pokémon,Colorless,Base Set 2,3,Rare Holo,https://images.pokemontcg.io/base4/3_hires.png,https://images.pokemontcg.io/base4/3.png,,,,,,3.78,9.0,25.0,9.05,3.01,,,,,,,,,,,,,,,
003.jpg,base1-1,Alakazam,Pokémon,Psychic,Base,1,Rare Holo,https://images.pokemontcg.io/base1/1_hires.png,https://images.pokemontcg.io/base1/1.png,,,,,,13.5,29.95,250.0,26.11,15.75,,,,,,,,,,,,,,,
004.jpg,base4-4,Charizard,Pokémon,Fire,Base Set 2,4,Rare Holo,https://images.pokemontcg.io/base4/4_hires.png,https://images.pokemontcg.io/base4/4.png,,,,,,122.0,234.44,673.48,285.26,,,,,,,,,,,,,,,,
005.jpg,base1-2,Blastoise,Pokémon,Water,Base,2,Rare Holo,https://images.pokemontcg.io/base1/2_hires.png,https://images.pokemontcg.io/base1/2.png,,,,,,60.98,114.0,382.5,130.85,39.99,,,,,,,,,,,,,,,
006.jpg,base1-3,Chansey,Pokémon,Colorless,Base,3,Rare Holo,https://images.pokemontcg.io/base1/3_hires.png,https://images.pokemontcg.io/base1/3.png,,,,,,6.5,14.99,39.95,15.19,5.66,,,,,,,,,,,,,,,
007.jpg,base4-5,Clefable,Pokémon,Colorless,Base Set 2,5,Rare Holo,https://images.pokemontcg.io/base4/5_hires.png,https://images.pokemontcg.io/base4/5.png,,,,,,5.0,9.84,40.59,11.23,6.24,,,,,,,,,,,,,,,
008.jpg,base1-4,Charizard,Pokémon,Fire,Base,4,Rare Holo,https://images.pokemontcg.io/base1/4_hires.png,https://images.pokemontcg.io/base1/4.png,,,,,,169.99,336.25,449.99,357.12,,,,,,,,,,,,,,,,
009.jpg,base1-5,Clefairy,Pokémon,Colorless,Base,5,Rare Holo,https://images.pokemontcg.io/base1/5_hires.png,https://images.pokemontcg.io/base1/5.png,,,,,,6.75,13.48,98.99,19.27,8.17,,,,,,,,,,,,,,,
