Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh5-1,Bellsprout,Pokémon,Grass,Battle Styles,1,Common,https://images.pokemontcg.io/swsh5/1_hires.png,https://images.pokemontcg.io/swsh5/1.png,0.02,0.1,1.0,0.04,0.03,,,,,,0.04,0.25,1.0,0.15,0.07,,,,,,,,,,
001.jpg,swsh5-2,Weepinbell,Pokémon,Grass,Battle Styles,2,Uncommon,https://images.pokemontcg.io/swsh5/2_hires.png,https://images.pokemontcg.io/swsh5/2.png,0.03,0.15,5.0,0.07,0.04,,,,,,0.01,0.25,1.99,0.18,0.15,,,,,,,,,,
002.jpg,swsh5-3,Victreebel,Pokémon,Grass,Battle Styles,3,Rare,https://images.pokemontcg.io/swsh5/3_hires.png,https://images.pokemontcg.io/swsh5/3.png,0.04,0.21,5.0,0.11,0.11,,,,,,0.1,0.28,5.0,0.23,0.15,,,,,,,,,,
003.jpg,swsh5-4,Cacnea,Pokémon,Grass,Battle Styles,4,Common,https://images.pokemontcg.io/swsh5/4_hires.png,https://images.pokemontcg.io/swsh5/4.png,0.01,0.1,1.0,0.05,0.02,,,,,,0.07,0.25,1.31,0.16,0.15,,,,,,,,,,
004.jpg,swsh5-5,Cacturne,Pokémon,Grass,Battle Styles,5,Uncommon,https://images.pokemontcg.io/swsh5/5_hires.png,https://images.pokemontcg.io/swsh5/5.png,0.03,0.1,1.0,0.08,0.07,,,,,,0.03,0.25,1.0,0.11,0.11,,,,,,,,,,
005.jpg,swsh5-6,Kricketune V,Pokémon,Grass,Battle Styles,6,Rare Holo V,https://images.pokemontcg.io/swsh5/6_hires.png,https://images.pokemontcg.io/swsh5/6.png,,,,,,0.75,1.9,5.14,1.57,2.23,,,,,,,,,,,,,,,
006.jpg,swsh5-7,Cherubi,Pokémon,Grass,Battle Styles,7,Common,https://images.pokemontcg.io/swsh5/7_hires.png,https://images.pokemontcg.io/swsh5/7.png,0.03,0.1,1.07,0.09,0.07,,,,,,0.04,0.26,1.0,0.26,0.33,,,,,,,,,,
007.jpg,swsh5-8,Cherrim,Pokémon,Grass,Battle Styles,8,Rare Holo,https://images.pokemontcg.io/swsh5/8_hires.png,https://images.pokemontcg.io/swsh5/8.png,,,,,,0.15,0.8,4.99,0.79,0.82,0.39,1.03,2.95,1.02,0.99,,,,,,,,,,
008.jpg,swsh5-9,Carnivine,Pokémon,Grass,Battle Styles,9,Uncommon,https://images.pokemontcg.io/swsh5/9_hires.png,https://images.pokemontcg.io/swsh5/9.png,0.01,0.1,1.06,0.04,0.04,,,,,,0.05,0.25,1.05,0.15,0.1,,,,,,,,,,
009.jpg,swsh5-10,Durant,Pokémon,Grass,Battle Styles,10,Uncommon,https://images.pokemontcg.io/swsh5/10_hires.png,https://images.pokemontcg.io/swsh5/10.png,0.02,0.11,4.32,0.06,0.04,,,,,,0.05,0.25,1.5,0.13,0.11,,,,,,,,,,
010.jpg,swsh5-11,Scatterbug,Pokémon,Grass,Battle Styles,11,Common,https://images.pokemontcg.io/swsh5/11_hires.png,https://images.pokemontcg.io/swsh5/11.png,0.01,0.1,1.0,0.06,0.04,,,,,,0.06,0.25,1.0,0.16,0.15,,,,,,,,,,
011.jpg,swsh5-12,Spewpa,Pokémon,Grass,Battle Styles,12,Uncommon,https://images.pokemontcg.io/swsh5/12_hires.png,https://images.pokemontcg.io/swsh5/12.png,0.01,0.1,1.0,0.08,0.05,,,,,,0.05,0.2,1.0,0.13,0.12,,,,,,,,,,
