Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,bw1-1,Snivy,Pokémon,Grass,Black & White,1,Common,https://images.pokemontcg.io/bw1/1_hires.png,https://images.pokemontcg.io/bw1/1.png,0.12,0.25,1.0,0.26,0.18,,,,,,0.25,0.49,1.26,1.49,,,,,,,,,,,
001.jpg,bw1-2,Snivy,Pokémon,Grass,Black & White,2,Common,https://images.pokemontcg.io/bw1/2_hires.png,https://images.pokemontcg.io/bw1/2.png,0.14,0.25,1.0,0.24,0.14,,,,,,0.3,0.46,1.12,0.53,0.4,,,,,,,,,,
002.jpg,bw1-3,Servine,Pokémon,Grass,Black & White,3,Uncommon,https://images.pokemontcg.io/bw1/3_hires.png,https://images.pokemontcg.io/bw1/3.png,0.13,0.28,999.99,0.21,0.28,,,,,,0.35,0.48,1.49,0.74,0.47,,,,,,,,,,
003.jpg,bw1-4,Servine,Pokémon,Grass,Black & White,4,Uncommon,https://images.pokemontcg.io/bw1/4_hires.png,https://images.pokemontcg.io/bw1/4.png,0.24,0.34,0.75,0.33,0.28,,,,,,0.41,0.78,1.66,0.74,0.3,,,,,,,,,,
004.jpg,bw1-5,Serperior,Pokémon,Grass,Black & White,5,Rare Holo,https://images.pokemontcg.io/bw1/5_hires.png,https://images.pokemontcg.io/bw1/5.png,,,,,,0.71,3.69,6.99,2.35,4.48,1.9,3.02,4.2,8.19,,,,,,,,,,,
005.jpg,bw1-6,Serperior,Pokémon,Grass,Black & White,6,Rare Holo,https://images.pokemontcg.io/bw1/6_hires.png,https://images.pokemontcg.io/bw1/6.png,,,,,,0.54,1.99,999.99,4.4,1.99,0.78,1.76,3.99,2.89,2.88,,,,,,,,,,
006.jpg,bw1-7,Pansage,Pokémon,Grass,Black & White,7,Common,https://images.pokemontcg.io/bw1/7_hires.png,https://images.pokemontcg.io/bw1/7.png,0.05,0.25,1.0,0.21,0.13,,,,,,0.25,0.5,1.49,0.44,0.24,,,,,,,,,,
007.jpg,bw1-8,Simisage,Pokémon,Grass,Black & White,8,Uncommon,https://images.pokemontcg.io/bw1/8_hires.png,https://images.pokemontcg.io/bw1/8.png,0.18,0.35,1.0,0.26,0.19,,,,,,0.19,0.47,1.49,0.48,0.29,,,,,,,,,,
008.jpg,bw1-9,Petilil,Pokémon,Grass,Black & White,9,Common,https://images.pokemontcg.io/bw1/9_hires.png,https://images.pokemontcg.io/bw1/9.png,0.1,0.25,1.0,0.21,0.2,,,,,,0.2,0.54,1.49,0.54,0.3,,,,,,,,,,
009.jpg,bw1-10,Lilligant,Pokémon,Grass,Black & White,10,Rare,https://images.pokemontcg.io/bw1/10_hires.png,https://images.pokemontcg.io/bw1/10.png,0.17,0.49,999.99,0.56,0.39,,,,,,0.45,1.48,2.99,2.02,,,,,,,,,,,
010.jpg,bw1-11,Maractus,Pokémon,Grass,Black & White,11,Uncommon,https://images.pokemontcg.io/bw1/11_hires.png,https://images.pokemontcg.io/bw1/11.png,0.1,0.25,0.75,0.21,,,,,,,0.4,0.52,1.49,0.94,,,,,,,,,,,
011.jpg,bw1-12,Maractus,Pokémon,Grass,Black & White,12,Rare,https://images.pokemontcg.io/bw1/12_hires.png,https://images.pokemontcg.io/bw1/12.png,0.25,0.54,1.99,0.54,0.34,,,,,,0.42,0.65,1.99,0.65,,,,,,,,,,,
012.jpg,bw1-13,Deerling,Pokémon,Grass,Black & White,13,Common,https://images.pokemontcg.io/bw1/13_hires.png,https://images.pokemontcg.io/bw1/13.png,0.1,0.25,1.0,0.22,0.23,,,,,,0.41,0.75,999.99,0.69,999.99,,,,,,,,,,
013.jpg,bw1-14,Sawsbuck,Pokémon,Grass,Black & White,14,Rare,https://images.pokemontcg.io/bw1/14_hires.png,https://images.pokemontcg.io/bw1/14.png,0.72,1.41,2.5,1.21,1.49,,,,,,3.0,5.95,7.49,2.97,5.75,,,,,,,,,,
014.jpg,bw1-15,Tepig,Pokémon,Fire,Black & White,15,Common,https://images.pokemontcg.io/bw1/15_hires.png,https://images.pokemontcg.io/bw1/15.png,0.1,0.25,1.15,0.23,0.2,,,,,,0.47,0.95,4.16,1.19,0.53,,,,,,,,,,
015.jpg,bw1-16,Tepig,Pokémon,Fire,Black & White,16,Common,https://images.pokemontcg.io/bw1/16_hires.png,https://images.pokemontcg.io/bw1/16.png,0.1,0.25,1.09,0.21,0.2,,,,,,0.25,1.0,1.19,0.55,0.79,,,,,,,,,,
