Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh9-1,Exeggcute,Pokémon,Grass,Brilliant Stars,1,Common,https://images.pokemontcg.io/swsh9/1_hires.png,https://images.pokemontcg.io/swsh9/1.png,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,swsh9-2,Exeggutor,Pokémon,Grass,Brilliant Stars,2,Uncommon,https://images.pokemontcg.io/swsh9/2_hires.png,https://images.pokemontcg.io/swsh9/2.png,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,swsh9-3,Shroomish,Pokémon,Grass,Brilliant Stars,3,Common,https://images.pokemontcg.io/swsh9/3_hires.png,https://images.pokemontcg.io/swsh9/3.png,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,swsh9-4,Breloom,Pokémon,Grass,Brilliant Stars,4,Rare,https://images.pokemontcg.io/swsh9/4_hires.png,https://images.pokemontcg.io/swsh9/4.png,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,swsh9-5,Tropius,Pokémon,Grass,Brilliant Stars,5,Uncommon,https://images.pokemontcg.io/swsh9/5_hires.png,https://images.pokemontcg.io/swsh9/5.png,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,swsh9-6,Turtwig,Pokémon,Grass,Brilliant Stars,6,Common,https://images.pokemontcg.io/swsh9/6_hires.png,https://images.pokemontcg.io/swsh9/6.png,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,swsh9-7,Grotle,Pokémon,Grass,Brilliant Stars,7,Uncommon,https://images.pokemontcg.io/swsh9/7_hires.png,https://images.pokemontcg.io/swsh9/7.png,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,swsh9-8,Torterra,Pokémon,Grass,Brilliant Stars,8,Rare Holo,https://images.pokemontcg.io/swsh9/8_hires.png,https://images.pokemontcg.io/swsh9/8.png,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,swsh9-9,Burmy,Pokémon,Grass,Brilliant Stars,9,Common,https://images.pokemontcg.io/swsh9/9_hires.png,https://images.pokemontcg.io/swsh9/9.png,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,swsh9-10,Wormadam,Pokémon,Grass,Brilliant Stars,10,Rare,https://images.pokemontcg.io/swsh9/10_hires.png,https://images.pokemontcg.io/swsh9/10.png,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,swsh9-11,Mothim,Pokémon,Grass,Brilliant Stars,11,Rare,https://images.pokemontcg.io/swsh9/11_hires.png,https://images.pokemontcg.io/swsh9/11.png,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,swsh9-12,Cherubi,Pokémon,Grass,Brilliant Stars,12,Common,https://images.pokemontcg.io/swsh9/12_hires.png,https://images.pokemontcg.io/swsh9/12.png,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,swsh9-13,Shaymin V,Pokémon,Grass,Brilliant Stars,13,Rare Holo V,https://images.pokemontcg.io/swsh9/13_hires.png,https://images.pokemontcg.io/swsh9/13.png,,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,swsh9-14,Shaymin VSTAR,Pokémon,Grass,Brilliant Stars,14,Rare Holo VSTAR,https://images.pokemontcg.io/swsh9/14_hires.png,https://images.pokemontcg.io/swsh9/14.png,,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,swsh9-15,Karrablast,Pokémon,Grass,Brilliant Stars,15,Common,https://images.pokemontcg.io/swsh9/15_hires.png,https://images.pokemontcg.io/swsh9/15.png,,,,,,,,,,,,,,,,,,,,,,,,,
015.jpg,swsh9-16,Zarude V,Pokémon,Grass,Brilliant Stars,16,Rare Holo V,https://images.pokemontcg.io/swsh9/16_hires.png,https://images.pokemontcg.io/swsh9/16.png,,,,,,,,,,,,,,,,,,,,,,,,,
016.jpg,swsh9-17,Charizard V,Pokémon,Fire,Brilliant Stars,17,Rare Holo V,https://images.pokemontcg.io/swsh9/17_hires.png,https://images.pokemontcg.io/swsh9/17.png,,,,,,,,,,,,,,,,,,,,,,,,,
017.jpg,swsh9-18,Charizard VSTAR,Pokémon,Fire,Brilliant Stars,18,Rare Holo VSTAR,https://images.pokemontcg.io/swsh9/18_hires.png,https://images.pokemontcg.io/swsh9/18.png,,,,,,,,,,,,,,,,,,,,,,,,,
018.jpg,swsh9-19,Magmar,Pokémon,Fire,Brilliant Stars,19,Common,https://images.pokemontcg.io/swsh9/19_hires.png,https://images.pokemontcg.io/swsh9/19.png,,,,,,,,,,,,,,,,,,,,,,,,,
019.jpg,swsh9-20,Magmortar,Pokémon,Fire,Brilliant Stars,20,Rare,https://images.pokemontcg.io/swsh9/20_hires.png,https://images.pokemontcg.io/swsh9/20.png,,,,,,,,,,,,,,,,,,,,,,,,,
020.jpg,swsh9-21,Moltres,Pokémon,Fire,Brilliant Stars,21,Rare Holo,https://images.pokemontcg.io/swsh9/21_hires.png,https://images.pokemontcg.io/swsh9/21.png,,,,,,,,,,,,,,,,,,,,,,,,,
021.jpg,swsh9-22,Entei V,Pokémon,Fire,Brilliant Stars,22,Rare Holo V,https://images.pokemontcg.io/swsh9/22_hires.png,https://images.pokemontcg.io/swsh9/22.png,,,,,,,,,,,,,,,,,,,,,,,,,
022.jpg,swsh9-23,Torkoal,Pokémon,Fire,Brilliant Stars,23,Uncommon,https://images.pokemontcg.io/swsh9/23_hires.png,https://images.pokemontcg.io/swsh9/23.png,,,,,,,,,,,,,,,,,,,,,,,,,
023.jpg,swsh9-24,Chimchar,Pokémon,Fire,Brilliant Stars,24,Common,https://images.pokemontcg.io/swsh9/24_hires.png,https://images.pokemontcg.io/swsh9/24.png,,,,,,,,,,,,,,,,,,,,,,,,,
