Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sm3-1,Caterpie,Pokémon,Grass,Burning Shadows,1,Common,https://images.pokemontcg.io/sm3/1_hires.png,https://images.pokemontcg.io/sm3/1.png,0.03,0.19,3.39,0.09,0.05,,,,,,0.1,0.3,1.13,0.29,0.25,,,,,,,,,,
001.jpg,sm3-2,Metapod,Pokémon,Grass,Burning Shadows,2,Uncommon,https://images.pokemontcg.io/sm3/2_hires.png,https://images.pokemontcg.io/sm3/2.png,0.02,0.2,999.99,0.09,0.08,,,,,,0.12,0.31,1.13,0.18,0.18,,,,,,,,,,
002.jpg,sm3-3,Butterfree,Pokémon,Grass,Burning Shadows,3,Rare,https://images.pokemontcg.io/sm3/3_hires.png,https://images.pokemontcg.io/sm3/3.png,0.05,0.27,5.0,0.21,0.2,,,,,,0.18,0.35,2.0,0.27,0.25,,,,,,,,,,
003.jpg,sm3-4,Oddish,Pokémon,Grass,Burning Shadows,4,Common,https://images.pokemontcg.io/sm3/4_hires.png,https://images.pokemontcg.io/sm3/4.png,0.04,0.2,1.0,0.09,0.09,,,,,,0.09,0.25,1.49,0.22,0.11,,,,,,,,,,
004.jpg,sm3-5,Gloom,Pokémon,Grass,Burning Shadows,5,Uncommon,https://images.pokemontcg.io/sm3/5_hires.png,https://images.pokemontcg.io/sm3/5.png,0.09,0.25,1.6,0.13,0.14,,,,,,0.14,0.3,1.13,0.25,0.19,,,,,,,,,,
005.jpg,sm3-6,Vileplume,Pokémon,Grass,Burning Shadows,6,Rare Holo,https://images.pokemontcg.io/sm3/6_hires.png,https://images.pokemontcg.io/sm3/6.png,,,,,,0.25,0.56,19.95,0.51,0.34,0.25,0.59,2.77,0.69,0.35,,,,,,,,,,
006.jpg,sm3-7,Tangela,Pokémon,Grass,Burning Shadows,7,Common,https://images.pokemontcg.io/sm3/7_hires.png,https://images.pokemontcg.io/sm3/7.png,0.03,0.15,1.0,0.09,0.08,,,,,,0.1,0.29,1.13,0.24,0.1,,,,,,,,,,
007.jpg,sm3-8,Tangrowth,Pokémon,Grass,Burning Shadows,8,Rare,https://images.pokemontcg.io/sm3/8_hires.png,https://images.pokemontcg.io/sm3/8.png,0.09,0.25,5.0,0.17,0.2,,,,,,0.12,0.35,1.13,0.26,0.24,,,,,,,,,,
008.jpg,sm3-9,Ledyba,Pokémon,Grass,Burning Shadows,9,Common,https://images.pokemontcg.io/sm3/9_hires.png,https://images.pokemontcg.io/sm3/9.png,0.02,0.18,3.39,0.08,0.08,,,,,,0.1,0.28,1.13,0.19,0.2,,,,,,,,,,
009.jpg,sm3-10,Ledian,Pokémon,Grass,Burning Shadows,10,Rare,https://images.pokemontcg.io/sm3/10_hires.png,https://images.pokemontcg.io/sm3/10.png,0.08,0.25,1.5,0.2,,,,,,,0.15,0.36,2.0,0.24,0.24,,,,,,,,,,
010.jpg,sm3-11,Heracross,Pokémon,Grass,Burning Shadows,11,Rare,https://images.pokemontcg.io/sm3/11_hires.png,https://images.pokemontcg.io/sm3/11.png,0.08,0.25,5.0,0.22,0.17,,,,,,0.2,0.45,2.0,0.35,0.23,,,,,,,,,,
011.jpg,sm3-12,Pansage,Pokémon,Grass,Burning Shadows,12,Common,https://images.pokemontcg.io/sm3/12_hires.png,https://images.pokemontcg.io/sm3/12.png,0.02,0.2,1.0,0.08,0.05,,,,,,0.09,0.26,1.13,0.22,0.2,,,,,,,,,,
012.jpg,sm3-13,Simisage,Pokémon,Grass,Burning Shadows,13,Uncommon,https://images.pokemontcg.io/sm3/13_hires.png,https://images.pokemontcg.io/sm3/13.png,0.04,0.2,1.0,0.1,0.09,,,,,,0.1,0.28,1.13,0.2,0.14,,,,,,,,,,
013.jpg,sm3-14,Dewpider,Pokémon,Grass,Burning Shadows,14,Common,https://images.pokemontcg.io/sm3/14_hires.png,https://images.pokemontcg.io/sm3/14.png,0.01,0.2,999.99,0.07,0.05,,,,,,0.06,0.26,1.13,0.17,0.2,,,,,,,,,,
014.jpg,sm3-15,Araquanid,Pokémon,Grass,Burning Shadows,15,Rare,https://images.pokemontcg.io/sm3/15_hires.png,https://images.pokemontcg.io/sm3/15.png,0.07,0.25,5.0,0.15,0.08,,,,,,0.15,0.4,2.0,0.23,0.2,,,,,,,,,,
015.jpg,sm3-16,Wimpod,Pokémon,Grass,Burning Shadows,16,Common,https://images.pokemontcg.io/sm3/16_hires.png,https://images.pokemontcg.io/sm3/16.png,0.03,0.19,1.0,0.09,0.05,,,,,,0.15,0.3,1.95,0.27,0.17,,,,,,,,,,
016.jpg,sm3-17,Golisopod-GX,Pokémon,Grass,Burning Shadows,17,Rare Holo GX,https://images.pokemontcg.io/sm3/17_hires.png,https://images.pokemontcg.io/sm3/17.png,,,,,,0.98,2.4,6.0,1.52,1.63,,,,,,,,,,,,,,,
017.jpg,sm3-18,Charmander,Pokémon,Fire,Burning Shadows,18,Common,https://images.pokemontcg.io/sm3/18_hires.png,https://images.pokemontcg.io/sm3/18.png,0.03,0.25,999.99,0.15,0.05,,,,,,0.15,0.5,2.99,0.49,0.15,,,,,,,,,,
018.jpg,sm3-18a,Charmander,Pokémon,Fire,Burning Shadows,18a,Common,https://images.pokemontcg.io/sm3/18a_hires.png,https://images.pokemontcg.io/sm3/18a.png,,,,,,,,,,,,,,,,,,,,,,,,,
