Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,cel25c-20_A,Cleffa,Pokémon,Colorless,Celebrations: Classic Collection,20,Classic Collection,https://images.pokemontcg.io/cel25c/20_A_hires.png,https://images.pokemontcg.io/cel25c/20_A.png,,,,,,0.99,3.68,20.0,1.73,,,,,,,,,,,,,,,,
001.jpg,cel25c-2_A,Blastoise,Pokémon,Water,Celebrations: Classic Collection,2,Classic Collection,https://images.pokemontcg.io/cel25c/2_A_hires.png,https://images.pokemontcg.io/cel25c/2_A.png,,,,,,11.46,17.99,50.0,13.81,,,,,,,,,,,,,,,,
002.jpg,cel25c-145_A,Garchomp C LV.X,Pokémon,Colorless,Celebrations: Classic Collection,145,Classic Collection,https://images.pokemontcg.io/cel25c/145_A_hires.png,https://images.pokemontcg.io/cel25c/145_A.png,,,,,,5.0,8.0,99.95,7.29,,,,,,,,,,,,,,,,
003.jpg,cel25c-15_A1,Venusaur,Pokémon,Grass,Celebrations: Classic Collection,15,Classic Collection,https://images.pokemontcg.io/cel25c/15_A_hires.png,https://images.pokemontcg.io/cel25c/15_A.png,,,,,,10.0,15.99,60.0,11.03,,,,,,,,,,,,,,,,
004.jpg,cel25c-4_A,Charizard,Pokémon,Fire,Celebrations: Classic Collection,4,Classic Collection,https://images.pokemontcg.io/cel25c/4_A_hires.png,https://images.pokemontcg.io/cel25c/4_A.png,,,,,,110.0,132.87,5000.0,121.12,,,,,,,,,,,,,,,,
005.jpg,cel25c-15_A2,Here Comes Team Rocket!,Trainer,,Celebrations: Classic Collection,15,Classic Collection,https://images.pokemontcg.io/cel25c/15_B_hires.png,https://images.pokemontcg.io/cel25c/15_B.png,,,,,,0.5,1.31,17.95,0.99,,,,,,,,,,,,,,,,
006.jpg,cel25c-15_A4,Claydol,Pokémon,Fighting,Celebrations: Classic Collection,15,Classic Collection,https://images.pokemontcg.io/cel25c/15_D_hires.png,https://images.pokemontcg.io/cel25c/15_D.png,,,,,,0.5,1.01,9.95,0.84,,,,,,,,,,,,,,,,
007.jpg,cel25c-73_A,Imposter Professor Oak,Trainer,,Celebrations: Classic Collection,73,Classic Collection,https://images.pokemontcg.io/cel25c/73_A_hires.png,https://images.pokemontcg.io/cel25c/73_A.png,,,,,,0.4,1.09,18.95,0.71,,,,,,,,,,,,,,,,
008.jpg,cel25c-88_A,Mew ex,Pokémon,Psychic,Celebrations: Classic Collection,88,Classic Collection,https://images.pokemontcg.io/cel25c/88_A_hires.png,https://images.pokemontcg.io/cel25c/88_A.png,,,,,,6.08,11.53,64.95,8.48,,,,,,,,,,,,,,,,
009.jpg,cel25c-15_A3,Rocket’s Zapdos,Pokémon,Lightning,Celebrations: Classic Collection,15,Classic Collection,https://images.pokemontcg.io/cel25c/15_C_hires.png,https://images.pokemontcg.io/cel25c/15_C.png,,,,,,1.99,4.55,40.0,3.22,,,,,,,,,,,,,,,,
