Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh35-1,Venusaur V,Pokémon,Grass,Champion's Path,1,Rare Holo V,https://images.pokemontcg.io/swsh35/1_hires.png,https://images.pokemontcg.io/swsh35/1.png,,,,,,1.0,2.44,19.95,2.02,2.5,,,,,,,,,,,,,,,
001.jpg,swsh35-2,Weedle,Pokémon,Grass,Champion's Path,2,Common,https://images.pokemontcg.io/swsh35/2_hires.png,https://images.pokemontcg.io/swsh35/2.png,0.01,0.15,1.0,0.06,0.07,,,,,,0.09,0.25,1.19,0.19,0.09,,,,,,,,,,
002.jpg,swsh35-3,Kakuna,Pokémon,Grass,Champion's Path,3,Common,https://images.pokemontcg.io/swsh35/3_hires.png,https://images.pokemontcg.io/swsh35/3.png,0.01,0.15,1.0,0.05,0.06,,,,,,0.1,0.25,4.95,0.19,0.1,,,,,,,,,,
003.jpg,swsh35-4,Beedrill,Pokémon,Grass,Champion's Path,4,Uncommon,https://images.pokemontcg.io/swsh35/4_hires.png,https://images.pokemontcg.io/swsh35/4.png,0.03,0.15,3.2,0.08,0.06,,,,,,0.09,0.25,5.08,0.18,0.1,,,,,,,,,,
004.jpg,swsh35-5,Eldegoss V,Pokémon,Grass,Champion's Path,5,Rare Holo V,https://images.pokemontcg.io/swsh35/5_hires.png,https://images.pokemontcg.io/swsh35/5.png,,,,,,0.87,1.85,11.87,1.45,1.8,,,,,,,,,,,,,,,
005.jpg,swsh35-6,Vulpix,Pokémon,Fire,Champion's Path,6,Common,https://images.pokemontcg.io/swsh35/6_hires.png,https://images.pokemontcg.io/swsh35/6.png,0.01,0.13,1.0,0.08,0.07,,,,,,0.08,0.25,4.95,0.22,0.1,,,,,,,,,,
006.jpg,swsh35-7,Victini,Pokémon,Fire,Champion's Path,7,Uncommon,https://images.pokemontcg.io/swsh35/7_hires.png,https://images.pokemontcg.io/swsh35/7.png,0.03,0.15,999.99,0.09,0.03,,,,,,0.1,0.25,9.95,0.15,0.17,,,,,,,,,,
007.jpg,swsh35-8,Incineroar V,Pokémon,Fire,Champion's Path,8,Rare Holo V,https://images.pokemontcg.io/swsh35/8_hires.png,https://images.pokemontcg.io/swsh35/8.png,,,,,,1.0,1.95,11.52,1.69,1.77,,,,,,,,,,,,,,,
008.jpg,swsh35-9,Sizzlipede,Pokémon,Fire,Champion's Path,9,Common,https://images.pokemontcg.io/swsh35/9_hires.png,https://images.pokemontcg.io/swsh35/9.png,0.01,0.15,999.99,0.04,0.04,,,,,,0.1,0.25,4.95,0.17,0.15,,,,,,,,,,
009.jpg,swsh35-10,Centiskorch,Pokémon,Fire,Champion's Path,10,Rare Holo,https://images.pokemontcg.io/swsh35/10_hires.png,https://images.pokemontcg.io/swsh35/10.png,,,,,,0.05,0.3,6.95,0.15,0.24,0.1,0.35,5.0,0.21,0.21,,,,,,,,,,
010.jpg,swsh35-11,Carvanha,Pokémon,Water,Champion's Path,11,Common,https://images.pokemontcg.io/swsh35/11_hires.png,https://images.pokemontcg.io/swsh35/11.png,0.02,0.15,3.21,0.06,0.04,,,,,,0.09,0.25,4.95,0.16,0.1,,,,,,,,,,
011.jpg,swsh35-12,Sharpedo,Pokémon,Water,Champion's Path,12,Uncommon,https://images.pokemontcg.io/swsh35/12_hires.png,https://images.pokemontcg.io/swsh35/12.png,0.02,0.15,3.18,0.06,0.07,,,,,,0.06,0.25,1.29,0.15,0.15,,,,,,,,,,
012.jpg,swsh35-13,Wailord V,Pokémon,Water,Champion's Path,13,Rare Holo V,https://images.pokemontcg.io/swsh35/13_hires.png,https://images.pokemontcg.io/swsh35/13.png,,,,,,0.75,1.99,19.95,1.54,2.0,,,,,,,,,,,,,,,
013.jpg,swsh35-14,Drednaw V,Pokémon,Water,Champion's Path,14,Rare Holo V,https://images.pokemontcg.io/swsh35/14_hires.png,https://images.pokemontcg.io/swsh35/14.png,,,,,,0.9,1.89,19.95,1.24,1.29,,,,,,,,,,,,,,,
014.jpg,swsh35-15,Drednaw VMAX,Pokémon,Water,Champion's Path,15,Rare Holo VMAX,https://images.pokemontcg.io/swsh35/15_hires.png,https://images.pokemontcg.io/swsh35/15.png,,,,,,2.48,3.55,49.95,3.14,3.66,,,,,,,,,,,,,,,
015.jpg,swsh35-16,Gardevoir V,Pokémon,Psychic,Champion's Path,16,Rare Holo V,https://images.pokemontcg.io/swsh35/16_hires.png,https://images.pokemontcg.io/swsh35/16.png,,,,,,1.0,1.79,19.95,1.29,2.14,,,,,,,,,,,,,,,
016.jpg,swsh35-17,Gardevoir VMAX,Pokémon,Psychic,Champion's Path,17,Rare Holo VMAX,https://images.pokemontcg.io/swsh35/17_hires.png,https://images.pokemontcg.io/swsh35/17.png,,,,,,2.5,3.97,29.95,3.39,4.39,,,,,,,,,,,,,,,
017.jpg,swsh35-18,Hatenna,Pokémon,Psychic,Champion's Path,18,Common,https://images.pokemontcg.io/swsh35/18_hires.png,https://images.pokemontcg.io/swsh35/18.png,0.02,0.1,3.2,0.06,0.02,,,,,,0.05,0.25,4.95,0.2,0.22,,,,,,,,,,
018.jpg,swsh35-19,Hattrem,Pokémon,Psychic,Champion's Path,19,Uncommon,https://images.pokemontcg.io/swsh35/19_hires.png,https://images.pokemontcg.io/swsh35/19.png,0.02,0.15,2.97,0.07,0.08,,,,,,0.08,0.25,9.95,0.19,0.1,,,,,,,,,,
019.jpg,swsh35-20,Hatterene,Pokémon,Psychic,Champion's Path,20,Rare Holo,https://images.pokemontcg.io/swsh35/20_hires.png,https://images.pokemontcg.io/swsh35/20.png,,,,,,0.07,0.3,6.95,0.15,0.25,0.1,0.35,9.95,0.24,0.24,,,,,,,,,,
020.jpg,swsh35-21,Galarian Cursola V,Pokémon,Psychic,Champion's Path,21,Rare Holo V,https://images.pokemontcg.io/swsh35/21_hires.png,https://images.pokemontcg.io/swsh35/21.png,,,,,,0.95,1.84,19.95,1.26,1.33,,,,,,,,,,,,,,,
021.jpg,swsh35-22,Alcremie V,Pokémon,Psychic,Champion's Path,22,Rare Holo V,https://images.pokemontcg.io/swsh35/22_hires.png,https://images.pokemontcg.io/swsh35/22.png,,,,,,1.1,2.82,19.95,2.13,2.38,,,,,,,,,,,,,,,
022.jpg,swsh35-23,Alcremie VMAX,Pokémon,Psychic,Champion's Path,23,Rare Holo VMAX,https://images.pokemontcg.io/swsh35/23_hires.png,https://images.pokemontcg.io/swsh35/23.png,,,,,,3.0,5.39,19.95,4.33,4.81,,,,,,,,,,,,,,,
023.jpg,swsh35-24,Machop,Pokémon,Fighting,Champion's Path,24,Common,https://images.pokemontcg.io/swsh35/24_hires.png,https://images.pokemontcg.io/swsh35/24.png,0.02,0.13,1.0,0.09,0.09,,,,,,0.05,0.25,4.95,0.19,0.2,,,,,,,,,,
