Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sm12-1,Venusaur & Snivy-GX,Pokémon,Grass,Cosmic Eclipse,1,Rare Holo GX,https://images.pokemontcg.io/sm12/1_hires.png,https://images.pokemontcg.io/sm12/1.png,,,,,,2.68,3.98,1000.0,3.25,4.01,,,,,,,,,,,,,,,
001.jpg,sm12-2,Oddish,Pokémon,Grass,Cosmic Eclipse,2,Common,https://images.pokemontcg.io/sm12/2_hires.png,https://images.pokemontcg.io/sm12/2.png,0.05,0.25,1.0,0.16,,,,,,,0.09,0.41,5.71,0.7,0.75,,,,,,,,,,
002.jpg,sm12-3,Gloom,Pokémon,Grass,Cosmic Eclipse,3,Uncommon,https://images.pokemontcg.io/sm12/3_hires.png,https://images.pokemontcg.io/sm12/3.png,0.03,0.25,1.0,0.14,0.1,,,,,,0.15,0.35,1.07,0.45,0.35,,,,,,,,,,
003.jpg,sm12-4,Vileplume-GX,Pokémon,Grass,Cosmic Eclipse,4,Rare Holo GX,https://images.pokemontcg.io/sm12/4_hires.png,https://images.pokemontcg.io/sm12/4.png,,,,,,2.0,3.5,1000.0,3.3,3.99,,,,,,,,,,,,,,,
004.jpg,sm12-5,Tangela,Pokémon,Grass,Cosmic Eclipse,5,Common,https://images.pokemontcg.io/sm12/5_hires.png,https://images.pokemontcg.io/sm12/5.png,0.04,0.2,999.99,0.1,0.04,,,,,,0.15,0.34,0.99,0.34,,,,,,,,,,,
005.jpg,sm12-6,Tangrowth,Pokémon,Grass,Cosmic Eclipse,6,Uncommon,https://images.pokemontcg.io/sm12/6_hires.png,https://images.pokemontcg.io/sm12/6.png,0.05,0.25,1.0,0.11,0.13,,,,,,0.2,0.39,1.04,0.37,0.34,,,,,,,,,,
006.jpg,sm12-7,Sunkern,Pokémon,Grass,Cosmic Eclipse,7,Common,https://images.pokemontcg.io/sm12/7_hires.png,https://images.pokemontcg.io/sm12/7.png,0.1,0.25,1.02,0.19,0.25,,,,,,0.25,0.44,1.27,0.39,0.44,,,,,,,,,,
007.jpg,sm12-8,Sunflora,Pokémon,Grass,Cosmic Eclipse,8,Rare,https://images.pokemontcg.io/sm12/8_hires.png,https://images.pokemontcg.io/sm12/8.png,0.1,0.4,2.25,0.44,0.48,,,,,,0.34,0.68,2.0,0.73,0.5,,,,,,,,,,
008.jpg,sm12-9,Heracross,Pokémon,Grass,Cosmic Eclipse,9,Uncommon,https://images.pokemontcg.io/sm12/9_hires.png,https://images.pokemontcg.io/sm12/9.png,0.06,0.25,1.0,0.14,0.14,,,,,,0.2,0.37,1.27,0.38,0.27,,,,,,,,,,
009.jpg,sm12-10,Lileep,Pokémon,Grass,Cosmic Eclipse,10,Uncommon,https://images.pokemontcg.io/sm12/10_hires.png,https://images.pokemontcg.io/sm12/10.png,0.04,0.25,1.0,0.13,0.14,,,,,,0.1,0.39,1.05,0.39,0.37,,,,,,,,,,
010.jpg,sm12-11,Cradily,Pokémon,Grass,Cosmic Eclipse,11,Rare,https://images.pokemontcg.io/sm12/11_hires.png,https://images.pokemontcg.io/sm12/11.png,0.18,0.34,1.71,0.34,0.38,,,,,,0.04,0.51,2.0,0.63,0.58,,,,,,,,,,
011.jpg,sm12-12,Tropius,Pokémon,Grass,Cosmic Eclipse,12,Uncommon,https://images.pokemontcg.io/sm12/12_hires.png,https://images.pokemontcg.io/sm12/12.png,0.06,0.25,1.0,0.17,0.06,,,,,,0.16,0.35,1.07,0.33,0.33,,,,,,,,,,
012.jpg,sm12-13,Kricketot,Pokémon,Grass,Cosmic Eclipse,13,Common,https://images.pokemontcg.io/sm12/13_hires.png,https://images.pokemontcg.io/sm12/13.png,0.04,0.2,999.99,0.09,0.05,,,,,,0.15,0.3,0.85,0.31,0.32,,,,,,,,,,
013.jpg,sm12-14,Kricketune,Pokémon,Grass,Cosmic Eclipse,14,Uncommon,https://images.pokemontcg.io/sm12/14_hires.png,https://images.pokemontcg.io/sm12/14.png,0.07,0.25,2.0,0.15,0.14,,,,,,0.07,0.35,1.02,0.35,,,,,,,,,,,
014.jpg,sm12-15,Deerling,Pokémon,Grass,Cosmic Eclipse,15,Common,https://images.pokemontcg.io/sm12/15_hires.png,https://images.pokemontcg.io/sm12/15.png,0.05,0.2,1.0,0.11,0.05,,,,,,0.15,0.41,1.15,0.43,0.27,,,,,,,,,,
015.jpg,sm12-16,Sawsbuck,Pokémon,Grass,Cosmic Eclipse,16,Rare Holo,https://images.pokemontcg.io/sm12/16_hires.png,https://images.pokemontcg.io/sm12/16.png,,,,,,0.25,0.85,2.49,0.79,0.75,0.38,0.72,2.0,0.78,3.75,,,,,,,,,,
016.jpg,sm12-17,Rowlet,Pokémon,Grass,Cosmic Eclipse,17,Common,https://images.pokemontcg.io/sm12/17_hires.png,https://images.pokemontcg.io/sm12/17.png,0.04,0.2,1.0,0.14,0.08,,,,,,0.19,0.45,1.49,0.57,0.6,,,,,,,,,,
017.jpg,sm12-18,Rowlet,Pokémon,Grass,Cosmic Eclipse,18,Common,https://images.pokemontcg.io/sm12/18_hires.png,https://images.pokemontcg.io/sm12/18.png,0.04,0.25,1.0,0.18,0.19,,,,,,0.56,1.01,2.12,0.98,,,,,,,,,,,
018.jpg,sm12-19,Dartrix,Pokémon,Grass,Cosmic Eclipse,19,Uncommon,https://images.pokemontcg.io/sm12/19_hires.png,https://images.pokemontcg.io/sm12/19.png,0.05,0.25,1.0,0.15,0.17,,,,,,0.18,0.47,1.12,0.35,0.47,,,,,,,,,,
019.jpg,sm12-20,Decidueye,Pokémon,Grass,Cosmic Eclipse,20,Rare Holo,https://images.pokemontcg.io/sm12/20_hires.png,https://images.pokemontcg.io/sm12/20.png,,,,,,0.21,0.62,2.45,0.59,0.96,0.21,0.75,2.33,0.81,0.45,,,,,,,,,,
