Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ex14-1,Banette,Pokémon,Psychic,Crystal Guardians,1,Rare Holo,https://images.pokemontcg.io/ex14/1_hires.png,https://images.pokemontcg.io/ex14/1.png,,,,,,1.54,4.0,12.99,3.46,1.74,2.47,3.11,13.5,3.99,2.47,,,,,,,,,,
001.jpg,ex14-2,Blastoise δ,Pokémon,Fighting__Metal,Crystal Guardians,2,Rare Holo,https://images.pokemontcg.io/ex14/2_hires.png,https://images.pokemontcg.io/ex14/2.png,,,,,,29.99,44.47,74.95,53.46,,31.99,81.49,122.53,122.53,71.99,,,,,,,,,,
002.jpg,ex14-3,Camerupt,Pokémon,Fire,Crystal Guardians,3,Rare Holo,https://images.pokemontcg.io/ex14/3_hires.png,https://images.pokemontcg.io/ex14/3.png,,,,,,1.05,2.69,15.0,2.73,2.43,1.41,3.1,13.09,3.25,1.4,,,,,,,,,,
003.jpg,ex14-4,Charizard δ,Pokémon,Lightning__Metal,Crystal Guardians,4,Rare Holo,https://images.pokemontcg.io/ex14/4_hires.png,https://images.pokemontcg.io/ex14/4.png,,,,,,99.83,179.77,549.0,227.48,,129.0,189.49,372.84,110.49,,,,,,,,,,,
004.jpg,ex14-5,Dugtrio,Pokémon,Fighting,Crystal Guardians,5,Rare Holo,https://images.pokemontcg.io/ex14/5_hires.png,https://images.pokemontcg.io/ex14/5.png,,,,,,0.65,2.61,9.99,2.92,,2.55,3.07,8.47,3.74,3.59,,,,,,,,,,
005.jpg,ex14-6,Ludicolo δ,Pokémon,Fire,Crystal Guardians,6,Rare Holo,https://images.pokemontcg.io/ex14/6_hires.png,https://images.pokemontcg.io/ex14/6.png,,,,,,5.64,7.27,9.99,8.13,7.99,9.95,11.97,27.96,8.51,10.88,,,,,,,,,,
006.jpg,ex14-7,Luvdisc,Pokémon,Water,Crystal Guardians,7,Rare Holo,https://images.pokemontcg.io/ex14/7_hires.png,https://images.pokemontcg.io/ex14/7.png,,,,,,1.5,2.51,4.99,2.37,2.17,2.25,2.58,4.49,2.22,2.58,,,,,,,,,,
007.jpg,ex14-8,Manectric,Pokémon,Lightning,Crystal Guardians,8,Rare Holo,https://images.pokemontcg.io/ex14/8_hires.png,https://images.pokemontcg.io/ex14/8.png,,,,,,2.09,3.5,17.0,3.18,,3.0,4.87,6.83,3.4,,,,,,,,,,,
008.jpg,ex14-9,Mawile,Pokémon,Metal,Crystal Guardians,9,Rare Holo,https://images.pokemontcg.io/ex14/9_hires.png,https://images.pokemontcg.io/ex14/9.png,,,,,,1.06,4.37,7.49,4.1,,2.8,9.09,19.0,7.4,7.4,,,,,,,,,,
009.jpg,ex14-10,Sableye,Pokémon,Darkness,Crystal Guardians,10,Rare Holo,https://images.pokemontcg.io/ex14/10_hires.png,https://images.pokemontcg.io/ex14/10.png,,,,,,4.3,9.99,25.0,9.71,,6.66,10.85,19.99,8.54,,,,,,,,,,,
010.jpg,ex14-11,Swalot,Pokémon,Grass,Crystal Guardians,11,Rare Holo,https://images.pokemontcg.io/ex14/11_hires.png,https://images.pokemontcg.io/ex14/11.png,,,,,,2.0,3.56,5.93,2.96,3.55,1.75,4.0,6.99,3.27,,,,,,,,,,,
011.jpg,ex14-12,Tauros,Pokémon,Colorless,Crystal Guardians,12,Rare Holo,https://images.pokemontcg.io/ex14/12_hires.png,https://images.pokemontcg.io/ex14/12.png,,,,,,2.95,5.99,11.49,6.36,5.99,2.46,7.49,16.99,13.88,7.49,,,,,,,,,,
012.jpg,ex14-13,Wigglytuff,Pokémon,Colorless,Crystal Guardians,13,Rare Holo,https://images.pokemontcg.io/ex14/13_hires.png,https://images.pokemontcg.io/ex14/13.png,,,,,,3.02,5.0,17.0,4.21,8.53,4.47,5.58,19.99,8.79,6.49,,,,,,,,,,
013.jpg,ex14-14,Blastoise,Pokémon,Water,Crystal Guardians,14,Rare,https://images.pokemontcg.io/ex14/14_hires.png,https://images.pokemontcg.io/ex14/14.png,2.49,4.48,59.97,4.51,4.38,,,,,,16.93,22.5,41.31,19.51,18.88,,,,,,,,,,
014.jpg,ex14-15,Cacturne δ,Pokémon,Fighting,Crystal Guardians,15,Rare,https://images.pokemontcg.io/ex14/15_hires.png,https://images.pokemontcg.io/ex14/15.png,0.2,0.82,3.16,0.81,1.29,,,,,,2.51,5.0,15.0,5.0,2.49,,,,,,,,,,
015.jpg,ex14-16,Combusken,Pokémon,Fighting,Crystal Guardians,16,Rare,https://images.pokemontcg.io/ex14/16_hires.png,https://images.pokemontcg.io/ex14/16.png,0.27,0.79,2.99,0.77,0.49,,,,,,1.49,3.99,6.99,4.19,4.82,,,,,,,,,,
016.jpg,ex14-17,Dusclops,Pokémon,Psychic,Crystal Guardians,17,Rare,https://images.pokemontcg.io/ex14/17_hires.png,https://images.pokemontcg.io/ex14/17.png,0.25,0.66,1.49,0.52,0.44,,,,,,2.23,4.48,6.99,5.03,0.67,,,,,,,,,,
017.jpg,ex14-18,Fearow δ,Pokémon,Lightning,Crystal Guardians,18,Rare,https://images.pokemontcg.io/ex14/18_hires.png,https://images.pokemontcg.io/ex14/18.png,0.22,0.66,3.36,0.64,,,,,,,3.64,4.28,15.0,8.87,3.64,,,,,,,,,,
018.jpg,ex14-19,Grovyle δ,Pokémon,Psychic,Crystal Guardians,19,Rare,https://images.pokemontcg.io/ex14/19_hires.png,https://images.pokemontcg.io/ex14/19.png,0.71,1.49,2.73,1.86,1.99,,,,,,6.0,7.24,8.02,7.86,4.61,,,,,,,,,,
