Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,dpp-DP01,Turtwig,Pokémon,Grass,DP Black Star Promos,DP01,Promo,https://images.pokemontcg.io/dpp/DP01_hires.png,https://images.pokemontcg.io/dpp/DP01.png,,,,,,2.25,4.12,7.93,6.21,2.99,,,,,,,,,,,,,,,
001.jpg,dpp-DP02,Chimchar,Pokémon,Fire,DP Black Star Promos,DP02,Promo,https://images.pokemontcg.io/dpp/DP02_hires.png,https://images.pokemontcg.io/dpp/DP02.png,,,,,,2.63,3.22,10.0,7.95,1.27,,,,,,,,,,,,,,,
002.jpg,dpp-DP03,Piplup,Pokémon,Water,DP Black Star Promos,DP03,Promo,https://images.pokemontcg.io/dpp/DP03_hires.png,https://images.pokemontcg.io/dpp/DP03.png,,,,,,5.5,6.6,14.98,5.74,,,,,,,,,,,,,,,,
003.jpg,dpp-DP04,Pachirisu,Pokémon,Lightning,DP Black Star Promos,DP04,Promo,https://images.pokemontcg.io/dpp/DP04_hires.png,https://images.pokemontcg.io/dpp/DP04.png,,,,,,3.17,3.47,4.49,3.8,,,,,,,,,,,,,,,,
004.jpg,dpp-DP05,Tropical Wind,Trainer,,DP Black Star Promos,DP05,Promo,https://images.pokemontcg.io/dpp/DP05_hires.png,https://images.pokemontcg.io/dpp/DP05.png,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,dpp-DP06,Buneary,Pokémon,Colorless,DP Black Star Promos,DP06,Promo,https://images.pokemontcg.io/dpp/DP06_hires.png,https://images.pokemontcg.io/dpp/DP06.png,,,,,,1.75,3.4,9.02,7.56,0.99,,,,,,,,,,,,,,,
006.jpg,dpp-DP07,Cranidos,Pokémon,Fighting,DP Black Star Promos,DP07,Promo,https://images.pokemontcg.io/dpp/DP07_hires.png,https://images.pokemontcg.io/dpp/DP07.png,,,,,,2.08,2.84,4.31,3.09,2.08,,,,,,,,,,,,,,,
007.jpg,dpp-DP08,Shieldon,Pokémon,Metal,DP Black Star Promos,DP08,Promo,https://images.pokemontcg.io/dpp/DP08_hires.png,https://images.pokemontcg.io/dpp/DP08.png,,,,,,0.99,2.39,3.37,2.88,,,,,,,,,,,,,,,,
008.jpg,dpp-DP09,Torterra LV.X,Pokémon,Grass,DP Black Star Promos,DP09,Promo,https://images.pokemontcg.io/dpp/DP09_hires.png,https://images.pokemontcg.io/dpp/DP09.png,,,,,,3.91,8.72,15.16,12.21,,,,,,,,,,,,,,,,
009.jpg,dpp-DP10,Infernape LV.X,Pokémon,Fire,DP Black Star Promos,DP10,Promo,https://images.pokemontcg.io/dpp/DP10_hires.png,https://images.pokemontcg.io/dpp/DP10.png,,,,,,12.0,18.82,35.0,26.25,,,,,,,,,,,,,,,,
