Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh3-1,Butterfree V,Pokémon,Grass,Darkness Ablaze,1,Rare Holo V,https://images.pokemontcg.io/swsh3/1_hires.png,https://images.pokemontcg.io/swsh3/1.png,,,,,,0.77,1.75,11.36,1.19,1.67,,,,,,,,,,,,,,,
001.jpg,swsh3-2,Butterfree VMAX,Pokémon,Grass,Darkness Ablaze,2,Rare Holo VMAX,https://images.pokemontcg.io/swsh3/2_hires.png,https://images.pokemontcg.io/swsh3/2.png,,,,,,1.98,3.74,14.95,2.94,3.96,,,,,,,,,,,,,,,
002.jpg,swsh3-3,Paras,Pokémon,Grass,Darkness Ablaze,3,Common,https://images.pokemontcg.io/swsh3/3_hires.png,https://images.pokemontcg.io/swsh3/3.png,0.01,0.15,1.0,0.08,0.08,,,,,,0.09,0.25,1.13,0.18,0.09,,,,,,,,,,
003.jpg,swsh3-4,Parasect,Pokémon,Grass,Darkness Ablaze,4,Uncommon,https://images.pokemontcg.io/swsh3/4_hires.png,https://images.pokemontcg.io/swsh3/4.png,0.04,0.15,10.0,0.12,0.13,,,,,,0.1,0.25,1.0,0.19,0.25,,,,,,,,,,
004.jpg,swsh3-5,Carnivine,Pokémon,Grass,Darkness Ablaze,5,Uncommon,https://images.pokemontcg.io/swsh3/5_hires.png,https://images.pokemontcg.io/swsh3/5.png,0.03,0.15,1.0,0.08,0.09,,,,,,0.05,0.25,1.07,0.15,0.14,,,,,,,,,,
005.jpg,swsh3-6,Pansage,Pokémon,Grass,Darkness Ablaze,6,Common,https://images.pokemontcg.io/swsh3/6_hires.png,https://images.pokemontcg.io/swsh3/6.png,0.03,0.11,999.99,0.06,0.04,,,,,,0.09,0.25,1.13,0.17,0.1,,,,,,,,,,
006.jpg,swsh3-7,Simisage,Pokémon,Grass,Darkness Ablaze,7,Uncommon,https://images.pokemontcg.io/swsh3/7_hires.png,https://images.pokemontcg.io/swsh3/7.png,0.03,0.15,1.02,0.09,0.07,,,,,,0.09,0.25,1.13,0.19,0.15,,,,,,,,,,
007.jpg,swsh3-8,Karrablast,Pokémon,Grass,Darkness Ablaze,8,Common,https://images.pokemontcg.io/swsh3/8_hires.png,https://images.pokemontcg.io/swsh3/8.png,0.03,0.12,1.0,0.07,0.04,,,,,,0.05,0.25,1.13,0.15,0.16,,,,,,,,,,
008.jpg,swsh3-9,Shelmet,Pokémon,Grass,Darkness Ablaze,9,Common,https://images.pokemontcg.io/swsh3/9_hires.png,https://images.pokemontcg.io/swsh3/9.png,0.01,0.1,999.99,0.07,0.04,,,,,,0.05,0.25,1.2,0.2,0.2,,,,,,,,,,
009.jpg,swsh3-10,Accelgor,Pokémon,Grass,Darkness Ablaze,10,Rare,https://images.pokemontcg.io/swsh3/10_hires.png,https://images.pokemontcg.io/swsh3/10.png,0.05,0.25,5.0,0.19,0.09,,,,,,0.15,0.5,2.5,0.43,0.33,,,,,,,,,,
010.jpg,swsh3-11,Rowlet,Pokémon,Grass,Darkness Ablaze,11,Common,https://images.pokemontcg.io/swsh3/11_hires.png,https://images.pokemontcg.io/swsh3/11.png,0.01,0.15,999.99,0.07,0.07,,,,,,0.03,0.3,0.99,0.27,0.25,,,,,,,,,,
011.jpg,swsh3-12,Dartrix,Pokémon,Grass,Darkness Ablaze,12,Uncommon,https://images.pokemontcg.io/swsh3/12_hires.png,https://images.pokemontcg.io/swsh3/12.png,0.04,0.15,1.0,0.1,0.05,,,,,,0.05,0.25,1.13,0.2,0.15,,,,,,,,,,
