Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sv10-1,Ethan's Pinsir,Pokémon,Grass,Destined Rivals,1,Uncommon,https://images.pokemontcg.io/sv10/1_hires.png,https://images.pokemontcg.io/sv10/1.png,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sv10-2,Yanma,Pokémon,Grass,Destined Rivals,2,Common,https://images.pokemontcg.io/sv10/2_hires.png,https://images.pokemontcg.io/sv10/2.png,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sv10-3,Yanmega ex,Pokémon,Grass,Destined Rivals,3,Double Rare,https://images.pokemontcg.io/sv10/3_hires.png,https://images.pokemontcg.io/sv10/3.png,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sv10-4,Pineco,Pokémon,Grass,Destined Rivals,4,Common,https://images.pokemontcg.io/sv10/4_hires.png,https://images.pokemontcg.io/sv10/4.png,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sv10-5,Shroomish,Pokémon,Grass,Destined Rivals,5,Common,https://images.pokemontcg.io/sv10/5_hires.png,https://images.pokemontcg.io/sv10/5.png,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sv10-6,Breloom,Pokémon,Grass,Destined Rivals,6,Common,https://images.pokemontcg.io/sv10/6_hires.png,https://images.pokemontcg.io/sv10/6.png,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sv10-7,Cynthia's Roselia,Pokémon,Grass,Destined Rivals,7,Common,https://images.pokemontcg.io/sv10/7_hires.png,https://images.pokemontcg.io/sv10/7.png,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sv10-8,Cynthia's Roserade,Pokémon,Grass,Destined Rivals,8,Rare,https://images.pokemontcg.io/sv10/8_hires.png,https://images.pokemontcg.io/sv10/8.png,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sv10-9,Mow Rotom,Pokémon,Grass,Destined Rivals,9,Common,https://images.pokemontcg.io/sv10/9_hires.png,https://images.pokemontcg.io/sv10/9.png,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sv10-10,Shaymin,Pokémon,Grass,Destined Rivals,10,Uncommon,https://images.pokemontcg.io/sv10/10_hires.png,https://images.pokemontcg.io/sv10/10.png,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,sv10-11,Dwebble,Pokémon,Grass,Destined Rivals,11,Common,https://images.pokemontcg.io/sv10/11_hires.png,https://images.pokemontcg.io/sv10/11.png,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,sv10-12,Crustle,Pokémon,Grass,Destined Rivals,12,Rare,https://images.pokemontcg.io/sv10/12_hires.png,https://images.pokemontcg.io/sv10/12.png,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,sv10-13,Fomantis,Pokémon,Grass,Destined Rivals,13,Common,https://images.pokemontcg.io/sv10/13_hires.png,https://images.pokemontcg.io/sv10/13.png,,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,sv10-14,Lurantis,Pokémon,Grass,Destined Rivals,14,Uncommon,https://images.pokemontcg.io/sv10/14_hires.png,https://images.pokemontcg.io/sv10/14.png,,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,sv10-15,Team Rocket's Blipbug,Pokémon,Grass,Destined Rivals,15,Common,https://images.pokemontcg.io/sv10/15_hires.png,https://images.pokemontcg.io/sv10/15.png,,,,,,,,,,,,,,,,,,,,,,,,,
015.jpg,sv10-16,Applin,Pokémon,Grass,Destined Rivals,16,Common,https://images.pokemontcg.io/sv10/16_hires.png,https://images.pokemontcg.io/sv10/16.png,,,,,,,,,,,,,,,,,,,,,,,,,
016.jpg,sv10-17,Dipplin,Pokémon,Grass,Destined Rivals,17,Common,https://images.pokemontcg.io/sv10/17_hires.png,https://images.pokemontcg.io/sv10/17.png,,,,,,,,,,,,,,,,,,,,,,,,,
017.jpg,sv10-18,Hydrapple,Pokémon,Grass,Destined Rivals,18,Rare,https://images.pokemontcg.io/sv10/18_hires.png,https://images.pokemontcg.io/sv10/18.png,,,,,,,,,,,,,,,,,,,,,,,,,
018.jpg,sv10-19,Team Rocket's Tarountula,Pokémon,Grass,Destined Rivals,19,Common,https://images.pokemontcg.io/sv10/19_hires.png,https://images.pokemontcg.io/sv10/19.png,,,,,,,,,,,,,,,,,,,,,,,,,
019.jpg,sv10-20,Team Rocket's Spidops,Pokémon,Grass,Destined Rivals,20,Rare,https://images.pokemontcg.io/sv10/20_hires.png,https://images.pokemontcg.io/sv10/20.png,,,,,,,,,,,,,,,,,,,,,,,,,
020.jpg,sv10-21,Smoliv,Pokémon,Grass,Destined Rivals,21,Common,https://images.pokemontcg.io/sv10/21_hires.png,https://images.pokemontcg.io/sv10/21.png,,,,,,,,,,,,,,,,,,,,,,,,,
021.jpg,sv10-22,Dolliv,Pokémon,Grass,Destined Rivals,22,Common,https://images.pokemontcg.io/sv10/22_hires.png,https://images.pokemontcg.io/sv10/22.png,,,,,,,,,,,,,,,,,,,,,,,,,
022.jpg,sv10-23,Arboliva ex,Pokémon,Grass,Destined Rivals,23,Double Rare,https://images.pokemontcg.io/sv10/23_hires.png,https://images.pokemontcg.io/sv10/23.png,,,,,,,,,,,,,,,,,,,,,,,,,
023.jpg,sv10-24,Rellor,Pokémon,Grass,Destined Rivals,24,Common,https://images.pokemontcg.io/sv10/24_hires.png,https://images.pokemontcg.io/sv10/24.png,,,,,,,,,,,,,,,,,,,,,,,,,
024.jpg,sv10-25,Rabsca ex,Pokémon,Grass,Destined Rivals,25,Double Rare,https://images.pokemontcg.io/sv10/25_hires.png,https://images.pokemontcg.io/sv10/25.png,,,,,,,,,,,,,,,,,,,,,,,,,
