Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,det1-1,Bulbasaur,Pokémon,Grass,Detective Pikachu,1,Common,https://images.pokemontcg.io/det1/1_hires.png,https://images.pokemontcg.io/det1/1.png,,,,,,0.1,0.46,4.99,0.44,0.37,,,,,,,,,,,,,,,
001.jpg,det1-2,Ludicolo,Pokémon,Grass,Detective Pikachu,2,Rare,https://images.pokemontcg.io/det1/2_hires.png,https://images.pokemontcg.io/det1/2.png,,,,,,0.25,0.88,4.95,1.05,0.44,,,,,,,,,,,,,,,
002.jpg,det1-3,Morelull,Pokémon,Grass,Detective Pikachu,3,Common,https://images.pokemontcg.io/det1/3_hires.png,https://images.pokemontcg.io/det1/3.png,,,,,,0.08,0.25,1.99,0.14,0.14,,,,,,,,,,,,,,,
003.jpg,det1-4,Charmander,Pokémon,Fire,Detective Pikachu,4,Common,https://images.pokemontcg.io/det1/4_hires.png,https://images.pokemontcg.io/det1/4.png,,,,,,0.1,0.43,999.99,0.24,0.25,,,,,,,,,,,,,,,
004.jpg,det1-5,Charizard,Pokémon,Fire,Detective Pikachu,5,Rare Ultra,https://images.pokemontcg.io/det1/5_hires.png,https://images.pokemontcg.io/det1/5.png,,,,,,6.96,10.18,29.95,9.38,6.63,,,,,,,,,,,,,,,
005.jpg,det1-6,Arcanine,Pokémon,Fire,Detective Pikachu,6,Rare,https://images.pokemontcg.io/det1/6_hires.png,https://images.pokemontcg.io/det1/6.png,,,,,,0.9,1.97,7.79,1.92,0.97,,,,,,,,,,,,,,,
006.jpg,det1-7,Psyduck,Pokémon,Water,Detective Pikachu,7,Common,https://images.pokemontcg.io/det1/7_hires.png,https://images.pokemontcg.io/det1/7.png,,,,,,0.05,0.27,1.99,0.17,0.17,,,,,,,,,,,,,,,
007.jpg,det1-8,Magikarp,Pokémon,Water,Detective Pikachu,8,Common,https://images.pokemontcg.io/det1/8_hires.png,https://images.pokemontcg.io/det1/8.png,,,,,,0.1,0.25,8.19,0.19,0.21,,,,,,,,,,,,,,,
008.jpg,det1-9,Greninja,Pokémon,Water,Detective Pikachu,9,Rare Ultra,https://images.pokemontcg.io/det1/9_hires.png,https://images.pokemontcg.io/det1/9.png,,,,,,3.52,4.78,999.99,4.74,4.74,,,,,,,,,,,,,,,
009.jpg,det1-10,Detective Pikachu,Pokémon,Lightning,Detective Pikachu,10,Rare,https://images.pokemontcg.io/det1/10_hires.png,https://images.pokemontcg.io/det1/10.png,,,,,,1.07,2.7,8.0,2.65,2.76,,,,,,,,,,,,,,,
010.jpg,det1-11,Mr. Mime,Pokémon,Psychic,Detective Pikachu,11,Rare,https://images.pokemontcg.io/det1/11_hires.png,https://images.pokemontcg.io/det1/11.png,,,,,,0.9,2.48,8.88,2.05,2.19,,,,,,,,,,,,,,,
011.jpg,det1-12,Mewtwo,Pokémon,Psychic,Detective Pikachu,12,Rare Ultra,https://images.pokemontcg.io/det1/12_hires.png,https://images.pokemontcg.io/det1/12.png,,,,,,2.7,4.68,14.95,4.29,3.22,,,,,,,,,,,,,,,
012.jpg,det1-13,Machamp,Pokémon,Fighting,Detective Pikachu,13,Rare,https://images.pokemontcg.io/det1/13_hires.png,https://images.pokemontcg.io/det1/13.png,,,,,,0.25,0.99,4.95,0.92,1.7,,,,,,,,,,,,,,,
013.jpg,det1-14,Jigglypuff,Pokémon,Fairy,Detective Pikachu,14,Common,https://images.pokemontcg.io/det1/14_hires.png,https://images.pokemontcg.io/det1/14.png,,,,,,0.1,0.27,1.95,0.15,0.15,,,,,,,,,,,,,,,
014.jpg,det1-15,Snubbull,Pokémon,Fairy,Detective Pikachu,15,Common,https://images.pokemontcg.io/det1/15_hires.png,https://images.pokemontcg.io/det1/15.png,,,,,,0.1,0.3,1.95,0.15,0.14,,,,,,,,,,,,,,,
015.jpg,det1-16,Lickitung,Pokémon,Colorless,Detective Pikachu,16,Common,https://images.pokemontcg.io/det1/16_hires.png,https://images.pokemontcg.io/det1/16.png,,,,,,0.07,0.26,1.95,0.14,0.15,,,,,,,,,,,,,,,
016.jpg,det1-17,Ditto,Pokémon,Colorless,Detective Pikachu,17,Rare Ultra,https://images.pokemontcg.io/det1/17_hires.png,https://images.pokemontcg.io/det1/17.png,,,,,,2.5,4.2,22.96,4.14,3.39,,,,,,,,,,,,,,,
017.jpg,det1-18,Slaking,Pokémon,Colorless,Detective Pikachu,18,Rare,https://images.pokemontcg.io/det1/18_hires.png,https://images.pokemontcg.io/det1/18.png,,,,,,0.44,0.87,4.95,1.02,0.38,,,,,,,,,,,,,,,
