Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,dc1-1,Team Magma's Numel,Pokémon,Fire,Double Crisis,1,Common,https://images.pokemontcg.io/dc1/1_hires.png,https://images.pokemontcg.io/dc1/1.png,0.25,0.67,6.99,0.61,0.44,,,,,,2.58,3.56,12.39,5.09,5.09,,,,,,,,,,
001.jpg,dc1-2,Team Magma's Camerupt,Pokémon,Fire,Double Crisis,2,Rare Holo,https://images.pokemontcg.io/dc1/2_hires.png,https://images.pokemontcg.io/dc1/2.png,,,,,,0.25,0.79,9.99,0.75,,0.75,1.17,2.03,2.03,1.92,,,,,,,,,,
002.jpg,dc1-3,Team Aqua's Spheal,Pokémon,Water,Double Crisis,3,Common,https://images.pokemontcg.io/dc1/3_hires.png,https://images.pokemontcg.io/dc1/3.png,0.2,0.31,8.99,0.37,0.44,,,,,,0.5,1.1,9.99,1.03,,,,,,,,,,,
003.jpg,dc1-4,Team Aqua's Sealeo,Pokémon,Water,Double Crisis,4,Common,https://images.pokemontcg.io/dc1/4_hires.png,https://images.pokemontcg.io/dc1/4.png,0.2,0.28,7.99,0.26,0.23,,,,,,1.03,4.04,9.99,1.04,1.03,,,,,,,,,,
004.jpg,dc1-5,Team Aqua's Walrein,Pokémon,Water,Double Crisis,5,Rare Holo,https://images.pokemontcg.io/dc1/5_hires.png,https://images.pokemontcg.io/dc1/5.png,,,,,,0.49,0.9,6.63,1.0,0.68,1.0,3.24,4.49,1.9,,,,,,,,,,,
005.jpg,dc1-6,Team Aqua's Kyogre-EX,Pokémon,Water,Double Crisis,6,Rare Ultra,https://images.pokemontcg.io/dc1/6_hires.png,https://images.pokemontcg.io/dc1/6.png,,,,,,36.0,45.43,100.28,61.58,22.95,,,,,,,,,,,,,,,
006.jpg,dc1-7,Team Aqua's Grimer,Pokémon,Psychic,Double Crisis,7,Common,https://images.pokemontcg.io/dc1/7_hires.png,https://images.pokemontcg.io/dc1/7.png,0.25,0.75,4.31,0.77,0.41,,,,,,1.81,3.15,4.48,3.19,999.99,,,,,,,,,,
007.jpg,dc1-8,Team Aqua's Muk,Pokémon,Psychic,Double Crisis,8,Rare Holo,https://images.pokemontcg.io/dc1/8_hires.png,https://images.pokemontcg.io/dc1/8.png,,,,,,0.36,0.75,7.61,0.81,0.55,0.54,0.82,3.82,2.11,0.78,,,,,,,,,,
008.jpg,dc1-9,Team Aqua's Seviper,Pokémon,Psychic,Double Crisis,9,Common,https://images.pokemontcg.io/dc1/9_hires.png,https://images.pokemontcg.io/dc1/9.png,0.23,0.34,2.29,0.28,,,,,,,2.0,2.45,5.99,3.99,2.0,,,,,,,,,,
009.jpg,dc1-10,Team Magma's Baltoy,Pokémon,Psychic,Double Crisis,10,Common,https://images.pokemontcg.io/dc1/10_hires.png,https://images.pokemontcg.io/dc1/10.png,0.2,0.3,1.0,0.27,0.23,,,,,,0.46,1.01,4.75,2.0,0.46,,,,,,,,,,
010.jpg,dc1-11,Team Magma's Claydol,Pokémon,Psychic,Double Crisis,11,Rare Holo,https://images.pokemontcg.io/dc1/11_hires.png,https://images.pokemontcg.io/dc1/11.png,,,,,,0.25,0.65,6.53,0.43,,0.62,1.02,2.99,0.87,,,,,,,,,,,
011.jpg,dc1-12,Team Magma's Aron,Pokémon,Fighting,Double Crisis,12,Common,https://images.pokemontcg.io/dc1/12_hires.png,https://images.pokemontcg.io/dc1/12.png,0.25,0.42,1.87,0.44,0.32,,,,,,2.58,5.04,5.79,2.87,,,,,,,,,,,
012.jpg,dc1-13,Team Magma's Lairon,Pokémon,Fighting,Double Crisis,13,Common,https://images.pokemontcg.io/dc1/13_hires.png,https://images.pokemontcg.io/dc1/13.png,0.23,0.35,6.99,0.36,0.23,,,,,,1.17,5.36,6.31,2.48,1.17,,,,,,,,,,
013.jpg,dc1-14,Team Magma's Aggron,Pokémon,Fighting,Double Crisis,14,Rare Holo,https://images.pokemontcg.io/dc1/14_hires.png,https://images.pokemontcg.io/dc1/14.png,,,,,,0.57,1.42,19.99,1.42,2.78,2.67,3.25,9.27,3.75,,,,,,,,,,,
014.jpg,dc1-15,Team Magma's Groudon-EX,Pokémon,Fighting,Double Crisis,15,Rare Ultra,https://images.pokemontcg.io/dc1/15_hires.png,https://images.pokemontcg.io/dc1/15.png,,,,,,30.0,44.99,142.18,53.98,62.97,,,,,,,,,,,,,,,
015.jpg,dc1-16,Team Aqua's Poochyena,Pokémon,Darkness,Double Crisis,16,Common,https://images.pokemontcg.io/dc1/16_hires.png,https://images.pokemontcg.io/dc1/16.png,0.22,0.3,1.0,0.42,0.24,,,,,,0.5,3.4,3.4,2.5,,,,,,,,,,,
016.jpg,dc1-17,Team Magma's Poochyena,Pokémon,Darkness,Double Crisis,17,Common,https://images.pokemontcg.io/dc1/17_hires.png,https://images.pokemontcg.io/dc1/17.png,0.2,0.36,7.99,0.42,0.5,,,,,,1.75,2.49,7.94,2.99,,,,,,,,,,,
017.jpg,dc1-18,Team Aqua's Mightyena,Pokémon,Darkness,Double Crisis,18,Common,https://images.pokemontcg.io/dc1/18_hires.png,https://images.pokemontcg.io/dc1/18.png,0.25,0.61,8.99,0.59,0.64,,,,,,4.0,8.48,8.49,4.55,8.48,,,,,,,,,,
018.jpg,dc1-19,Team Magma's Mightyena,Pokémon,Darkness,Double Crisis,19,Common,https://images.pokemontcg.io/dc1/19_hires.png,https://images.pokemontcg.io/dc1/19.png,0.23,0.65,20.0,0.54,0.5,,,,,,3.07,3.17,11.83,3.07,3.07,,,,,,,,,,
