Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ex15-1,Ampharos δ,Pokémon,Colorless,Dragon Frontiers,1,Rare Holo,https://images.pokemontcg.io/ex15/1_hires.png,https://images.pokemontcg.io/ex15/1.png,,,,,,3.78,5.99,7.86,11.83,5.99,8.99,14.99,35.0,16.75,,,,,,,,,,,
001.jpg,ex15-2,Feraligatr δ,Pokémon,Lightning,Dragon Frontiers,2,Rare Holo,https://images.pokemontcg.io/ex15/2_hires.png,https://images.pokemontcg.io/ex15/2.png,,,,,,7.28,18.37,71.97,20.06,4.9,20.66,23.54,46.48,46.45,,,,,,,,,,,
002.jpg,ex15-3,Heracross δ,Pokémon,Fire,Dragon Frontiers,3,Rare Holo,https://images.pokemontcg.io/ex15/3_hires.png,https://images.pokemontcg.io/ex15/3.png,,,,,,6.0,7.72,12.0,11.64,12.0,8.08,17.0,25.0,14.95,,,,,,,,,,,
003.jpg,ex15-4,Meganium δ,Pokémon,Fighting,Dragon Frontiers,4,Rare Holo,https://images.pokemontcg.io/ex15/4_hires.png,https://images.pokemontcg.io/ex15/4.png,,,,,,7.82,17.03,20.96,17.96,16.35,11.04,17.5,35.0,20.85,,,,,,,,,,,
004.jpg,ex15-5,Milotic δ,Pokémon,Fire,Dragon Frontiers,5,Rare Holo,https://images.pokemontcg.io/ex15/5_hires.png,https://images.pokemontcg.io/ex15/5.png,,,,,,8.5,10.73,19.99,13.28,9.49,10.49,15.29,50.97,50.97,,,,,,,,,,,
005.jpg,ex15-6,Nidoking δ,Pokémon,Darkness,Dragon Frontiers,6,Rare Holo,https://images.pokemontcg.io/ex15/6_hires.png,https://images.pokemontcg.io/ex15/6.png,,,,,,10.55,19.49,30.0,19.3,,13.89,36.1,40.74,19.98,,,,,,,,,,,
006.jpg,ex15-7,Nidoqueen δ,Pokémon,Metal,Dragon Frontiers,7,Rare Holo,https://images.pokemontcg.io/ex15/7_hires.png,https://images.pokemontcg.io/ex15/7.png,,,,,,4.0,6.74,20.0,8.44,4.79,7.25,18.66,20.0,18.32,,,,,,,,,,,
007.jpg,ex15-8,Ninetales δ,Pokémon,Psychic,Dragon Frontiers,8,Rare Holo,https://images.pokemontcg.io/ex15/8_hires.png,https://images.pokemontcg.io/ex15/8.png,,,,,,19.99,32.49,39.05,31.68,,30.15,32.68,85.97,33.16,,,,,,,,,,,
008.jpg,ex15-9,Pinsir δ,Pokémon,Fighting,Dragon Frontiers,9,Rare Holo,https://images.pokemontcg.io/ex15/9_hires.png,https://images.pokemontcg.io/ex15/9.png,,,,,,4.86,8.99,17.5,8.2,8.98,6.15,18.77,35.0,8.4,,,,,,,,,,,
009.jpg,ex15-10,Snorlax δ,Pokémon,Grass,Dragon Frontiers,10,Rare Holo,https://images.pokemontcg.io/ex15/10_hires.png,https://images.pokemontcg.io/ex15/10.png,,,,,,13.99,20.77,42.49,32.72,16.99,17.43,21.74,999.99,17.43,,,,,,,,,,,
010.jpg,ex15-11,Togetic δ,Pokémon,Water,Dragon Frontiers,11,Rare Holo,https://images.pokemontcg.io/ex15/11_hires.png,https://images.pokemontcg.io/ex15/11.png,,,,,,2.29,8.51,24.99,6.85,,7.5,8.2,25.0,13.28,,,,,,,,,,,
011.jpg,ex15-12,Typhlosion δ,Pokémon,Psychic,Dragon Frontiers,12,Rare Holo,https://images.pokemontcg.io/ex15/12_hires.png,https://images.pokemontcg.io/ex15/12.png,,,,,,11.6,19.99,53.97,21.25,5.99,13.49,20.95,99.95,54.48,11.0,,,,,,,,,,
012.jpg,ex15-13,Arbok δ,Pokémon,Fire,Dragon Frontiers,13,Rare,https://images.pokemontcg.io/ex15/13_hires.png,https://images.pokemontcg.io/ex15/13.png,0.2,0.62,2.49,0.71,0.5,,,,,,7.0,8.38,16.71,4.05,,,,,,,,,,,
013.jpg,ex15-14,Cloyster δ,Pokémon,Fighting,Dragon Frontiers,14,Rare,https://images.pokemontcg.io/ex15/14_hires.png,https://images.pokemontcg.io/ex15/14.png,0.21,0.69,2.49,0.59,0.39,,,,,,1.86,4.25,19.0,4.81,,,,,,,,,,,
014.jpg,ex15-15,Dewgong δ,Pokémon,Colorless,Dragon Frontiers,15,Rare,https://images.pokemontcg.io/ex15/15_hires.png,https://images.pokemontcg.io/ex15/15.png,0.5,1.5,6.29,0.95,1.59,,,,,,2.88,6.15,22.99,3.03,,,,,,,,,,,
015.jpg,ex15-16,Gligar δ,Pokémon,Lightning,Dragon Frontiers,16,Rare,https://images.pokemontcg.io/ex15/16_hires.png,https://images.pokemontcg.io/ex15/16.png,0.4,0.98,2.98,0.98,,,,,,,4.6,7.48,10.0,9.24,6.49,,,,,,,,,,
016.jpg,ex15-17,Jynx δ,Pokémon,Fire,Dragon Frontiers,17,Rare,https://images.pokemontcg.io/ex15/17_hires.png,https://images.pokemontcg.io/ex15/17.png,0.32,0.76,3.26,0.84,0.32,,,,,,3.0,4.58,15.0,4.22,,,,,,,,,,,
017.jpg,ex15-18,Ledian δ,Pokémon,Metal,Dragon Frontiers,18,Rare,https://images.pokemontcg.io/ex15/18_hires.png,https://images.pokemontcg.io/ex15/18.png,0.45,1.15,2.99,1.72,0.85,,,,,,7.0,8.27,8.41,9.98,,,,,,,,,,,
018.jpg,ex15-19,Lickitung δ,Pokémon,Psychic,Dragon Frontiers,19,Rare,https://images.pokemontcg.io/ex15/19_hires.png,https://images.pokemontcg.io/ex15/19.png,0.3,0.59,3.23,0.74,0.73,,,,,,2.98,5.1,8.38,2.99,,,,,,,,,,,
019.jpg,ex15-20,Mantine δ,Pokémon,Lightning,Dragon Frontiers,20,Rare,https://images.pokemontcg.io/ex15/20_hires.png,https://images.pokemontcg.io/ex15/20.png,0.35,0.67,2.49,0.76,0.47,,,,,,3.48,4.49,7.49,5.98,3.48,,,,,,,,,,
020.jpg,ex15-21,Quagsire δ,Pokémon,Grass,Dragon Frontiers,21,Rare,https://images.pokemontcg.io/ex15/21_hires.png,https://images.pokemontcg.io/ex15/21.png,0.96,1.5,3.46,1.69,,,,,,,4.0,4.36,17.07,8.47,,,,,,,,,,,
021.jpg,ex15-22,Seadra δ,Pokémon,Fighting,Dragon Frontiers,22,Rare,https://images.pokemontcg.io/ex15/22_hires.png,https://images.pokemontcg.io/ex15/22.png,0.25,0.55,2.49,0.59,,,,,,,2.46,4.92,7.49,4.91,,,,,,,,,,,
022.jpg,ex15-23,Tropius δ,Pokémon,Metal,Dragon Frontiers,23,Rare,https://images.pokemontcg.io/ex15/23_hires.png,https://images.pokemontcg.io/ex15/23.png,0.45,0.72,3.97,0.82,,,,,,,5.92,6.7,22.0,6.99,5.92,,,,,,,,,,
023.jpg,ex15-24,Vibrava δ,Pokémon,Psychic,Dragon Frontiers,24,Rare,https://images.pokemontcg.io/ex15/24_hires.png,https://images.pokemontcg.io/ex15/24.png,0.25,0.53,2.49,0.68,0.43,,,,,,1.98,2.97,7.94,3.0,,,,,,,,,,,
024.jpg,ex15-25,Xatu δ,Pokémon,Darkness,Dragon Frontiers,25,Rare,https://images.pokemontcg.io/ex15/25_hires.png,https://images.pokemontcg.io/ex15/25.png,0.47,0.71,2.49,0.7,0.57,,,,,,4.98,9.95,23.74,4.86,9.68,,,,,,,,,,
