Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sm75-1,Charmander,Pokémon,Fire,Dragon Majesty,1,Common,https://images.pokemontcg.io/sm75/1_hires.png,https://images.pokemontcg.io/sm75/1.png,0.44,1.92,15.99,1.65,2.69,,,,,,9.49,12.45,69.99,14.26,,,,,,,,,,,
001.jpg,sm75-2,Charmeleon,Pokémon,Fire,Dragon Majesty,2,Uncommon,https://images.pokemontcg.io/sm75/2_hires.png,https://images.pokemontcg.io/sm75/2.png,0.45,0.99,3.99,1.16,2.18,,,,,,1.78,2.1,5.99,2.16,,,,,,,,,,,
002.jpg,sm75-3,Charizard,Pokémon,Fire,Dragon Majesty,3,Rare Holo,https://images.pokemontcg.io/sm75/3_hires.png,https://images.pokemontcg.io/sm75/3.png,,,,,,4.99,8.51,299.99,6.07,6.2,8.77,12.99,39.99,14.07,12.85,,,,,,,,,,
003.jpg,sm75-4,Torchic,Pokémon,Fire,Dragon Majesty,4,Common,https://images.pokemontcg.io/sm75/4_hires.png,https://images.pokemontcg.io/sm75/4.png,0.05,0.25,0.99,0.15,0.22,,,,,,0.27,0.49,1.05,0.5,0.49,,,,,,,,,,
004.jpg,sm75-5,Combusken,Pokémon,Fire,Dragon Majesty,5,Uncommon,https://images.pokemontcg.io/sm75/5_hires.png,https://images.pokemontcg.io/sm75/5.png,0.08,0.25,0.97,0.17,0.23,,,,,,0.25,0.5,1.02,0.43,0.27,,,,,,,,,,
005.jpg,sm75-6,Blaziken,Pokémon,Fire,Dragon Majesty,6,Rare Holo,https://images.pokemontcg.io/sm75/6_hires.png,https://images.pokemontcg.io/sm75/6.png,,,,,,0.45,1.4,4.79,1.14,0.99,1.0,1.76,2.99,2.25,1.7,,,,,,,,,,
006.jpg,sm75-7,Victini ◇,Pokémon,Fire,Dragon Majesty,7,Rare Prism Star,https://images.pokemontcg.io/sm75/7_hires.png,https://images.pokemontcg.io/sm75/7.png,,,,,,1.49,2.99,7.0,2.58,2.79,,,,,,,,,,,,,,,
007.jpg,sm75-8,Darumaka,Pokémon,Fire,Dragon Majesty,8,Common,https://images.pokemontcg.io/sm75/8_hires.png,https://images.pokemontcg.io/sm75/8.png,0.06,0.25,1.13,0.06,0.06,,,,,,0.13,0.49,1.07,0.45,0.45,,,,,,,,,,
008.jpg,sm75-9,Darmanitan,Pokémon,Fire,Dragon Majesty,9,Uncommon,https://images.pokemontcg.io/sm75/9_hires.png,https://images.pokemontcg.io/sm75/9.png,0.1,0.25,1.17,0.16,0.15,,,,,,0.14,0.39,1.49,0.37,0.25,,,,,,,,,,
009.jpg,sm75-10,Heatmor,Pokémon,Fire,Dragon Majesty,10,Uncommon,https://images.pokemontcg.io/sm75/10_hires.png,https://images.pokemontcg.io/sm75/10.png,0.05,0.25,0.93,0.1,0.06,,,,,,0.2,0.47,1.49,0.47,,,,,,,,,,,
010.jpg,sm75-11,Reshiram-GX,Pokémon,Fire,Dragon Majesty,11,Rare Holo GX,https://images.pokemontcg.io/sm75/11_hires.png,https://images.pokemontcg.io/sm75/11.png,,,,,,4.83,6.0,12.8,6.21,5.69,,,,,,,,,,,,,,,
011.jpg,sm75-12,Litten,Pokémon,Fire,Dragon Majesty,12,Common,https://images.pokemontcg.io/sm75/12_hires.png,https://images.pokemontcg.io/sm75/12.png,0.05,0.25,1.0,0.15,0.15,,,,,,0.25,0.5,1.0,0.46,0.45,,,,,,,,,,
012.jpg,sm75-13,Salandit,Pokémon,Fire,Dragon Majesty,13,Common,https://images.pokemontcg.io/sm75/13_hires.png,https://images.pokemontcg.io/sm75/13.png,0.1,0.25,0.99,0.22,0.18,,,,,,0.22,0.98,1.49,0.98,,,,,,,,,,,
013.jpg,sm75-14,Salazzle,Pokémon,Fire,Dragon Majesty,14,Uncommon,https://images.pokemontcg.io/sm75/14_hires.png,https://images.pokemontcg.io/sm75/14.png,0.07,0.25,1.0,0.15,0.23,,,,,,0.3,0.4,1.49,0.26,,,,,,,,,,,
014.jpg,sm75-15,Horsea,Pokémon,Water,Dragon Majesty,15,Common,https://images.pokemontcg.io/sm75/15_hires.png,https://images.pokemontcg.io/sm75/15.png,0.05,0.22,1.0,0.1,0.06,,,,,,0.24,0.48,1.01,0.38,0.25,,,,,,,,,,
015.jpg,sm75-16,Horsea,Pokémon,Water,Dragon Majesty,16,Common,https://images.pokemontcg.io/sm75/16_hires.png,https://images.pokemontcg.io/sm75/16.png,0.05,0.25,1.0,0.08,0.06,,,,,,0.24,0.71,1.49,0.53,,,,,,,,,,,
016.jpg,sm75-17,Seadra,Pokémon,Water,Dragon Majesty,17,Uncommon,https://images.pokemontcg.io/sm75/17_hires.png,https://images.pokemontcg.io/sm75/17.png,0.1,0.29,0.99,0.26,0.31,,,,,,0.25,0.7,1.49,0.9,,,,,,,,,,,
017.jpg,sm75-18,Kingdra-GX,Pokémon,Water,Dragon Majesty,18,Rare Holo GX,https://images.pokemontcg.io/sm75/18_hires.png,https://images.pokemontcg.io/sm75/18.png,,,,,,1.99,3.0,5.0,3.02,2.99,,,,,,,,,,,,,,,
018.jpg,sm75-19,Magikarp,Pokémon,Water,Dragon Majesty,19,Common,https://images.pokemontcg.io/sm75/19_hires.png,https://images.pokemontcg.io/sm75/19.png,0.05,0.25,1.0,0.17,0.15,,,,,,0.35,0.7,1.49,0.76,0.67,,,,,,,,,,
019.jpg,sm75-20,Gyarados,Pokémon,Water,Dragon Majesty,20,Rare Holo,https://images.pokemontcg.io/sm75/20_hires.png,https://images.pokemontcg.io/sm75/20.png,,,,,,0.5,1.38,4.46,1.42,1.42,1.15,2.52,4.99,2.67,4.99,,,,,,,,,,
020.jpg,sm75-21,Lapras,Pokémon,Water,Dragon Majesty,21,Uncommon,https://images.pokemontcg.io/sm75/21_hires.png,https://images.pokemontcg.io/sm75/21.png,0.2,0.43,1.59,0.46,0.5,,,,,,0.15,0.69,1.49,0.77,0.52,,,,,,,,,,
021.jpg,sm75-22,Totodile,Pokémon,Water,Dragon Majesty,22,Common,https://images.pokemontcg.io/sm75/22_hires.png,https://images.pokemontcg.io/sm75/22.png,0.1,0.25,1.0,0.16,0.15,,,,,,0.47,0.89,1.15,0.68,,,,,,,,,,,
022.jpg,sm75-23,Croconaw,Pokémon,Water,Dragon Majesty,23,Uncommon,https://images.pokemontcg.io/sm75/23_hires.png,https://images.pokemontcg.io/sm75/23.png,0.1,0.25,1.0,0.24,0.25,,,,,,0.25,0.75,2.49,1.27,1.48,,,,,,,,,,
