Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,dv1-1,Dratini,Pokémon,Dragon,Dragon Vault,1,Rare Holo,https://images.pokemontcg.io/dv1/1_hires.png,https://images.pokemontcg.io/dv1/1.png,,,,,,0.45,1.73,4.99,1.89,,,,,,,,,,,,,,,,
001.jpg,dv1-2,Dratini,Pokémon,Dragon,Dragon Vault,2,Rare Holo,https://images.pokemontcg.io/dv1/2_hires.png,https://images.pokemontcg.io/dv1/2.png,,,,,,2.04,4.73,24.95,4.73,,,,,,,,,,,,,,,,
002.jpg,dv1-3,Dragonair,Pokémon,Dragon,Dragon Vault,3,Rare Holo,https://images.pokemontcg.io/dv1/3_hires.png,https://images.pokemontcg.io/dv1/3.png,,,,,,1.2,1.96,19.95,2.86,,,,,,,,,,,,,,,,
003.jpg,dv1-4,Dragonair,Pokémon,Dragon,Dragon Vault,4,Rare Holo,https://images.pokemontcg.io/dv1/4_hires.png,https://images.pokemontcg.io/dv1/4.png,,,,,,3.17,9.21,24.99,9.73,,,,,,,,,,,,,,,,
004.jpg,dv1-5,Dragonite,Pokémon,Dragon,Dragon Vault,5,Rare Holo,https://images.pokemontcg.io/dv1/5_hires.png,https://images.pokemontcg.io/dv1/5.png,,,,,,3.99,10.0,49.95,11.09,,,,,,,,,,,,,,,,
005.jpg,dv1-6,Bagon,Pokémon,Dragon,Dragon Vault,6,Rare Holo,https://images.pokemontcg.io/dv1/6_hires.png,https://images.pokemontcg.io/dv1/6.png,,,,,,0.38,0.82,4.99,1.24,,,,,,,,,,,,,,,,
006.jpg,dv1-7,Shelgon,Pokémon,Dragon,Dragon Vault,7,Rare Holo,https://images.pokemontcg.io/dv1/7_hires.png,https://images.pokemontcg.io/dv1/7.png,,,,,,0.43,0.89,5.0,1.51,,,,,,,,,,,,,,,,
007.jpg,dv1-8,Salamence,Pokémon,Dragon,Dragon Vault,8,Rare Holo,https://images.pokemontcg.io/dv1/8_hires.png,https://images.pokemontcg.io/dv1/8.png,,,,,,1.6,2.89,14.89,2.85,,,,,,,,,,,,,,,,
008.jpg,dv1-9,Latias,Pokémon,Dragon,Dragon Vault,9,Rare Holo,https://images.pokemontcg.io/dv1/9_hires.png,https://images.pokemontcg.io/dv1/9.png,,,,,,1.0,2.9,7.19,3.86,,,,,,,,,,,,,,,,
009.jpg,dv1-10,Latios,Pokémon,Dragon,Dragon Vault,10,Rare Holo,https://images.pokemontcg.io/dv1/10_hires.png,https://images.pokemontcg.io/dv1/10.png,,,,,,2.49,3.48,16.1,4.01,,,,,,,,,,,,,,,,
010.jpg,dv1-11,Rayquaza,Pokémon,Dragon,Dragon Vault,11,Rare Holo,https://images.pokemontcg.io/dv1/11_hires.png,https://images.pokemontcg.io/dv1/11.png,,,,,,4.96,9.5,34.99,9.71,,,,,,,,,,,,,,,,
011.jpg,dv1-12,Axew,Pokémon,Dragon,Dragon Vault,12,Rare Holo,https://images.pokemontcg.io/dv1/12_hires.png,https://images.pokemontcg.io/dv1/12.png,,,,,,0.43,0.93,4.99,1.17,,,,,,,,,,,,,,,,
012.jpg,dv1-13,Axew,Pokémon,Dragon,Dragon Vault,13,Rare Holo,https://images.pokemontcg.io/dv1/13_hires.png,https://images.pokemontcg.io/dv1/13.png,,,,,,0.5,0.95,4.99,1.42,,,,,,,,,,,,,,,,
013.jpg,dv1-14,Fraxure,Pokémon,Dragon,Dragon Vault,14,Rare Holo,https://images.pokemontcg.io/dv1/14_hires.png,https://images.pokemontcg.io/dv1/14.png,,,,,,0.38,1.55,9.69,1.7,,,,,,,,,,,,,,,,
014.jpg,dv1-15,Fraxure,Pokémon,Dragon,Dragon Vault,15,Rare Holo,https://images.pokemontcg.io/dv1/15_hires.png,https://images.pokemontcg.io/dv1/15.png,,,,,,0.45,0.87,4.99,1.13,,,,,,,,,,,,,,,,
015.jpg,dv1-16,Haxorus,Pokémon,Dragon,Dragon Vault,16,Rare Holo,https://images.pokemontcg.io/dv1/16_hires.png,https://images.pokemontcg.io/dv1/16.png,,,,,,2.21,3.56,20.0,3.61,,,,,,,,,,,,,,,,
016.jpg,dv1-17,Druddigon,Pokémon,Dragon,Dragon Vault,17,Rare Holo,https://images.pokemontcg.io/dv1/17_hires.png,https://images.pokemontcg.io/dv1/17.png,,,,,,0.5,0.75,1.85,1.11,,,,,,,,,,,,,,,,
017.jpg,dv1-18,Exp. Share,Trainer,,Dragon Vault,18,,https://images.pokemontcg.io/dv1/18_hires.png,https://images.pokemontcg.io/dv1/18.png,,,,,,1.31,1.99,13.99,2.16,,,,,,,,,,,,,,,,
018.jpg,dv1-19,First Ticket,Trainer,,Dragon Vault,19,,https://images.pokemontcg.io/dv1/19_hires.png,https://images.pokemontcg.io/dv1/19.png,,,,,,0.44,0.68,4.99,0.63,,,,,,,,,,,,,,,,
019.jpg,dv1-20,Super Rod,Trainer,,Dragon Vault,20,Rare Holo,https://images.pokemontcg.io/dv1/20_hires.png,https://images.pokemontcg.io/dv1/20.png,,,,,,1.0,1.93,999.99,2.2,,,,,,,,,,,,,,,,
020.jpg,dv1-21,Kyurem,Pokémon,Dragon,Dragon Vault,21,,https://images.pokemontcg.io/dv1/21_hires.png,https://images.pokemontcg.io/dv1/21.png,,,,,,49.88,69.7,130.0,70.09,,,,,,,,,,,,,,,,
