Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ex3-1,Absol,Pokémon,Darkness,Dragon,1,Rare Holo,https://images.pokemontcg.io/ex3/1_hires.png,https://images.pokemontcg.io/ex3/1.png,,,,,,22.98,37.69,55.99,36.74,,23.8,24.79,26.29,24.71,24.74,,,,,,,,,,
001.jpg,dv1-1,Dratini,Pokémon,Dragon,Dragon Vault,1,Rare Holo,https://images.pokemontcg.io/dv1/1_hires.png,https://images.pokemontcg.io/dv1/1.png,,,,,,0.45,1.73,4.99,1.89,,,,,,,,,,,,,,,,
002.jpg,ex3-2,Altaria,Pokémon,Colorless,Dragon,2,Rare Holo,https://images.pokemontcg.io/ex3/2_hires.png,https://images.pokemontcg.io/ex3/2.png,,,,,,14.8,22.03,23.8,19.21,11.28,11.01,15.99,23.36,16.1,,,,,,,,,,,
003.jpg,dv1-2,Dratini,Pokémon,Dragon,Dragon Vault,2,Rare Holo,https://images.pokemontcg.io/dv1/2_hires.png,https://images.pokemontcg.io/dv1/2.png,,,,,,2.04,4.73,24.95,4.73,,,,,,,,,,,,,,,,
004.jpg,dv1-3,Dragonair,Pokémon,Dragon,Dragon Vault,3,Rare Holo,https://images.pokemontcg.io/dv1/3_hires.png,https://images.pokemontcg.io/dv1/3.png,,,,,,1.2,1.96,19.95,2.86,,,,,,,,,,,,,,,,
005.jpg,ex3-3,Crawdaunt,Pokémon,Water,Dragon,3,Rare Holo,https://images.pokemontcg.io/ex3/3_hires.png,https://images.pokemontcg.io/ex3/3.png,,,,,,1.05,3.0,15.0,3.5,1.9,2.33,4.99,9.05,2.45,2.33,,,,,,,,,,
006.jpg,ex3-4,Flygon,Pokémon,Colorless,Dragon,4,Rare Holo,https://images.pokemontcg.io/ex3/4_hires.png,https://images.pokemontcg.io/ex3/4.png,,,,,,11.95,27.0,28.82,27.45,27.0,12.78,18.0,25.0,17.12,12.78,,,,,,,,,,
007.jpg,dv1-4,Dragonair,Pokémon,Dragon,Dragon Vault,4,Rare Holo,https://images.pokemontcg.io/dv1/4_hires.png,https://images.pokemontcg.io/dv1/4.png,,,,,,3.17,9.21,24.99,9.73,,,,,,,,,,,,,,,,
008.jpg,sm75-1,Charmander,Pokémon,Fire,Dragon Majesty,1,Common,https://images.pokemontcg.io/sm75/1_hires.png,https://images.pokemontcg.io/sm75/1.png,0.44,1.92,15.99,1.65,2.69,,,,,,9.49,12.45,69.99,14.26,,,,,,,,,,,
009.jpg,ex3-5,Golem,Pokémon,Fighting,Dragon,5,Rare Holo,https://images.pokemontcg.io/ex3/5_hires.png,https://images.pokemontcg.io/ex3/5.png,,,,,,13.12,16.53,29.95,14.64,24.99,11.0,12.65,19.06,13.13,,,,,,,,,,,
010.jpg,dv1-5,Dragonite,Pokémon,Dragon,Dragon Vault,5,Rare Holo,https://images.pokemontcg.io/dv1/5_hires.png,https://images.pokemontcg.io/dv1/5.png,,,,,,3.99,10.0,49.95,11.09,,,,,,,,,,,,,,,,
011.jpg,sm75-2,Charmeleon,Pokémon,Fire,Dragon Majesty,2,Uncommon,https://images.pokemontcg.io/sm75/2_hires.png,https://images.pokemontcg.io/sm75/2.png,0.45,0.99,3.99,1.16,2.18,,,,,,1.78,2.1,5.99,2.16,,,,,,,,,,,
012.jpg,sm75-3,Charizard,Pokémon,Fire,Dragon Majesty,3,Rare Holo,https://images.pokemontcg.io/sm75/3_hires.png,https://images.pokemontcg.io/sm75/3.png,,,,,,4.99,8.51,299.99,6.07,6.2,8.77,12.99,39.99,14.07,12.85,,,,,,,,,,
013.jpg,dv1-6,Bagon,Pokémon,Dragon,Dragon Vault,6,Rare Holo,https://images.pokemontcg.io/dv1/6_hires.png,https://images.pokemontcg.io/dv1/6.png,,,,,,0.38,0.82,4.99,1.24,,,,,,,,,,,,,,,,
014.jpg,dv1-7,Shelgon,Pokémon,Dragon,Dragon Vault,7,Rare Holo,https://images.pokemontcg.io/dv1/7_hires.png,https://images.pokemontcg.io/dv1/7.png,,,,,,0.43,0.89,5.0,1.51,,,,,,,,,,,,,,,,
015.jpg,ex3-6,Grumpig,Pokémon,Psychic,Dragon,6,Rare Holo,https://images.pokemontcg.io/ex3/6_hires.png,https://images.pokemontcg.io/ex3/6.png,,,,,,9.79,12.94,39.99,22.98,7.0,3.6,4.38,9.99,9.95,3.6,,,,,,,,,,
016.jpg,dv1-8,Salamence,Pokémon,Dragon,Dragon Vault,8,Rare Holo,https://images.pokemontcg.io/dv1/8_hires.png,https://images.pokemontcg.io/dv1/8.png,,,,,,1.6,2.89,14.89,2.85,,,,,,,,,,,,,,,,
017.jpg,sm75-4,Torchic,Pokémon,Fire,Dragon Majesty,4,Common,https://images.pokemontcg.io/sm75/4_hires.png,https://images.pokemontcg.io/sm75/4.png,0.05,0.25,0.99,0.15,0.22,,,,,,0.27,0.49,1.05,0.5,0.49,,,,,,,,,,
018.jpg,dv1-9,Latias,Pokémon,Dragon,Dragon Vault,9,Rare Holo,https://images.pokemontcg.io/dv1/9_hires.png,https://images.pokemontcg.io/dv1/9.png,,,,,,1.0,2.9,7.19,3.86,,,,,,,,,,,,,,,,
