Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,bw6-1,Hoppip,Pokémon,Grass,Dragons Exalted,1,Common,https://images.pokemontcg.io/bw6/1_hires.png,https://images.pokemontcg.io/bw6/1.png,0.05,0.25,1.0,0.16,0.12,,,,,,0.25,0.41,1.81,0.38,0.25,,,,,,,,,,
001.jpg,bw6-2,Skiploom,Pokémon,Grass,Dragons Exalted,2,Uncommon,https://images.pokemontcg.io/bw6/2_hires.png,https://images.pokemontcg.io/bw6/2.png,0.1,0.25,1.01,0.22,0.18,,,,,,0.33,0.49,1.25,0.59,0.34,,,,,,,,,,
002.jpg,bw6-3,Jumpluff,Pokémon,Grass,Dragons Exalted,3,Rare,https://images.pokemontcg.io/bw6/3_hires.png,https://images.pokemontcg.io/bw6/3.png,0.26,0.51,1.49,0.55,0.42,,,,,,0.19,0.65,2.25,0.71,,,,,,,,,,,
003.jpg,bw6-4,Yanma,Pokémon,Grass,Dragons Exalted,4,Common,https://images.pokemontcg.io/bw6/4_hires.png,https://images.pokemontcg.io/bw6/4.png,0.05,0.25,1.0,0.14,,,,,,,0.31,0.44,1.0,0.56,0.38,,,,,,,,,,
004.jpg,bw6-5,Yanmega,Pokémon,Grass,Dragons Exalted,5,Rare,https://images.pokemontcg.io/bw6/5_hires.png,https://images.pokemontcg.io/bw6/5.png,0.16,0.45,1.25,0.37,0.35,,,,,,0.6,0.73,1.99,0.62,0.6,,,,,,,,,,
005.jpg,bw6-6,Wurmple,Pokémon,Grass,Dragons Exalted,6,Common,https://images.pokemontcg.io/bw6/6_hires.png,https://images.pokemontcg.io/bw6/6.png,0.1,0.25,1.0,0.18,0.1,,,,,,0.34,0.5,1.15,0.5,0.36,,,,,,,,,,
006.jpg,bw6-7,Silcoon,Pokémon,Grass,Dragons Exalted,7,Uncommon,https://images.pokemontcg.io/bw6/7_hires.png,https://images.pokemontcg.io/bw6/7.png,0.1,0.25,1.0,0.26,0.18,,,,,,0.25,0.44,1.25,0.59,,,,,,,,,,,
007.jpg,bw6-8,Beautifly,Pokémon,Grass,Dragons Exalted,8,Rare,https://images.pokemontcg.io/bw6/8_hires.png,https://images.pokemontcg.io/bw6/8.png,0.41,0.72,999.99,0.65,0.75,,,,,,0.3,0.98,1.99,0.57,,,,,,,,,,,
008.jpg,bw6-9,Cascoon,Pokémon,Grass,Dragons Exalted,9,Uncommon,https://images.pokemontcg.io/bw6/9_hires.png,https://images.pokemontcg.io/bw6/9.png,0.1,0.25,1.0,0.28,0.15,,,,,,0.25,0.5,2.99,0.4,,,,,,,,,,,
009.jpg,bw6-10,Nincada,Pokémon,Grass,Dragons Exalted,10,Common,https://images.pokemontcg.io/bw6/10_hires.png,https://images.pokemontcg.io/bw6/10.png,0.1,0.25,1.03,0.14,,,,,,,0.19,0.5,1.26,0.66,,,,,,,,,,,
010.jpg,bw6-11,Ninjask,Pokémon,Grass,Dragons Exalted,11,Uncommon,https://images.pokemontcg.io/bw6/11_hires.png,https://images.pokemontcg.io/bw6/11.png,0.2,0.38,1.02,0.41,0.32,,,,,,0.41,0.98,1.99,0.9,,,,,,,,,,,
011.jpg,bw6-12,Roselia,Pokémon,Grass,Dragons Exalted,12,Uncommon,https://images.pokemontcg.io/bw6/12_hires.png,https://images.pokemontcg.io/bw6/12.png,0.07,0.27,1.0,0.23,,,,,,,0.25,0.46,1.25,0.47,,,,,,,,,,,
012.jpg,bw6-13,Roselia,Pokémon,Grass,Dragons Exalted,13,Common,https://images.pokemontcg.io/bw6/13_hires.png,https://images.pokemontcg.io/bw6/13.png,0.1,0.23,1.0,0.16,0.1,,,,,,0.25,0.42,1.0,0.32,0.33,,,,,,,,,,
013.jpg,bw6-14,Roserade,Pokémon,Grass,Dragons Exalted,14,Uncommon,https://images.pokemontcg.io/bw6/14_hires.png,https://images.pokemontcg.io/bw6/14.png,0.1,0.23,2.92,0.18,0.1,,,,,,0.25,0.52,3.0,,,,,,,,,,,,
014.jpg,bw6-15,Roserade,Pokémon,Grass,Dragons Exalted,15,Rare,https://images.pokemontcg.io/bw6/15_hires.png,https://images.pokemontcg.io/bw6/15.png,0.29,0.59,999.99,0.59,0.45,,,,,,0.52,0.87,1.99,0.97,,,,,,,,,,,
015.jpg,bw6-16,Maractus,Pokémon,Grass,Dragons Exalted,16,Uncommon,https://images.pokemontcg.io/bw6/16_hires.png,https://images.pokemontcg.io/bw6/16.png,0.15,0.26,1.0,0.22,0.22,,,,,,0.31,0.7,1.49,0.53,,,,,,,,,,,
016.jpg,bw6-17,Foongus,Pokémon,Grass,Dragons Exalted,17,Common,https://images.pokemontcg.io/bw6/17_hires.png,https://images.pokemontcg.io/bw6/17.png,0.09,0.25,1.0,0.27,0.14,,,,,,0.25,0.36,1.0,,0.32,,,,,,,,,,
017.jpg,bw6-18,Vulpix,Pokémon,Fire,Dragons Exalted,18,Common,https://images.pokemontcg.io/bw6/18_hires.png,https://images.pokemontcg.io/bw6/18.png,0.23,0.65,1.59,0.71,0.5,,,,,,0.99,1.51,3.93,2.29,0.99,,,,,,,,,,
018.jpg,bw6-19,Ninetales,Pokémon,Fire,Dragons Exalted,19,Rare Holo,https://images.pokemontcg.io/bw6/19_hires.png,https://images.pokemontcg.io/bw6/19.png,,,,,,2.38,4.5,8.99,5.03,8.99,3.49,5.0,1004.2,3.16,21.6,,,,,,,,,,
019.jpg,bw6-20,Magmar,Pokémon,Fire,Dragons Exalted,20,Common,https://images.pokemontcg.io/bw6/20_hires.png,https://images.pokemontcg.io/bw6/20.png,0.1,0.25,1.0,0.19,0.1,,,,,,0.3,0.53,1.0,0.74,0.52,,,,,,,,,,
020.jpg,bw6-21,Magmortar,Pokémon,Fire,Dragons Exalted,21,Rare,https://images.pokemontcg.io/bw6/21_hires.png,https://images.pokemontcg.io/bw6/21.png,0.44,0.66,999.99,0.54,,,,,,,0.65,0.99,1.99,0.93,1.75,,,,,,,,,,
021.jpg,bw6-22,Ho-Oh-EX,Pokémon,Fire,Dragons Exalted,22,Rare Holo EX,https://images.pokemontcg.io/bw6/22_hires.png,https://images.pokemontcg.io/bw6/22.png,,,,,,2.29,3.83,14.99,2.7,2.25,,,,,,,,,,,,,,,
022.jpg,bw6-23,Magikarp,Pokémon,Water,Dragons Exalted,23,Common,https://images.pokemontcg.io/bw6/23_hires.png,https://images.pokemontcg.io/bw6/23.png,0.05,0.25,1.0,0.24,0.23,,,,,,0.38,0.47,1.26,0.63,0.37,,,,,,,,,,
023.jpg,bw6-24,Gyarados,Pokémon,Water,Dragons Exalted,24,Rare,https://images.pokemontcg.io/bw6/24_hires.png,https://images.pokemontcg.io/bw6/24.png,0.34,0.81,1.67,0.74,,,,,,,1.56,2.38,9.99,7.59,,,,,,,,,,,
024.jpg,bw6-25,Wailmer,Pokémon,Water,Dragons Exalted,25,Uncommon,https://images.pokemontcg.io/bw6/25_hires.png,https://images.pokemontcg.io/bw6/25.png,0.12,0.29,0.99,0.33,0.25,,,,,,0.24,0.68,999.99,1.02,,,,,,,,,,,
025.jpg,bw6-26,Wailord,Pokémon,Water,Dragons Exalted,26,Rare Holo,https://images.pokemontcg.io/bw6/26_hires.png,https://images.pokemontcg.io/bw6/26.png,,,,,,0.49,1.25,999.99,1.6,1.12,0.91,1.97,2.77,1.62,,,,,,,,,,,
