Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,tk1b-1,Electrike,Pokémon,Lightning,EX Trainer Kit Latios,1,,https://images.pokemontcg.io/tk1b/1_hires.png,https://images.pokemontcg.io/tk1b/1.png,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,tk1b-2,Latios,Pokémon,Colorless,EX Trainer Kit Latios,2,,https://images.pokemontcg.io/tk1b/2_hires.png,https://images.pokemontcg.io/tk1b/2.png,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,tk1b-3,Linoone,Pokémon,Colorless,EX Trainer Kit Latios,3,,https://images.pokemontcg.io/tk1b/3_hires.png,https://images.pokemontcg.io/tk1b/3.png,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,tk1b-4,Magnemite,Pokémon,Lightning,EX Trainer Kit Latios,4,,https://images.pokemontcg.io/tk1b/4_hires.png,https://images.pokemontcg.io/tk1b/4.png,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,tk1b-5,Magneton,Pokémon,Lightning,EX Trainer Kit Latios,5,,https://images.pokemontcg.io/tk1b/5_hires.png,https://images.pokemontcg.io/tk1b/5.png,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,tk1b-6,Pikachu,Pokémon,Lightning,EX Trainer Kit Latios,6,,https://images.pokemontcg.io/tk1b/6_hires.png,https://images.pokemontcg.io/tk1b/6.png,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,tk1b-7,Zigzagoon,Pokémon,Colorless,EX Trainer Kit Latios,7,,https://images.pokemontcg.io/tk1b/7_hires.png,https://images.pokemontcg.io/tk1b/7.png,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,tk1b-8,Potion,Trainer,,EX Trainer Kit Latios,8,,https://images.pokemontcg.io/tk1b/8_hires.png,https://images.pokemontcg.io/tk1b/8.png,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,tk1b-9,Energy Search,Trainer,,EX Trainer Kit Latios,9,,https://images.pokemontcg.io/tk1b/9_hires.png,https://images.pokemontcg.io/tk1b/9.png,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,tk1b-10,Lightning Energy,Energy,,EX Trainer Kit Latios,10,,https://images.pokemontcg.io/tk1b/10_hires.png,https://images.pokemontcg.io/tk1b/10.png,,,,,,,,,,,,,,,,,,,,,,,,,
