Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ex9-1,Blaziken,Pokémon,Fire,Emerald,1,Rare Holo,https://images.pokemontcg.io/ex9/1_hires.png,https://images.pokemontcg.io/ex9/1.png,,,,,,9.8,14.24,17.0,14.99,12.74,17.0,40.0,100.0,17.0,17.0,,,,,,,,,,
001.jpg,ex9-2,Deoxys,Pokémon,Psychic,Emerald,2,Rare Holo,https://images.pokemontcg.io/ex9/2_hires.png,https://images.pokemontcg.io/ex9/2.png,,,,,,9.28,14.97,37.0,14.21,,15.0,29.67,40.0,16.25,,,,,,,,,,,
002.jpg,ex9-3,Exploud,Pokémon,Colorless,Emerald,3,Rare Holo,https://images.pokemontcg.io/ex9/3_hires.png,https://images.pokemontcg.io/ex9/3.png,,,,,,4.0,8.73,25.0,7.86,4.68,13.99,15.16,15.91,4.48,15.91,,,,,,,,,,
003.jpg,ex9-4,Gardevoir,Pokémon,Psychic,Emerald,4,Rare Holo,https://images.pokemontcg.io/ex9/4_hires.png,https://images.pokemontcg.io/ex9/4.png,,,,,,18.0,20.36,40.76,22.14,20.36,20.0,21.25,88.04,,,,,,,,,,,,
004.jpg,ex9-5,Groudon,Pokémon,Fighting,Emerald,5,Rare Holo,https://images.pokemontcg.io/ex9/5_hires.png,https://images.pokemontcg.io/ex9/5.png,,,,,,9.58,18.99,25.0,14.79,,19.72,19.99,50.21,14.97,,,,,,,,,,,
005.jpg,ex9-6,Kyogre,Pokémon,Water,Emerald,6,Rare Holo,https://images.pokemontcg.io/ex9/6_hires.png,https://images.pokemontcg.io/ex9/6.png,,,,,,32.0,35.95,43.54,39.55,,41.27,44.08,46.88,35.0,,,,,,,,,,,
006.jpg,ex9-7,Manectric,Pokémon,Lightning,Emerald,7,Rare Holo,https://images.pokemontcg.io/ex9/7_hires.png,https://images.pokemontcg.io/ex9/7.png,,,,,,2.75,3.91,9.61,5.17,3.5,6.35,6.95,20.98,2.5,6.35,,,,,,,,,,
007.jpg,ex9-8,Milotic,Pokémon,Water,Emerald,8,Rare Holo,https://images.pokemontcg.io/ex9/8_hires.png,https://images.pokemontcg.io/ex9/8.png,,,,,,4.78,7.7,31.04,10.33,18.68,39.99,45.99,52.44,29.99,,,,,,,,,,,
008.jpg,ex9-9,Rayquaza,Pokémon,Colorless,Emerald,9,Rare Holo,https://images.pokemontcg.io/ex9/9_hires.png,https://images.pokemontcg.io/ex9/9.png,,,,,,30.0,48.49,79.0,52.49,39.99,64.99,70.47,71.98,25.0,,,,,,,,,,,
009.jpg,ex9-10,Sceptile,Pokémon,Grass,Emerald,10,Rare Holo,https://images.pokemontcg.io/ex9/10_hires.png,https://images.pokemontcg.io/ex9/10.png,,,,,,7.03,8.94,9.99,9.44,,11.3,16.1,16.97,30.0,,,,,,,,,,,
