Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,bw2-1,Pansage,Pokémon,Grass,Emerging Powers,1,Common,https://images.pokemontcg.io/bw2/1_hires.png,https://images.pokemontcg.io/bw2/1.png,0.1,0.25,1.0,0.24,0.13,,,,,,0.35,0.51,1.0,0.59,,,,,,,,,,,
001.jpg,bw2-2,Simisage,Pokémon,Grass,Emerging Powers,2,Rare,https://images.pokemontcg.io/bw2/2_hires.png,https://images.pokemontcg.io/bw2/2.png,0.32,0.5,999.99,0.47,0.32,,,,,,0.5,0.7,1.99,0.78,0.5,,,,,,,,,,
002.jpg,bw2-3,Sewaddle,Pokémon,Grass,Emerging Powers,3,Common,https://images.pokemontcg.io/bw2/3_hires.png,https://images.pokemontcg.io/bw2/3.png,0.1,0.25,1.0,0.17,0.17,,,,,,0.24,0.48,1.0,0.58,0.25,,,,,,,,,,
003.jpg,bw2-4,Sewaddle,Pokémon,Grass,Emerging Powers,4,Common,https://images.pokemontcg.io/bw2/4_hires.png,https://images.pokemontcg.io/bw2/4.png,0.14,0.25,1.0,0.26,0.25,,,,,,0.24,0.62,1.0,0.79,,,,,,,,,,,
004.jpg,bw2-5,Swadloon,Pokémon,Grass,Emerging Powers,5,Uncommon,https://images.pokemontcg.io/bw2/5_hires.png,https://images.pokemontcg.io/bw2/5.png,0.15,0.25,1.0,0.28,,,,,,,0.25,0.49,1.0,0.47,0.39,,,,,,,,,,
005.jpg,bw2-6,Swadloon,Pokémon,Grass,Emerging Powers,6,Uncommon,https://images.pokemontcg.io/bw2/6_hires.png,https://images.pokemontcg.io/bw2/6.png,0.12,0.3,1.0,0.27,0.23,,,,,,0.25,0.48,1.0,0.31,,,,,,,,,,,
006.jpg,bw2-7,Leavanny,Pokémon,Grass,Emerging Powers,7,Rare,https://images.pokemontcg.io/bw2/7_hires.png,https://images.pokemontcg.io/bw2/7.png,0.35,0.75,1.76,0.65,,,,,,,1.13,1.29,2.5,1.29,0.56,,,,,,,,,,
007.jpg,bw2-8,Leavanny,Pokémon,Grass,Emerging Powers,8,Rare,https://images.pokemontcg.io/bw2/8_hires.png,https://images.pokemontcg.io/bw2/8.png,0.2,0.8,1.52,0.37,,,,,,,0.45,0.89,1.99,0.58,0.5,,,,,,,,,,
008.jpg,bw2-9,Cottonee,Pokémon,Grass,Emerging Powers,9,Common,https://images.pokemontcg.io/bw2/9_hires.png,https://images.pokemontcg.io/bw2/9.png,0.08,0.25,1.0,0.15,,,,,,,0.29,0.53,2.99,0.56,,,,,,,,,,,
009.jpg,bw2-10,Cottonee,Pokémon,Grass,Emerging Powers,10,Common,https://images.pokemontcg.io/bw2/10_hires.png,https://images.pokemontcg.io/bw2/10.png,0.1,0.25,1.0,0.23,0.11,,,,,,0.18,0.49,2.24,0.38,,,,,,,,,,,
010.jpg,bw2-11,Whimsicott,Pokémon,Grass,Emerging Powers,11,Uncommon,https://images.pokemontcg.io/bw2/11_hires.png,https://images.pokemontcg.io/bw2/11.png,0.15,0.34,1.0,0.3,0.24,,,,,,0.25,0.49,2.0,0.45,0.38,,,,,,,,,,
011.jpg,bw2-12,Whimsicott,Pokémon,Grass,Emerging Powers,12,Rare,https://images.pokemontcg.io/bw2/12_hires.png,https://images.pokemontcg.io/bw2/12.png,0.44,0.54,1.27,0.53,0.45,,,,,,0.47,0.75,999.99,0.54,0.53,,,,,,,,,,
012.jpg,bw2-13,Petilil,Pokémon,Grass,Emerging Powers,13,Common,https://images.pokemontcg.io/bw2/13_hires.png,https://images.pokemontcg.io/bw2/13.png,0.1,0.25,1.0,0.26,0.16,,,,,,0.32,0.56,999.99,0.54,0.32,,,,,,,,,,
013.jpg,bw2-14,Lilligant,Pokémon,Grass,Emerging Powers,14,Uncommon,https://images.pokemontcg.io/bw2/14_hires.png,https://images.pokemontcg.io/bw2/14.png,0.15,0.27,1.0,0.33,,,,,,,0.2,0.51,1.25,0.49,0.49,,,,,,,,,,
014.jpg,bw2-15,Deerling,Pokémon,Grass,Emerging Powers,15,Common,https://images.pokemontcg.io/bw2/15_hires.png,https://images.pokemontcg.io/bw2/15.png,0.1,0.25,1.0,0.21,0.23,,,,,,1.26,3.5,24.49,0.53,23.32,,,,,,,,,,
015.jpg,bw2-16,Sawsbuck,Pokémon,Grass,Emerging Powers,16,Rare,https://images.pokemontcg.io/bw2/16_hires.png,https://images.pokemontcg.io/bw2/16.png,0.99,1.57,2.99,1.6,,,,,,,15.0,15.38,15.75,1.09,,,,,,,,,,,
016.jpg,bw2-17,Virizion,Pokémon,Grass,Emerging Powers,17,Rare Holo,https://images.pokemontcg.io/bw2/17_hires.png,https://images.pokemontcg.io/bw2/17.png,,,,,,0.32,0.93,1.99,0.78,0.64,0.65,0.9,2.99,0.7,0.72,,,,,,,,,,
017.jpg,bw2-18,Pansear,Pokémon,Fire,Emerging Powers,18,Common,https://images.pokemontcg.io/bw2/18_hires.png,https://images.pokemontcg.io/bw2/18.png,0.03,0.25,1.0,0.22,0.15,,,,,,0.31,0.5,0.75,0.52,0.31,,,,,,,,,,
018.jpg,bw2-19,Simisear,Pokémon,Fire,Emerging Powers,19,Rare,https://images.pokemontcg.io/bw2/19_hires.png,https://images.pokemontcg.io/bw2/19.png,0.25,0.5,1.49,0.35,,,,,,,0.25,0.61,1.99,0.56,0.52,,,,,,,,,,
019.jpg,bw2-20,Darumaka,Pokémon,Fire,Emerging Powers,20,Common,https://images.pokemontcg.io/bw2/20_hires.png,https://images.pokemontcg.io/bw2/20.png,0.07,0.25,1.0,0.18,0.25,,,,,,0.15,0.5,2.75,0.33,,,,,,,,,,,
