Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,xy12-1,Venusaur-EX,Pokémon,Grass,Evolutions,1,Rare Holo EX,https://images.pokemontcg.io/xy12/1_hires.png,https://images.pokemontcg.io/xy12/1.png,,,,,,1.55,3.05,49.95,2.55,2.93,,,,,,,,,,,,,,,
001.jpg,xy12-2,M Venusaur-EX,Pokémon,Grass,Evolutions,2,Rare Holo EX,https://images.pokemontcg.io/xy12/2_hires.png,https://images.pokemontcg.io/xy12/2.png,,,,,,1.0,5.55,876.37,4.67,4.49,,,,,,,,,,,,,,,
002.jpg,xy12-3,Caterpie,Pokémon,Grass,Evolutions,3,Common,https://images.pokemontcg.io/xy12/3_hires.png,https://images.pokemontcg.io/xy12/3.png,0.03,0.15,999.99,0.06,0.04,,,,,,0.1,0.4,9.95,0.37,0.2,,,,,,,,,,
003.jpg,xy12-4,Metapod,Pokémon,Grass,Evolutions,4,Uncommon,https://images.pokemontcg.io/xy12/4_hires.png,https://images.pokemontcg.io/xy12/4.png,0.04,0.18,999.99,0.08,0.05,,,,,,0.07,0.45,9.95,0.35,0.26,,,,,,,,,,
004.jpg,xy12-5,Weedle,Pokémon,Grass,Evolutions,5,Common,https://images.pokemontcg.io/xy12/5_hires.png,https://images.pokemontcg.io/xy12/5.png,0.03,0.15,999.99,0.07,0.06,,,,,,0.1,0.43,9.95,0.36,0.19,,,,,,,,,,
005.jpg,xy12-6,Kakuna,Pokémon,Grass,Evolutions,6,Uncommon,https://images.pokemontcg.io/xy12/6_hires.png,https://images.pokemontcg.io/xy12/6.png,0.04,0.16,999.99,0.08,0.05,,,,,,0.1,0.42,9.95,0.36,0.13,,,,,,,,,,
006.jpg,xy12-7,Beedrill,Pokémon,Grass,Evolutions,7,Rare,https://images.pokemontcg.io/xy12/7_hires.png,https://images.pokemontcg.io/xy12/7.png,0.1,0.25,4.95,0.19,0.19,,,,,,0.65,1.52,10.0,1.44,0.73,,,,,,,,,,
007.jpg,xy12-8,Tangela,Pokémon,Grass,Evolutions,8,Common,https://images.pokemontcg.io/xy12/8_hires.png,https://images.pokemontcg.io/xy12/8.png,0.02,0.17,999.99,0.07,0.1,,,,,,0.06,0.42,9.95,0.33,0.19,,,,,,,,,,
008.jpg,xy12-9,Charmander,Pokémon,Fire,Evolutions,9,Common,https://images.pokemontcg.io/xy12/9_hires.png,https://images.pokemontcg.io/xy12/9.png,0.01,0.25,4.99,0.14,0.22,,,,,,0.35,1.57,19.95,1.12,0.57,,,,,,,,,,
009.jpg,xy12-10,Charmeleon,Pokémon,Fire,Evolutions,10,Uncommon,https://images.pokemontcg.io/xy12/10_hires.png,https://images.pokemontcg.io/xy12/10.png,0.01,0.29,4.99,0.14,0.18,,,,,,0.2,1.19,14.95,0.92,0.31,,,,,,,,,,
010.jpg,xy12-11,Charizard,Pokémon,Fire,Evolutions,11,Rare Holo,https://images.pokemontcg.io/xy12/11_hires.png,https://images.pokemontcg.io/xy12/11.png,,,,,,44.79,74.94,10000.0,58.12,44.99,29.4,50.0,299.99,38.54,,,,,,,,,,,
011.jpg,xy12-12,Charizard-EX,Pokémon,Fire,Evolutions,12,Rare Holo EX,https://images.pokemontcg.io/xy12/12_hires.png,https://images.pokemontcg.io/xy12/12.png,,,,,,5.0,11.75,69.95,8.31,9.5,,,,,,,,,,,,,,,
012.jpg,xy12-13,M Charizard-EX,Pokémon,Fire,Evolutions,13,Rare Holo EX,https://images.pokemontcg.io/xy12/13_hires.png,https://images.pokemontcg.io/xy12/13.png,,,,,,17.99,27.11,99.95,21.84,26.95,,,,,,,,,,,,,,,
013.jpg,xy12-14,Vulpix,Pokémon,Fire,Evolutions,14,Common,https://images.pokemontcg.io/xy12/14_hires.png,https://images.pokemontcg.io/xy12/14.png,0.02,0.15,999.99,0.06,0.05,,,,,,0.04,0.52,49.95,0.45,0.19,,,,,,,,,,
014.jpg,xy12-15,Ninetales,Pokémon,Fire,Evolutions,15,Rare Holo,https://images.pokemontcg.io/xy12/15_hires.png,https://images.pokemontcg.io/xy12/15.png,,,,,,1.95,3.63,39.95,2.86,2.69,1.45,3.01,49.95,2.98,2.21,,,,,,,,,,
015.jpg,xy12-16,Ninetales BREAK,Pokémon,Fire,Evolutions,16,Rare BREAK,https://images.pokemontcg.io/xy12/16_hires.png,https://images.pokemontcg.io/xy12/16.png,,,,,,0.75,1.89,19.95,1.62,1.76,,,,,,,,,,,,,,,
016.jpg,xy12-17,Growlithe,Pokémon,Fire,Evolutions,17,Common,https://images.pokemontcg.io/xy12/17_hires.png,https://images.pokemontcg.io/xy12/17.png,0.03,0.15,999.99,0.08,0.09,,,,,,0.1,0.44,9.95,0.36,0.22,,,,,,,,,,
017.jpg,xy12-18,Arcanine,Pokémon,Fire,Evolutions,18,Rare,https://images.pokemontcg.io/xy12/18_hires.png,https://images.pokemontcg.io/xy12/18.png,0.09,0.27,4.95,0.25,0.09,,,,,,0.5,1.69,5.99,1.32,0.65,,,,,,,,,,
018.jpg,xy12-19,Ponyta,Pokémon,Fire,Evolutions,19,Common,https://images.pokemontcg.io/xy12/19_hires.png,https://images.pokemontcg.io/xy12/19.png,0.03,0.15,999.99,0.07,0.04,,,,,,0.1,0.49,9.95,0.41,0.25,,,,,,,,,,
019.jpg,xy12-20,Magmar,Pokémon,Fire,Evolutions,20,Uncommon,https://images.pokemontcg.io/xy12/20_hires.png,https://images.pokemontcg.io/xy12/20.png,0.05,0.19,999.99,0.14,0.06,,,,,,0.13,0.49,9.95,0.46,0.25,,,,,,,,,,
020.jpg,xy12-21,Blastoise-EX,Pokémon,Water,Evolutions,21,Rare Holo EX,https://images.pokemontcg.io/xy12/21_hires.png,https://images.pokemontcg.io/xy12/21.png,,,,,,1.66,4.0,39.95,2.93,3.95,,,,,,,,,,,,,,,
021.jpg,xy12-22,M Blastoise-EX,Pokémon,Water,Evolutions,22,Rare Holo EX,https://images.pokemontcg.io/xy12/22_hires.png,https://images.pokemontcg.io/xy12/22.png,,,,,,4.99,8.52,60.0,8.52,7.91,,,,,,,,,,,,,,,
022.jpg,xy12-23,Poliwag,Pokémon,Water,Evolutions,23,Common,https://images.pokemontcg.io/xy12/23_hires.png,https://images.pokemontcg.io/xy12/23.png,0.03,0.15,999.99,0.06,0.06,,,,,,0.15,0.49,9.95,0.36,0.25,,,,,,,,,,
023.jpg,xy12-24,Poliwhirl,Pokémon,Water,Evolutions,24,Uncommon,https://images.pokemontcg.io/xy12/24_hires.png,https://images.pokemontcg.io/xy12/24.png,0.03,0.2,999.99,0.11,0.05,,,,,,0.15,0.5,9.95,0.48,0.25,,,,,,,,,,
024.jpg,xy12-25,Poliwrath,Pokémon,Water,Evolutions,25,Rare Holo,https://images.pokemontcg.io/xy12/25_hires.png,https://images.pokemontcg.io/xy12/25.png,,,,,,1.0,2.45,49.95,1.76,1.51,0.59,2.31,19.95,1.62,1.35,,,,,,,,,,
025.jpg,xy12-26,Slowbro-EX,Pokémon,Water,Evolutions,26,Rare Holo EX,https://images.pokemontcg.io/xy12/26_hires.png,https://images.pokemontcg.io/xy12/26.png,,,,,,0.99,1.99,14.95,1.33,1.49,,,,,,,,,,,,,,,
026.jpg,xy12-27,M Slowbro-EX,Pokémon,Water,Evolutions,27,Rare Holo EX,https://images.pokemontcg.io/xy12/27_hires.png,https://images.pokemontcg.io/xy12/27.png,,,,,,1.74,2.8,49.95,2.59,2.0,,,,,,,,,,,,,,,
027.jpg,xy12-28,Seel,Pokémon,Water,Evolutions,28,Common,https://images.pokemontcg.io/xy12/28_hires.png,https://images.pokemontcg.io/xy12/28.png,0.02,0.15,999.99,0.06,0.04,,,,,,0.12,0.44,9.95,0.39,0.12,,,,,,,,,,
028.jpg,xy12-29,Dewgong,Pokémon,Water,Evolutions,29,Rare,https://images.pokemontcg.io/xy12/29_hires.png,https://images.pokemontcg.io/xy12/29.png,0.05,0.25,4.95,0.17,0.09,,,,,,0.24,1.18,9.95,0.83,0.52,,,,,,,,,,
029.jpg,xy12-30,Staryu,Pokémon,Water,Evolutions,30,Common,https://images.pokemontcg.io/xy12/30_hires.png,https://images.pokemontcg.io/xy12/30.png,0.04,0.15,999.99,0.07,0.04,,,,,,0.1,0.49,9.95,0.29,0.14,,,,,,,,,,
030.jpg,xy12-31,Starmie,Pokémon,Water,Evolutions,31,Rare,https://images.pokemontcg.io/xy12/31_hires.png,https://images.pokemontcg.io/xy12/31.png,0.01,0.25,4.95,0.17,0.1,,,,,,0.3,1.37,19.95,1.49,0.49,,,,,,,,,,
031.jpg,xy12-32,Starmie BREAK,Pokémon,Water,Evolutions,32,Rare BREAK,https://images.pokemontcg.io/xy12/32_hires.png,https://images.pokemontcg.io/xy12/32.png,,,,,,0.65,1.58,19.95,1.17,1.1,,,,,,,,,,,,,,,
032.jpg,xy12-33,Magikarp,Pokémon,Water,Evolutions,33,Common,https://images.pokemontcg.io/xy12/33_hires.png,https://images.pokemontcg.io/xy12/33.png,0.02,0.15,999.99,0.08,0.02,,,,,,0.12,0.56,9.95,0.67,0.25,,,,,,,,,,
033.jpg,xy12-34,Gyarados,Pokémon,Water,Evolutions,34,Rare Holo,https://images.pokemontcg.io/xy12/34_hires.png,https://images.pokemontcg.io/xy12/34.png,,,,,,1.05,3.5,39.95,2.79,1.96,1.43,3.92,49.95,2.89,1.99,,,,,,,,,,
034.jpg,xy12-35,Pikachu,Pokémon,Lightning,Evolutions,35,Common,https://images.pokemontcg.io/xy12/35_hires.png,https://images.pokemontcg.io/xy12/35.png,0.05,0.27,20.0,0.27,0.25,,,,,,0.57,2.0,19.95,1.34,0.74,,,,,,,,,,
035.jpg,xy12-36,Raichu,Pokémon,Lightning,Evolutions,36,Rare Holo,https://images.pokemontcg.io/xy12/36_hires.png,https://images.pokemontcg.io/xy12/36.png,,,,,,2.0,4.5,29.95,3.92,3.17,1.69,3.33,49.95,3.2,1.68,,,,,,,,,,
036.jpg,xy12-37,Magnemite,Pokémon,Lightning,Evolutions,37,Common,https://images.pokemontcg.io/xy12/37_hires.png,https://images.pokemontcg.io/xy12/37.png,0.04,0.15,999.99,0.06,0.05,,,,,,0.1,0.43,9.95,0.35,0.15,,,,,,,,,,
037.jpg,xy12-38,Magneton,Pokémon,Lightning,Evolutions,38,Rare Holo,https://images.pokemontcg.io/xy12/38_hires.png,https://images.pokemontcg.io/xy12/38.png,,,,,,0.46,1.5,19.95,1.19,0.5,0.25,1.46,14.95,1.35,0.54,,,,,,,,,,
038.jpg,xy12-39,Voltorb,Pokémon,Lightning,Evolutions,39,Common,https://images.pokemontcg.io/xy12/39_hires.png,https://images.pokemontcg.io/xy12/39.png,0.01,0.15,999.99,0.07,0.04,,,,,,0.1,0.39,9.95,0.37,0.14,,,,,,,,,,
