Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ecard1-1,Alakazam,Pokémon,Psychic,Expedition Base Set,1,Rare Holo,https://images.pokemontcg.io/ecard1/1_hires.png,https://images.pokemontcg.io/ecard1/1.png,,,,,,57.77,75.98,222.65,105.86,,30.0,31.69,78.03,50.48,,,,,,,,,,,
001.jpg,ecard1-2,Ampharos,Pokémon,Lightning,Expedition Base Set,2,Rare Holo,https://images.pokemontcg.io/ecard1/2_hires.png,https://images.pokemontcg.io/ecard1/2.png,,,,,,26.39,45.24,89.15,50.48,,19.99,38.5,53.97,7.58,,,,,,,,,,,
002.jpg,ecard1-3,Arbok,Pokémon,Grass,Expedition Base Set,3,Rare Holo,https://images.pokemontcg.io/ecard1/3_hires.png,https://images.pokemontcg.io/ecard1/3.png,,,,,,27.64,41.16,45.0,35.54,,9.6,14.0,19.06,14.75,,,,,,,,,,,
003.jpg,ecard1-4,Blastoise,Pokémon,Water,Expedition Base Set,4,Rare Holo,https://images.pokemontcg.io/ecard1/4_hires.png,https://images.pokemontcg.io/ecard1/4.png,,,,,,145.0,151.55,299.99,121.96,,109.99,349.98,384.98,119.95,,,,,,,,,,,
004.jpg,ecard1-5,Butterfree,Pokémon,Grass,Expedition Base Set,5,Rare Holo,https://images.pokemontcg.io/ecard1/5_hires.png,https://images.pokemontcg.io/ecard1/5.png,,,,,,50.77,65.42,70.0,45.33,,23.77,42.76,68.95,21.61,,,,,,,,,,,
005.jpg,ecard1-6,Charizard,Pokémon,Fire,Expedition Base Set,6,Rare Holo,https://images.pokemontcg.io/ecard1/6_hires.png,https://images.pokemontcg.io/ecard1/6.png,,,,,,325.0,794.99,2499.99,511.51,,149.49,245.0,349.99,121.65,,,,,,,,,,,
006.jpg,ecard1-7,Clefable,Pokémon,Colorless,Expedition Base Set,7,Rare Holo,https://images.pokemontcg.io/ecard1/7_hires.png,https://images.pokemontcg.io/ecard1/7.png,,,,,,32.72,47.99,74.99,46.06,17.09,12.96,22.95,35.0,25.1,12.96,,,,,,,,,,
007.jpg,ecard1-8,Cloyster,Pokémon,Water,Expedition Base Set,8,Rare Holo,https://images.pokemontcg.io/ecard1/8_hires.png,https://images.pokemontcg.io/ecard1/8.png,,,,,,33.93,55.78,75.95,57.26,,11.0,19.99,27.97,18.27,,,,,,,,,,,
008.jpg,ecard1-9,Dragonite,Pokémon,Colorless,Expedition Base Set,9,Rare Holo,https://images.pokemontcg.io/ecard1/9_hires.png,https://images.pokemontcg.io/ecard1/9.png,,,,,,104.95,150.0,224.95,197.11,,84.99,117.0,224.95,139.5,,,,,,,,,,,
009.jpg,ecard1-10,Dugtrio,Pokémon,Fighting,Expedition Base Set,10,Rare Holo,https://images.pokemontcg.io/ecard1/10_hires.png,https://images.pokemontcg.io/ecard1/10.png,,,,,,13.45,39.89,59.99,39.99,37.87,13.68,19.0,30.0,15.0,,,,,,,,,,,
010.jpg,ecard1-11,Fearow,Pokémon,Colorless,Expedition Base Set,11,Rare Holo,https://images.pokemontcg.io/ecard1/11_hires.png,https://images.pokemontcg.io/ecard1/11.png,,,,,,26.0,33.11,47.0,43.2,,21.99,27.89,49.99,19.49,,,,,,,,,,,
011.jpg,ecard1-12,Feraligatr,Pokémon,Water,Expedition Base Set,12,Rare Holo,https://images.pokemontcg.io/ecard1/12_hires.png,https://images.pokemontcg.io/ecard1/12.png,,,,,,70.0,79.14,173.95,93.72,,33.53,73.95,78.99,69.99,,,,,,,,,,,
012.jpg,ecard1-13,Gengar,Pokémon,Psychic,Expedition Base Set,13,Rare Holo,https://images.pokemontcg.io/ecard1/13_hires.png,https://images.pokemontcg.io/ecard1/13.png,,,,,,84.0,97.35,149.18,126.57,104.99,55.54,67.65,150.0,65.99,,,,,,,,,,,
013.jpg,ecard1-14,Golem,Pokémon,Fighting,Expedition Base Set,14,Rare Holo,https://images.pokemontcg.io/ecard1/14_hires.png,https://images.pokemontcg.io/ecard1/14.png,,,,,,19.14,31.45,69.99,26.27,23.19,12.24,21.95,34.99,19.06,16.5,,,,,,,,,,
014.jpg,ecard1-15,Kingler,Pokémon,Water,Expedition Base Set,15,Rare Holo,https://images.pokemontcg.io/ecard1/15_hires.png,https://images.pokemontcg.io/ecard1/15.png,,,,,,17.2,29.5,49.99,31.17,,11.32,15.95,29.0,16.9,11.32,,,,,,,,,,
015.jpg,ecard1-16,Machamp,Pokémon,Fighting,Expedition Base Set,16,Rare Holo,https://images.pokemontcg.io/ecard1/16_hires.png,https://images.pokemontcg.io/ecard1/16.png,,,,,,38.48,39.48,69.99,48.72,,25.06,27.99,35.0,14.31,,,,,,,,,,,
016.jpg,ecard1-17,Magby,Pokémon,Fire,Expedition Base Set,17,Rare Holo,https://images.pokemontcg.io/ecard1/17_hires.png,https://images.pokemontcg.io/ecard1/17.png,,,,,,26.45,38.71,59.95,29.49,21.99,10.0,24.63,59.97,15.79,,,,,,,,,,,
017.jpg,ecard1-18,Meganium,Pokémon,Grass,Expedition Base Set,18,Rare Holo,https://images.pokemontcg.io/ecard1/18_hires.png,https://images.pokemontcg.io/ecard1/18.png,,,,,,44.9,77.1,148.95,78.59,28.98,23.67,47.99,73.95,58.44,,,,,,,,,,,
018.jpg,ecard1-19,Mew,Pokémon,Psychic,Expedition Base Set,19,Rare Holo,https://images.pokemontcg.io/ecard1/19_hires.png,https://images.pokemontcg.io/ecard1/19.png,,,,,,190.0,196.0,197.95,276.76,,50.23,58.44,119.19,99.44,,,,,,,,,,,
019.jpg,ecard1-20,Mewtwo,Pokémon,Psychic,Expedition Base Set,20,Rare Holo,https://images.pokemontcg.io/ecard1/20_hires.png,https://images.pokemontcg.io/ecard1/20.png,,,,,,92.97,250.0,499.99,200.0,157.75,55.47,109.18,230.0,55.47,55.47,,,,,,,,,,
020.jpg,ecard1-21,Ninetales,Pokémon,Fire,Expedition Base Set,21,Rare Holo,https://images.pokemontcg.io/ecard1/21_hires.png,https://images.pokemontcg.io/ecard1/21.png,,,,,,60.0,79.99,110.0,94.2,,29.99,42.04,59.99,39.99,29.99,,,,,,,,,,
021.jpg,ecard1-22,Pichu,Pokémon,Lightning,Expedition Base Set,22,Rare Holo,https://images.pokemontcg.io/ecard1/22_hires.png,https://images.pokemontcg.io/ecard1/22.png,,,,,,49.98,72.92,127.97,105.72,29.24,37.2,40.0,80.0,40.77,32.29,,,,,,,,,,
022.jpg,ecard1-23,Pidgeot,Pokémon,Colorless,Expedition Base Set,23,Rare Holo,https://images.pokemontcg.io/ecard1/23_hires.png,https://images.pokemontcg.io/ecard1/23.png,,,,,,35.0,45.5,91.99,47.5,83.38,15.03,34.9,50.77,20.39,,,,,,,,,,,
023.jpg,ecard1-24,Poliwrath,Pokémon,Water,Expedition Base Set,24,Rare Holo,https://images.pokemontcg.io/ecard1/24_hires.png,https://images.pokemontcg.io/ecard1/24.png,,,,,,24.95,33.99,72.63,27.97,,26.85,35.0,40.0,15.82,,,,,,,,,,,
024.jpg,ecard1-25,Raichu,Pokémon,Lightning,Expedition Base Set,25,Rare Holo,https://images.pokemontcg.io/ecard1/25_hires.png,https://images.pokemontcg.io/ecard1/25.png,,,,,,48.22,74.99,129.99,78.4,,21.2,30.27,45.0,39.95,,,,,,,,,,,
025.jpg,ecard1-26,Rapidash,Pokémon,Fire,Expedition Base Set,26,Rare Holo,https://images.pokemontcg.io/ecard1/26_hires.png,https://images.pokemontcg.io/ecard1/26.png,,,,,,33.98,39.99,57.99,53.59,,14.99,24.72,64.94,22.05,,,,,,,,,,,
026.jpg,ecard1-27,Skarmory,Pokémon,Metal,Expedition Base Set,27,Rare Holo,https://images.pokemontcg.io/ecard1/27_hires.png,https://images.pokemontcg.io/ecard1/27.png,,,,,,28.99,42.07,69.99,74.99,,13.06,17.96,22.95,22.95,13.06,,,,,,,,,,
027.jpg,ecard1-28,Typhlosion,Pokémon,Fire,Expedition Base Set,28,Rare Holo,https://images.pokemontcg.io/ecard1/28_hires.png,https://images.pokemontcg.io/ecard1/28.png,,,,,,85.0,104.03,499.97,139.84,,40.07,69.95,99.75,26.24,,,,,,,,,,,
028.jpg,ecard1-29,Tyranitar,Pokémon,Darkness,Expedition Base Set,29,Rare Holo,https://images.pokemontcg.io/ecard1/29_hires.png,https://images.pokemontcg.io/ecard1/29.png,,,,,,105.0,125.0,241.0,184.73,,58.5,60.49,108.02,99.99,,,,,,,,,,,
