Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,base3-1,Aerodactyl,Pokémon,Fighting,Fossil,1,Rare Holo,https://images.pokemontcg.io/base3/1_hires.png,https://images.pokemontcg.io/base3/1.png,,,,,,9.0,13.93,100.0,22.41,7.05,,,,,,29.99,41.34,129.99,66.32,29.99,,,,,
001.jpg,base3-2,Articuno,Pokémon,Water,Fossil,2,Rare Holo,https://images.pokemontcg.io/base3/2_hires.png,https://images.pokemontcg.io/base3/2.png,,,,,,15.47,32.99,59.99,37.76,19.6,,,,,,49.0,87.81,194.94,127.85,54.93,,,,,
002.jpg,base3-3,Ditto,Pokémon,Colorless,Fossil,3,Rare Holo,https://images.pokemontcg.io/base3/3_hires.png,https://images.pokemontcg.io/base3/3.png,,,,,,9.99,16.89,70.0,19.6,9.29,,,,,,19.99,48.2,99.99,55.74,19.96,,,,,
003.jpg,base3-4,Dragonite,Pokémon,Colorless,Fossil,4,Rare Holo,https://images.pokemontcg.io/base3/4_hires.png,https://images.pokemontcg.io/base3/4.png,,,,,,30.0,60.0,197.99,66.69,39.99,,,,,,119.95,186.9,299.99,178.0,,,,,,
004.jpg,base3-5,Gengar,Pokémon,Psychic,Fossil,5,Rare Holo,https://images.pokemontcg.io/base3/5_hires.png,https://images.pokemontcg.io/base3/5.png,,,,,,18.5,40.0,189.99,44.37,25.26,,,,,,120.0,138.32,300.0,176.96,50.0,,,,,
005.jpg,base3-6,Haunter,Pokémon,Psychic,Fossil,6,Rare Holo,https://images.pokemontcg.io/base3/6_hires.png,https://images.pokemontcg.io/base3/6.png,,,,,,6.9,15.0,239.0,14.75,6.49,,,,,,38.16,64.99,206.99,69.42,21.51,,,,,
006.jpg,base3-7,Hitmonlee,Pokémon,Fighting,Fossil,7,Rare Holo,https://images.pokemontcg.io/base3/7_hires.png,https://images.pokemontcg.io/base3/7.png,,,,,,7.0,15.0,100.0,21.18,8.41,,,,,,34.0,50.0,999.99,69.24,28.66,,,,,
007.jpg,base3-8,Hypno,Pokémon,Psychic,Fossil,8,Rare Holo,https://images.pokemontcg.io/base3/8_hires.png,https://images.pokemontcg.io/base3/8.png,,,,,,4.99,14.73,62.99,18.41,6.45,,,,,,28.0,52.99,109.99,56.0,34.79,,,,,
008.jpg,base3-9,Kabutops,Pokémon,Fighting,Fossil,9,Rare Holo,https://images.pokemontcg.io/base3/9_hires.png,https://images.pokemontcg.io/base3/9.png,,,,,,3.99,15.09,53.99,19.78,13.26,,,,,,24.95,47.52,127.95,55.67,,,,,,
009.jpg,base3-10,Lapras,Pokémon,Water,Fossil,10,Rare Holo,https://images.pokemontcg.io/base3/10_hires.png,https://images.pokemontcg.io/base3/10.png,,,,,,4.99,10.5,63.99,11.87,3.01,,,,,,49.0,50.5,180.0,156.66,49.69,35.74,104.99,184.99,90.0,
010.jpg,base3-11,Magneton,Pokémon,Lightning,Fossil,11,Rare Holo,https://images.pokemontcg.io/base3/11_hires.png,https://images.pokemontcg.io/base3/11.png,,,,,,3.99,7.54,51.29,9.74,3.82,,,,,,15.99,27.99,99.99,39.03,45.0,,,,,
011.jpg,base3-12,Moltres,Pokémon,Fire,Fossil,12,Rare Holo,https://images.pokemontcg.io/base3/12_hires.png,https://images.pokemontcg.io/base3/12.png,,,,,,19.0,30.31,116.99,38.67,11.94,,,,,,55.25,90.0,164.99,109.97,,,,,,
012.jpg,base3-13,Muk,Pokémon,Grass,Fossil,13,Rare Holo,https://images.pokemontcg.io/base3/13_hires.png,https://images.pokemontcg.io/base3/13.png,,,,,,1.5,4.16,20.78,4.62,0.99,,,,,,18.89,33.93,150.78,32.53,20.36,,,,,
013.jpg,base3-14,Raichu,Pokémon,Lightning,Fossil,14,Rare Holo,https://images.pokemontcg.io/base3/14_hires.png,https://images.pokemontcg.io/base3/14.png,,,,,,9.99,17.99,42.49,20.41,7.92,,,,,,59.99,106.95,174.98,103.99,45.84,,,,,
014.jpg,base3-15,Zapdos,Pokémon,Lightning,Fossil,15,Rare Holo,https://images.pokemontcg.io/base3/15_hires.png,https://images.pokemontcg.io/base3/15.png,,,,,,3.99,12.85,40.0,12.3,6.45,,,,,,68.0,89.99,226.5,72.43,75.77,,,,,
015.jpg,base3-16,Aerodactyl,Pokémon,Fighting,Fossil,16,Rare,https://images.pokemontcg.io/base3/16_hires.png,https://images.pokemontcg.io/base3/16.png,0.78,3.32,9.79,3.12,2.93,,,,,,,,,,,,,,,,7.25,11.01,19.99,10.35,
016.jpg,base3-17,Articuno,Pokémon,Water,Fossil,17,Rare,https://images.pokemontcg.io/base3/17_hires.png,https://images.pokemontcg.io/base3/17.png,2.54,5.83,22.0,6.02,4.99,,,,,,,,,,,,,,,,12.47,15.89,27.0,15.59,
017.jpg,base3-18,Ditto,Pokémon,Colorless,Fossil,18,Rare,https://images.pokemontcg.io/base3/18_hires.png,https://images.pokemontcg.io/base3/18.png,1.5,4.49,25.25,4.66,2.54,,,,,,,,,,,,,,,,8.0,9.92,24.99,9.75,8.24
018.jpg,base3-19,Dragonite,Pokémon,Colorless,Fossil,19,Rare,https://images.pokemontcg.io/base3/19_hires.png,https://images.pokemontcg.io/base3/19.png,3.88,7.0,99.0,8.12,9.89,,,,,,,,,,,,,,,,18.65,28.98,94.91,25.77,
019.jpg,base3-20,Gengar,Pokémon,Psychic,Fossil,20,Rare,https://images.pokemontcg.io/base3/20_hires.png,https://images.pokemontcg.io/base3/20.png,2.5,5.0,22.45,5.15,4.4,,,,,,,,,,,,,,,,9.73,19.14,44.99,19.21,
020.jpg,base3-21,Haunter,Pokémon,Psychic,Fossil,21,Rare,https://images.pokemontcg.io/base3/21_hires.png,https://images.pokemontcg.io/base3/21.png,0.5,2.98,9.99,2.98,2.4,,,,,,,,,,,,,,,,5.99,10.29,19.99,9.87,
021.jpg,base3-22,Hitmonlee,Pokémon,Fighting,Fossil,22,Rare,https://images.pokemontcg.io/base3/22_hires.png,https://images.pokemontcg.io/base3/22.png,1.25,4.02,9.99,4.48,2.22,,,,,,,,,,,,,,,,3.55,11.14,22.0,11.14,
022.jpg,base3-23,Hypno,Pokémon,Psychic,Fossil,23,Rare,https://images.pokemontcg.io/base3/23_hires.png,https://images.pokemontcg.io/base3/23.png,1.0,3.01,6.99,3.01,1.35,,,,,,,,,,,,,,,,5.5,10.0,22.49,10.32,
023.jpg,base3-24,Kabutops,Pokémon,Fighting,Fossil,24,Rare,https://images.pokemontcg.io/base3/24_hires.png,https://images.pokemontcg.io/base3/24.png,1.88,3.0,15.0,3.18,3.93,,,,,,,,,,,,,,,,6.0,11.94,19.99,11.73,10.45
024.jpg,base3-25,Lapras,Pokémon,Water,Fossil,25,Rare,https://images.pokemontcg.io/base3/25_hires.png,https://images.pokemontcg.io/base3/25.png,1.75,4.49,11.0,5.06,2.54,,,,,,,,,,,,,,,,7.0,12.97,22.49,14.58,
025.jpg,base3-26,Magneton,Pokémon,Lightning,Fossil,26,Rare,https://images.pokemontcg.io/base3/26_hires.png,https://images.pokemontcg.io/base3/26.png,1.14,2.99,22.0,3.22,1.5,,,,,,,,,,,,,,,,3.25,7.95,22.0,8.59,
026.jpg,base3-27,Moltres,Pokémon,Fire,Fossil,27,Rare,https://images.pokemontcg.io/base3/27_hires.png,https://images.pokemontcg.io/base3/27.png,1.75,5.15,15.95,5.78,2.68,,,,,,,,,,,,,,,,13.93,21.91,68.39,20.19,
027.jpg,base3-28,Muk,Pokémon,Grass,Fossil,28,Rare,https://images.pokemontcg.io/base3/28_hires.png,https://images.pokemontcg.io/base3/28.png,1.0,2.95,20.69,2.61,,,,,,,,,,,,,,,,,5.69,8.95,19.99,8.83,
028.jpg,base3-29,Raichu,Pokémon,Lightning,Fossil,29,Rare,https://images.pokemontcg.io/base3/29_hires.png,https://images.pokemontcg.io/base3/29.png,1.0,3.0,30.59,3.03,1.88,,,,,,,,,,,,,,,,9.95,15.39,99.89,14.97,10.45
029.jpg,base3-30,Zapdos,Pokémon,Lightning,Fossil,30,Rare,https://images.pokemontcg.io/base3/30_hires.png,https://images.pokemontcg.io/base3/30.png,1.49,3.75,14.99,4.34,1.95,,,,,,,,,,,,,,,,9.42,20.78,29.99,19.86,
030.jpg,base3-31,Arbok,Pokémon,Grass,Fossil,31,Uncommon,https://images.pokemontcg.io/base3/31_hires.png,https://images.pokemontcg.io/base3/31.png,0.15,0.75,5.0,0.52,0.34,,,,,,,,,,,,,,,,0.9,3.44,20.69,3.44,2.39
