Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,xy3-1,Bellsprout,Pokémon,Grass,Furious Fists,1,Common,https://images.pokemontcg.io/xy3/1_hires.png,https://images.pokemontcg.io/xy3/1.png,0.05,0.25,1.0,0.15,0.1,,,,,,0.25,0.39,2.41,0.38,0.25,,,,,,,,,,
001.jpg,xy3-2,Weepinbell,Pokémon,Grass,Furious Fists,2,Uncommon,https://images.pokemontcg.io/xy3/2_hires.png,https://images.pokemontcg.io/xy3/2.png,0.17,0.28,1.03,0.27,0.19,,,,,,0.23,0.38,1.95,0.25,0.33,,,,,,,,,,
002.jpg,xy3-3,Victreebel,Pokémon,Grass,Furious Fists,3,Rare Holo,https://images.pokemontcg.io/xy3/3_hires.png,https://images.pokemontcg.io/xy3/3.png,,,,,,0.35,0.9,4.99,0.82,0.6,0.4,0.88,2.0,0.91,0.6,,,,,,,,,,
003.jpg,xy3-4,Heracross-EX,Pokémon,Grass,Furious Fists,4,Rare Holo EX,https://images.pokemontcg.io/xy3/4_hires.png,https://images.pokemontcg.io/xy3/4.png,,,,,,1.83,3.67,19.95,3.48,7.95,,,,,,,,,,,,,,,
004.jpg,xy3-5,M Heracross-EX,Pokémon,Grass,Furious Fists,5,Rare Holo EX,https://images.pokemontcg.io/xy3/5_hires.png,https://images.pokemontcg.io/xy3/5.png,,,,,,3.25,5.0,17.91,4.38,3.78,,,,,,,,,,,,,,,
005.jpg,xy3-6,Shroomish,Pokémon,Grass,Furious Fists,6,Common,https://images.pokemontcg.io/xy3/6_hires.png,https://images.pokemontcg.io/xy3/6.png,0.1,0.25,1.0,0.13,0.1,,,,,,0.19,0.42,1.95,0.24,0.19,,,,,,,,,,
006.jpg,xy3-7,Leafeon,Pokémon,Grass,Furious Fists,7,Rare,https://images.pokemontcg.io/xy3/7_hires.png,https://images.pokemontcg.io/xy3/7.png,2.4,3.87,999.99,3.58,3.0,,,,,,3.92,4.86,999.99,5.19,3.92,,,,,,,,,,
007.jpg,xy3-8,Shelmet,Pokémon,Grass,Furious Fists,8,Common,https://images.pokemontcg.io/xy3/8_hires.png,https://images.pokemontcg.io/xy3/8.png,0.08,0.25,1.0,0.13,0.1,,,,,,0.1,0.3,1.95,0.21,0.24,,,,,,,,,,
008.jpg,xy3-9,Accelgor,Pokémon,Grass,Furious Fists,9,Uncommon,https://images.pokemontcg.io/xy3/9_hires.png,https://images.pokemontcg.io/xy3/9.png,0.05,0.25,1.0,0.15,0.17,,,,,,0.25,0.45,1.95,0.39,0.25,,,,,,,,,,
009.jpg,xy3-10,Magmar,Pokémon,Fire,Furious Fists,10,Common,https://images.pokemontcg.io/xy3/10_hires.png,https://images.pokemontcg.io/xy3/10.png,0.04,0.25,999.99,0.15,0.14,,,,,,0.1,0.43,1.95,0.32,0.25,,,,,,,,,,
010.jpg,xy3-11,Magmortar,Pokémon,Fire,Furious Fists,11,Rare,https://images.pokemontcg.io/xy3/11_hires.png,https://images.pokemontcg.io/xy3/11.png,0.1,0.5,999.99,0.33,,,,,,,0.3,0.65,2.0,0.67,0.49,,,,,,,,,,
011.jpg,xy3-12,Torchic,Pokémon,Fire,Furious Fists,12,Common,https://images.pokemontcg.io/xy3/12_hires.png,https://images.pokemontcg.io/xy3/12.png,0.07,0.26,1.0,0.18,0.15,,,,,,0.25,0.46,999.99,0.47,0.25,,,,,,,,,,
