Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,g1-1,Venusaur-EX,Pokémon,Grass,Generations,1,Rare Holo EX,https://images.pokemontcg.io/g1/1_hires.png,https://images.pokemontcg.io/g1/1.png,,,,,,3.0,5.0,16.99,4.57,,,,,,,,,,,,,,,,
001.jpg,g1-2,M Venusaur-EX,Pokémon,Grass,Generations,2,Rare Holo EX,https://images.pokemontcg.io/g1/2_hires.png,https://images.pokemontcg.io/g1/2.png,,,,,,4.85,6.62,19.99,6.36,4.85,,,,,,,,,,,,,,,
002.jpg,g1-3,Caterpie,Pokémon,Grass,Generations,3,Common,https://images.pokemontcg.io/g1/3_hires.png,https://images.pokemontcg.io/g1/3.png,0.1,0.25,999.99,0.15,0.14,,,,,,0.2,0.49,1.95,0.32,0.24,,,,,,,,,,
003.jpg,g1-4,Metapod,Pokémon,Grass,Generations,4,Uncommon,https://images.pokemontcg.io/g1/4_hires.png,https://images.pokemontcg.io/g1/4.png,0.13,0.25,999.99,0.17,0.18,,,,,,0.1,0.49,1.95,0.35,0.19,,,,,,,,,,
004.jpg,g1-5,Butterfree,Pokémon,Grass,Generations,5,Rare Holo,https://images.pokemontcg.io/g1/5_hires.png,https://images.pokemontcg.io/g1/5.png,,,,,,0.44,1.04,3.99,1.38,2.49,3.05,4.64,6.95,3.16,6.34,,,,,,,,,,
005.jpg,g1-6,Paras,Pokémon,Grass,Generations,6,Common,https://images.pokemontcg.io/g1/6_hires.png,https://images.pokemontcg.io/g1/6.png,0.1,0.24,999.99,0.16,0.15,,,,,,0.17,0.35,1.95,0.34,0.18,,,,,,,,,,
006.jpg,g1-7,Parasect,Pokémon,Grass,Generations,7,Rare,https://images.pokemontcg.io/g1/7_hires.png,https://images.pokemontcg.io/g1/7.png,0.22,0.39,999.99,0.34,0.3,,,,,,1.74,2.12,7.72,1.93,1.93,,,,,,,,,,
007.jpg,g1-8,Tangela,Pokémon,Grass,Generations,8,Common,https://images.pokemontcg.io/g1/8_hires.png,https://images.pokemontcg.io/g1/8.png,0.09,0.24,999.99,0.17,0.09,,,,,,0.12,0.41,1.95,0.39,0.12,,,,,,,,,,
008.jpg,g1-9,Pinsir,Pokémon,Grass,Generations,9,Rare,https://images.pokemontcg.io/g1/9_hires.png,https://images.pokemontcg.io/g1/9.png,0.12,0.44,1.32,0.32,0.2,,,,,,0.79,2.0,5.7,3.05,1.97,,,,,,,,,,
009.jpg,g1-10,Leafeon-EX,Pokémon,Grass,Generations,10,Rare Holo EX,https://images.pokemontcg.io/g1/10_hires.png,https://images.pokemontcg.io/g1/10.png,,,,,,8.29,13.49,74.99,15.24,15.3,,,,,,,,,,,,,,,
