Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sm2-1,Bellsprout,Pokémon,Grass,Guardians Rising,1,Common,https://images.pokemontcg.io/sm2/1_hires.png,https://images.pokemontcg.io/sm2/1.png,0.01,0.2,1.0,0.09,0.09,,,,,,0.08,0.31,1.13,0.21,0.21,,,,,,,,,,
001.jpg,sm2-2,Weepinbell,Pokémon,Grass,Guardians Rising,2,Uncommon,https://images.pokemontcg.io/sm2/2_hires.png,https://images.pokemontcg.io/sm2/2.png,0.05,0.2,1.0,0.1,0.08,,,,,,0.1,0.3,1.13,0.19,0.13,,,,,,,,,,
002.jpg,sm2-3,Victreebel,Pokémon,Grass,Guardians Rising,3,Rare,https://images.pokemontcg.io/sm2/3_hires.png,https://images.pokemontcg.io/sm2/3.png,0.1,0.3,1.13,0.24,0.15,,,,,,0.17,0.48,1.05,0.35,0.17,,,,,,,,,,
003.jpg,sm2-4,Petilil,Pokémon,Grass,Guardians Rising,4,Common,https://images.pokemontcg.io/sm2/4_hires.png,https://images.pokemontcg.io/sm2/4.png,0.03,0.15,0.89,0.09,0.06,,,,,,0.12,0.3,1.02,0.23,0.23,,,,,,,,,,
004.jpg,sm2-5,Lilligant,Pokémon,Grass,Guardians Rising,5,Rare,https://images.pokemontcg.io/sm2/5_hires.png,https://images.pokemontcg.io/sm2/5.png,0.12,0.28,1.13,0.19,0.19,,,,,,0.16,0.39,2.0,0.34,0.25,,,,,,,,,,
005.jpg,sm2-6,Phantump,Pokémon,Grass,Guardians Rising,6,Common,https://images.pokemontcg.io/sm2/6_hires.png,https://images.pokemontcg.io/sm2/6.png,0.03,0.2,1.0,0.08,0.09,,,,,,0.14,0.38,1.01,0.25,0.15,,,,,,,,,,
006.jpg,sm2-7,Trevenant,Pokémon,Grass,Guardians Rising,7,Rare,https://images.pokemontcg.io/sm2/7_hires.png,https://images.pokemontcg.io/sm2/7.png,0.1,0.29,1.13,0.2,0.19,,,,,,0.15,0.46,2.0,0.31,0.24,,,,,,,,,,
007.jpg,sm2-8,Wimpod,Pokémon,Grass,Guardians Rising,8,Common,https://images.pokemontcg.io/sm2/8_hires.png,https://images.pokemontcg.io/sm2/8.png,0.03,0.2,1.0,0.09,0.09,,,,,,0.09,0.29,1.02,0.19,0.2,,,,,,,,,,
008.jpg,sm2-9,Golisopod,Pokémon,Grass,Guardians Rising,9,Rare Holo,https://images.pokemontcg.io/sm2/9_hires.png,https://images.pokemontcg.io/sm2/9.png,,,,,,0.25,0.49,1.18,0.4,0.3,0.13,0.49,1.5,0.38,0.25,,,,,,,,,,
009.jpg,sm2-10,Victini,Pokémon,Fire,Guardians Rising,10,Rare Holo,https://images.pokemontcg.io/sm2/10_hires.png,https://images.pokemontcg.io/sm2/10.png,,,,,,0.25,0.56,2.49,0.49,0.39,0.25,0.53,2.48,0.52,0.38,,,,,,,,,,
010.jpg,sm2-11,Litwick,Pokémon,Fire,Guardians Rising,11,Common,https://images.pokemontcg.io/sm2/11_hires.png,https://images.pokemontcg.io/sm2/11.png,0.04,0.2,1.0,0.08,0.07,,,,,,0.1,0.29,1.13,0.16,0.13,,,,,,,,,,
011.jpg,sm2-12,Lampent,Pokémon,Fire,Guardians Rising,12,Uncommon,https://images.pokemontcg.io/sm2/12_hires.png,https://images.pokemontcg.io/sm2/12.png,0.04,0.2,1.0,0.11,0.09,,,,,,0.12,0.36,1.13,0.26,0.25,,,,,,,,,,
012.jpg,sm2-13,Chandelure,Pokémon,Fire,Guardians Rising,13,Rare Holo,https://images.pokemontcg.io/sm2/13_hires.png,https://images.pokemontcg.io/sm2/13.png,,,,,,0.15,0.49,2.05,0.39,0.25,0.18,0.48,2.05,0.4,0.26,,,,,,,,,,
013.jpg,sm2-14,Oricorio,Pokémon,Fire,Guardians Rising,14,Rare,https://images.pokemontcg.io/sm2/14_hires.png,https://images.pokemontcg.io/sm2/14.png,0.12,0.34,1.13,0.18,0.25,,,,,,0.13,0.45,2.0,0.36,0.25,,,,,,,,,,
014.jpg,sm2-15,Salandit,Pokémon,Fire,Guardians Rising,15,Common,https://images.pokemontcg.io/sm2/15_hires.png,https://images.pokemontcg.io/sm2/15.png,0.03,0.19,999.99,0.09,0.05,,,,,,0.1,0.35,1.13,0.21,0.14,,,,,,,,,,
015.jpg,sm2-16,Salazzle,Pokémon,Fire,Guardians Rising,16,Rare,https://images.pokemontcg.io/sm2/16_hires.png,https://images.pokemontcg.io/sm2/16.png,0.09,0.3,1.13,0.22,0.22,,,,,,0.2,0.49,2.0,0.34,0.28,,,,,,,,,,
