Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,gym2-1,Blaine's Arcanine,Pokémon,Fire,Gym Challenge,1,Rare Holo,https://images.pokemontcg.io/gym2/1_hires.png,https://images.pokemontcg.io/gym2/1.png,,,,,,32.99,60.0,95.0,65.1,23.0,,,,,,199.99,225.0,368.03,105.0,368.03,,,,,
001.jpg,gym2-2,Blaine's Charizard,Pokémon,Fire,Gym Challenge,2,Rare Holo,https://images.pokemontcg.io/gym2/2_hires.png,https://images.pokemontcg.io/gym2/2.png,,,,,,232.74,249.95,667.65,336.12,,,,,,,999.99,1100.0,1425.0,1042.58,1057.78,,,,,
002.jpg,gym2-3,Brock's Ninetales,Pokémon,Fire,Gym Challenge,3,Rare Holo,https://images.pokemontcg.io/gym2/3_hires.png,https://images.pokemontcg.io/gym2/3.png,,,,,,27.98,35.0,89.99,40.15,27.98,,,,,,99.99,135.0,169.99,140.22,53.97,,,,,
003.jpg,gym2-4,Erika's Venusaur,Pokémon,Grass,Gym Challenge,4,Rare Holo,https://images.pokemontcg.io/gym2/4_hires.png,https://images.pokemontcg.io/gym2/4.png,,,,,,50.73,98.55,200.0,100.15,,,,,,,194.0,201.85,399.99,100.0,306.84,,,,,
004.jpg,gym2-5,Giovanni's Gyarados,Pokémon,Water,Gym Challenge,5,Rare Holo,https://images.pokemontcg.io/gym2/5_hires.png,https://images.pokemontcg.io/gym2/5.png,,,,,,35.0,45.0,269.99,51.86,54.95,,,,,,113.97,135.35,375.0,180.21,189.22,,,,,
005.jpg,gym2-6,Giovanni's Machamp,Pokémon,Fighting,Gym Challenge,6,Rare Holo,https://images.pokemontcg.io/gym2/6_hires.png,https://images.pokemontcg.io/gym2/6.png,,,,,,18.0,35.34,64.0,33.7,26.0,,,,,,59.99,94.49,290.0,120.0,63.92,,,,,
006.jpg,gym2-7,Giovanni's Nidoking,Pokémon,Grass,Gym Challenge,7,Rare Holo,https://images.pokemontcg.io/gym2/7_hires.png,https://images.pokemontcg.io/gym2/7.png,,,,,,21.59,33.87,148.97,40.8,19.99,,,,,,74.99,95.0,150.76,90.0,47.54,,,,,
007.jpg,gym2-8,Giovanni's Persian,Pokémon,Colorless,Gym Challenge,8,Rare Holo,https://images.pokemontcg.io/gym2/8_hires.png,https://images.pokemontcg.io/gym2/8.png,,,,,,9.5,19.7,59.99,21.69,,,,,,,51.73,84.55,198.25,80.0,,,,,,
008.jpg,gym2-9,Koga's Beedrill,Pokémon,Grass,Gym Challenge,9,Rare Holo,https://images.pokemontcg.io/gym2/9_hires.png,https://images.pokemontcg.io/gym2/9.png,,,,,,10.0,17.0,129.99,16.74,11.68,,,,,,45.48,60.35,68.99,90.0,,,,,,
009.jpg,gym2-10,Koga's Ditto,Pokémon,Colorless,Gym Challenge,10,Rare Holo,https://images.pokemontcg.io/gym2/10_hires.png,https://images.pokemontcg.io/gym2/10.png,,,,,,19.17,25.0,49.95,26.16,25.43,,,,,,63.0,86.49,107.87,114.99,99.99,,,,,
