Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,gym1-1,Blaine's Moltres,Pokémon,Fire,Gym Heroes,1,Rare Holo,https://images.pokemontcg.io/gym1/1_hires.png,https://images.pokemontcg.io/gym1/1.png,,,,,,38.99,77.07,279.0,77.07,89.5,,,,,,179.0,242.94,367.28,239.97,,,,,,
001.jpg,gym1-2,Brock's Rhydon,Pokémon,Fighting,Gym Heroes,2,Rare Holo,https://images.pokemontcg.io/gym1/2_hires.png,https://images.pokemontcg.io/gym1/2.png,,,,,,9.0,15.0,37.95,16.3,9.94,,,,,,57.0,67.0,109.99,76.12,,,,,,
002.jpg,gym1-3,Erika's Clefable,Pokémon,Colorless,Gym Heroes,3,Rare Holo,https://images.pokemontcg.io/gym1/3_hires.png,https://images.pokemontcg.io/gym1/3.png,,,,,,12.0,18.89,49.95,22.25,9.0,,,,,,64.0,74.99,159.99,89.99,69.99,,,,,
003.jpg,gym1-4,Erika's Dragonair,Pokémon,Colorless,Gym Heroes,4,Rare Holo,https://images.pokemontcg.io/gym1/4_hires.png,https://images.pokemontcg.io/gym1/4.png,,,,,,30.0,40.5,79.99,37.63,37.99,,,,,,109.99,180.0,222.22,217.99,,,,,,
004.jpg,gym1-5,Erika's Vileplume,Pokémon,Grass,Gym Heroes,5,Rare Holo,https://images.pokemontcg.io/gym1/5_hires.png,https://images.pokemontcg.io/gym1/5.png,,,,,,5.97,11.0,32.49,13.19,4.99,,,,,,38.72,64.99,150.0,63.33,64.99,,,,,
005.jpg,gym1-6,Lt. Surge's Electabuzz,Pokémon,Lightning,Gym Heroes,6,Rare Holo,https://images.pokemontcg.io/gym1/6_hires.png,https://images.pokemontcg.io/gym1/6.png,,,,,,11.0,19.4,71.99,20.66,15.48,,,,,,54.0,77.19,149.99,104.99,39.99,,,,,
006.jpg,gym1-7,Lt. Surge's Fearow,Pokémon,Colorless,Gym Heroes,7,Rare Holo,https://images.pokemontcg.io/gym1/7_hires.png,https://images.pokemontcg.io/gym1/7.png,,,,,,14.98,25.77,74.95,30.11,15.99,,,,,,70.0,81.42,139.99,119.0,,,,,,
007.jpg,gym1-8,Lt. Surge's Magneton,Pokémon,Lightning,Gym Heroes,8,Rare Holo,https://images.pokemontcg.io/gym1/8_hires.png,https://images.pokemontcg.io/gym1/8.png,,,,,,4.49,10.25,35.0,11.62,5.35,,,,,,49.98,76.99,159.99,96.0,,,,,,
008.jpg,gym1-9,Misty's Seadra,Pokémon,Water,Gym Heroes,9,Rare Holo,https://images.pokemontcg.io/gym1/9_hires.png,https://images.pokemontcg.io/gym1/9.png,,,,,,7.99,15.8,79.95,15.09,8.98,,,,,,49.75,72.5,179.99,129.99,65.38,,,,,
009.jpg,gym1-10,Misty's Tentacruel,Pokémon,Water,Gym Heroes,10,Rare Holo,https://images.pokemontcg.io/gym1/10_hires.png,https://images.pokemontcg.io/gym1/10.png,,,,,,6.99,11.0,39.95,11.97,5.45,,,,,,38.93,73.99,129.99,56.2,74.0,,,,,
010.jpg,gym1-11,Rocket's Hitmonchan,Pokémon,Fighting,Gym Heroes,11,Rare Holo,https://images.pokemontcg.io/gym1/11_hires.png,https://images.pokemontcg.io/gym1/11.png,,,,,,14.5,27.47,269.5,27.55,12.24,,,,,,60.0,101.97,249.99,113.2,101.97,,,,,
011.jpg,gym1-12,Rocket's Moltres,Pokémon,Fire,Gym Heroes,12,Rare Holo,https://images.pokemontcg.io/gym1/12_hires.png,https://images.pokemontcg.io/gym1/12.png,,,,,,24.0,44.5,229.99,43.3,,,,,,,84.28,179.97,325.0,84.29,,,,,,
012.jpg,gym1-13,Rocket's Scyther,Pokémon,Grass,Gym Heroes,13,Rare Holo,https://images.pokemontcg.io/gym1/13_hires.png,https://images.pokemontcg.io/gym1/13.png,,,,,,28.74,37.97,79.99,41.65,33.24,,,,,,104.0,138.69,333.33,128.9,,,,,,
013.jpg,gym1-14,Sabrina's Gengar,Pokémon,Psychic,Gym Heroes,14,Rare Holo,https://images.pokemontcg.io/gym1/14_hires.png,https://images.pokemontcg.io/gym1/14.png,,,,,,50.34,59.98,143.95,74.32,50.95,,,,,,199.0,299.99,499.99,343.75,199.99,,,,,
014.jpg,gym1-15,Brock,Trainer,,Gym Heroes,15,Rare Holo,https://images.pokemontcg.io/gym1/15_hires.png,https://images.pokemontcg.io/gym1/15.png,,,,,,14.23,21.95,74.95,21.85,14.38,,,,,,73.95,87.69,135.16,102.88,73.95,,,,,
015.jpg,gym1-16,Erika,Trainer,,Gym Heroes,16,Rare Holo,https://images.pokemontcg.io/gym1/16_hires.png,https://images.pokemontcg.io/gym1/16.png,,,,,,17.5,29.08,59.95,25.23,,,,,,,38.01,64.89,109.99,52.13,39.94,,,,,
016.jpg,gym1-17,Lt. Surge,Trainer,,Gym Heroes,17,Rare Holo,https://images.pokemontcg.io/gym1/17_hires.png,https://images.pokemontcg.io/gym1/17.png,,,,,,13.25,20.0,54.94,20.46,14.95,,,,,,49.75,61.92,150.0,61.92,59.99,,,,,
017.jpg,gym1-18,Misty,Trainer,,Gym Heroes,18,Rare Holo,https://images.pokemontcg.io/gym1/18_hires.png,https://images.pokemontcg.io/gym1/18.png,,,,,,19.99,27.97,74.95,27.31,27.36,,,,,,70.0,98.53,175.75,122.49,55.0,,,,,
018.jpg,gym1-19,The Rocket's Trap,Trainer,,Gym Heroes,19,Rare Holo,https://images.pokemontcg.io/gym1/19_hires.png,https://images.pokemontcg.io/gym1/19.png,,,,,,8.66,15.2,65.95,13.73,19.99,,,,,,19.0,37.99,89.99,26.71,30.6,,,,,
019.jpg,gym1-20,Brock's Golem,Pokémon,Fighting,Gym Heroes,20,Rare,https://images.pokemontcg.io/gym1/20_hires.png,https://images.pokemontcg.io/gym1/20.png,6.9,8.5,14.99,8.71,,,,,,,,,,,,,,,,,11.28,14.5,24.99,14.62,12.13
020.jpg,gym1-21,Brock's Onix,Pokémon,Fighting,Gym Heroes,21,Rare,https://images.pokemontcg.io/gym1/21_hires.png,https://images.pokemontcg.io/gym1/21.png,4.12,5.2,26.99,5.74,6.29,,,,,,,,,,,,,,,,5.71,16.49,27.49,9.73,19.99
021.jpg,gym1-22,Brock's Rhyhorn,Pokémon,Fighting,Gym Heroes,22,Rare,https://images.pokemontcg.io/gym1/22_hires.png,https://images.pokemontcg.io/gym1/22.png,5.0,6.97,10.49,7.94,5.66,,,,,,,,,,,,,,,,8.01,11.5,19.95,12.37,14.99
