Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,hgss3-1,Bellossom,Pokémon,Grass,HS—Undaunted,1,Rare Holo,https://images.pokemontcg.io/hgss3/1_hires.png,https://images.pokemontcg.io/hgss3/1.png,,,,,,0.6,1.79,2.92,2.01,,0.49,1.0,2.97,0.88,1.0,,,,,,,,,,
001.jpg,hgss3-2,Espeon,Pokémon,Psychic,HS—Undaunted,2,Rare Holo,https://images.pokemontcg.io/hgss3/2_hires.png,https://images.pokemontcg.io/hgss3/2.png,,,,,,7.98,11.84,32.95,15.3,7.97,7.71,8.68,39.67,35.16,,,,,,,,,,,
002.jpg,hgss3-3,Forretress,Pokémon,Metal,HS—Undaunted,3,Rare Holo,https://images.pokemontcg.io/hgss3/3_hires.png,https://images.pokemontcg.io/hgss3/3.png,,,,,,1.0,2.0,2.99,2.04,1.27,0.55,1.0,5.51,0.88,0.88,,,,,,,,,,
003.jpg,hgss3-4,Gliscor,Pokémon,Fighting,HS—Undaunted,4,Rare Holo,https://images.pokemontcg.io/hgss3/4_hires.png,https://images.pokemontcg.io/hgss3/4.png,,,,,,1.39,2.15,4.85,3.76,1.49,0.54,3.3,3.95,2.7,,,,,,,,,,,
004.jpg,hgss3-5,Houndoom,Pokémon,Darkness,HS—Undaunted,5,Rare Holo,https://images.pokemontcg.io/hgss3/5_hires.png,https://images.pokemontcg.io/hgss3/5.png,,,,,,3.95,4.33,17.5,7.87,3.95,6.77,13.44,15.76,14.98,5.36,,,,,,,,,,
005.jpg,hgss3-6,Magcargo,Pokémon,Fire,HS—Undaunted,6,Rare Holo,https://images.pokemontcg.io/hgss3/6_hires.png,https://images.pokemontcg.io/hgss3/6.png,,,,,,2.7,3.19,5.49,3.17,2.83,2.99,5.0,8.0,2.24,,,,,,,,,,,
006.jpg,hgss3-7,Scizor,Pokémon,Metal,HS—Undaunted,7,Rare Holo,https://images.pokemontcg.io/hgss3/7_hires.png,https://images.pokemontcg.io/hgss3/7.png,,,,,,9.98,15.74,25.0,12.79,9.98,4.04,13.88,34.44,12.74,12.74,,,,,,,,,,
007.jpg,hgss3-8,Smeargle,Pokémon,Colorless,HS—Undaunted,8,Rare Holo,https://images.pokemontcg.io/hgss3/8_hires.png,https://images.pokemontcg.io/hgss3/8.png,,,,,,2.0,5.71,15.0,6.14,4.46,4.09,5.97,33.99,2.4,5.63,,,,,,,,,,
008.jpg,hgss3-9,Togekiss,Pokémon,Colorless,HS—Undaunted,9,Rare Holo,https://images.pokemontcg.io/hgss3/9_hires.png,https://images.pokemontcg.io/hgss3/9.png,,,,,,4.0,6.85,20.9,4.76,5.8,9.05,13.0,27.0,13.14,,,,,,,,,,,
009.jpg,hgss3-10,Umbreon,Pokémon,Darkness,HS—Undaunted,10,Rare Holo,https://images.pokemontcg.io/hgss3/10_hires.png,https://images.pokemontcg.io/hgss3/10.png,,,,,,15.35,19.25,33.0,26.56,16.12,21.97,28.81,50.99,43.57,,,,,,,,,,,
010.jpg,hgss3-11,Dodrio,Pokémon,Colorless,HS—Undaunted,11,Rare,https://images.pokemontcg.io/hgss3/11_hires.png,https://images.pokemontcg.io/hgss3/11.png,0.19,0.42,2.49,0.39,0.22,,,,,,0.34,0.68,2.99,0.7,0.34,,,,,,,,,,
011.jpg,hgss3-12,Drifblim,Pokémon,Psychic,HS—Undaunted,12,Rare,https://images.pokemontcg.io/hgss3/12_hires.png,https://images.pokemontcg.io/hgss3/12.png,0.25,0.4,2.49,0.39,0.32,,,,,,0.67,1.28,2.99,1.28,0.68,,,,,,,,,,
