Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ex5-1,Banette,Pokémon,Psychic,Hidden Legends,1,Rare Holo,https://images.pokemontcg.io/ex5/1_hires.png,https://images.pokemontcg.io/ex5/1.png,,,,,,7.43,10.33,29.95,9.73,7.43,7.97,9.02,14.99,8.53,14.22,,,,,,,,,,
001.jpg,ex5-2,Claydol,Pokémon,Psychic,Hidden Legends,2,Rare Holo,https://images.pokemontcg.io/ex5/2_hires.png,https://images.pokemontcg.io/ex5/2.png,,,,,,4.1,5.5,8.95,6.35,,3.93,5.03,10.96,9.97,,,,,,,,,,,
002.jpg,ex5-3,Crobat,Pokémon,Grass,Hidden Legends,3,Rare Holo,https://images.pokemontcg.io/ex5/3_hires.png,https://images.pokemontcg.io/ex5/3.png,,,,,,2.18,22.5,27.48,8.51,23.56,9.0,10.08,12.96,12.01,,,,,,,,,,,
003.jpg,ex5-4,Dark Celebi,Pokémon,Grass__Darkness,Hidden Legends,4,Rare Holo,https://images.pokemontcg.io/ex5/4_hires.png,https://images.pokemontcg.io/ex5/4.png,,,,,,6.9,16.95,59.99,15.09,7.9,29.0,41.95,69.97,59.99,34.99,,,,,,,,,,
004.jpg,ex5-5,Electrode,Pokémon,Lightning,Hidden Legends,5,Rare Holo,https://images.pokemontcg.io/ex5/5_hires.png,https://images.pokemontcg.io/ex5/5.png,,,,,,5.63,5.9,9.83,4.76,,8.2,9.49,15.73,12.9,11.9,,,,,,,,,,
005.jpg,ex5-6,Exploud,Pokémon,Colorless,Hidden Legends,6,Rare Holo,https://images.pokemontcg.io/ex5/6_hires.png,https://images.pokemontcg.io/ex5/6.png,,,,,,4.14,10.27,50.0,8.8,,8.45,8.87,14.95,11.75,,,,,,,,,,,
006.jpg,ex5-7,Heracross,Pokémon,Grass,Hidden Legends,7,Rare Holo,https://images.pokemontcg.io/ex5/7_hires.png,https://images.pokemontcg.io/ex5/7.png,,,,,,3.95,5.1,17.06,5.85,4.94,5.0,5.78,6.83,5.24,,,,,,,,,,,
007.jpg,ex5-8,Jirachi,Pokémon,Psychic__Metal,Hidden Legends,8,Rare Holo,https://images.pokemontcg.io/ex5/8_hires.png,https://images.pokemontcg.io/ex5/8.png,,,,,,5.0,8.36,17.95,7.84,6.11,12.49,16.13,79.99,27.95,11.99,,,,,,,,,,
008.jpg,ex5-9,Machamp,Pokémon,Fighting,Hidden Legends,9,Rare Holo,https://images.pokemontcg.io/ex5/9_hires.png,https://images.pokemontcg.io/ex5/9.png,,,,,,9.51,12.85,49.95,17.08,9.51,24.0,28.5,33.0,33.0,,,,,,,,,,,
009.jpg,ex5-10,Medicham,Pokémon,Fighting,Hidden Legends,10,Rare Holo,https://images.pokemontcg.io/ex5/10_hires.png,https://images.pokemontcg.io/ex5/10.png,,,,,,4.15,6.33,15.97,5.77,,7.05,10.5,12.97,10.75,10.57,,,,,,,,,,
010.jpg,ex5-11,Metagross,Pokémon,Psychic__Metal,Hidden Legends,11,Rare Holo,https://images.pokemontcg.io/ex5/11_hires.png,https://images.pokemontcg.io/ex5/11.png,,,,,,11.1,17.0,24.99,15.56,,16.5,20.99,35.0,14.97,12.99,,,,,,,,,,
011.jpg,ex5-12,Milotic,Pokémon,Water,Hidden Legends,12,Rare Holo,https://images.pokemontcg.io/ex5/12_hires.png,https://images.pokemontcg.io/ex5/12.png,,,,,,9.99,16.0,26.99,16.51,,17.0,18.95,20.99,19.43,18.95,,,,,,,,,,
012.jpg,ex5-13,Pinsir,Pokémon,Grass,Hidden Legends,13,Rare Holo,https://images.pokemontcg.io/ex5/13_hires.png,https://images.pokemontcg.io/ex5/13.png,,,,,,4.0,4.92,10.95,4.69,,2.94,7.93,12.95,7.9,999.99,,,,,,,,,,
013.jpg,ex5-14,Shiftry,Pokémon,Darkness,Hidden Legends,14,Rare Holo,https://images.pokemontcg.io/ex5/14_hires.png,https://images.pokemontcg.io/ex5/14.png,,,,,,5.99,8.0,10.6,4.84,,5.0,6.99,14.61,6.97,7.99,,,,,,,,,,
014.jpg,ex5-15,Walrein,Pokémon,Water,Hidden Legends,15,Rare Holo,https://images.pokemontcg.io/ex5/15_hires.png,https://images.pokemontcg.io/ex5/15.png,,,,,,9.0,11.05,14.99,13.43,,9.0,10.05,15.16,10.21,,,,,,,,,,,
015.jpg,ex5-16,Bellossom,Pokémon,Grass,Hidden Legends,16,Rare,https://images.pokemontcg.io/ex5/16_hires.png,https://images.pokemontcg.io/ex5/16.png,0.3,0.87,3.43,0.9,,,,,,,9.98,9.99,14.05,10.75,9.98,,,,,,,,,,
016.jpg,ex5-17,Chimecho,Pokémon,Psychic,Hidden Legends,17,Rare,https://images.pokemontcg.io/ex5/17_hires.png,https://images.pokemontcg.io/ex5/17.png,0.48,0.99,2.99,0.96,0.75,,,,,,1.24,2.58,9.72,5.25,1.86,,,,,,,,,,
