Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sv9-1,Caterpie,Pokémon,Grass,Journey Together,1,Common,https://images.pokemontcg.io/sv9/1_hires.png,https://images.pokemontcg.io/sv9/1.png,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sv9-2,Metapod,Pokémon,Grass,Journey Together,2,Common,https://images.pokemontcg.io/sv9/2_hires.png,https://images.pokemontcg.io/sv9/2.png,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sv9-3,Butterfree,Pokémon,Grass,Journey Together,3,Rare,https://images.pokemontcg.io/sv9/3_hires.png,https://images.pokemontcg.io/sv9/3.png,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sv9-4,Paras,Pokémon,Grass,Journey Together,4,Common,https://images.pokemontcg.io/sv9/4_hires.png,https://images.pokemontcg.io/sv9/4.png,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sv9-5,Parasect,Pokémon,Grass,Journey Together,5,Common,https://images.pokemontcg.io/sv9/5_hires.png,https://images.pokemontcg.io/sv9/5.png,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sv9-6,Petilil,Pokémon,Grass,Journey Together,6,Common,https://images.pokemontcg.io/sv9/6_hires.png,https://images.pokemontcg.io/sv9/6.png,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sv9-7,Lilligant,Pokémon,Grass,Journey Together,7,Common,https://images.pokemontcg.io/sv9/7_hires.png,https://images.pokemontcg.io/sv9/7.png,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sv9-8,Maractus,Pokémon,Grass,Journey Together,8,Uncommon,https://images.pokemontcg.io/sv9/8_hires.png,https://images.pokemontcg.io/sv9/8.png,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sv9-9,Karrablast,Pokémon,Grass,Journey Together,9,Common,https://images.pokemontcg.io/sv9/9_hires.png,https://images.pokemontcg.io/sv9/9.png,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sv9-10,Foongus,Pokémon,Grass,Journey Together,10,Common,https://images.pokemontcg.io/sv9/10_hires.png,https://images.pokemontcg.io/sv9/10.png,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,sv9-11,Amoonguss ex,Pokémon,Grass,Journey Together,11,Double Rare,https://images.pokemontcg.io/sv9/11_hires.png,https://images.pokemontcg.io/sv9/11.png,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,sv9-12,Shelmet,Pokémon,Grass,Journey Together,12,Common,https://images.pokemontcg.io/sv9/12_hires.png,https://images.pokemontcg.io/sv9/12.png,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,sv9-13,Accelgor,Pokémon,Grass,Journey Together,13,Uncommon,https://images.pokemontcg.io/sv9/13_hires.png,https://images.pokemontcg.io/sv9/13.png,,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,sv9-14,Durant,Pokémon,Grass,Journey Together,14,Common,https://images.pokemontcg.io/sv9/14_hires.png,https://images.pokemontcg.io/sv9/14.png,,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,sv9-15,Virizion,Pokémon,Grass,Journey Together,15,Uncommon,https://images.pokemontcg.io/sv9/15_hires.png,https://images.pokemontcg.io/sv9/15.png,,,,,,,,,,,,,,,,,,,,,,,,,
015.jpg,sv9-16,Sprigatito,Pokémon,Grass,Journey Together,16,Common,https://images.pokemontcg.io/sv9/16_hires.png,https://images.pokemontcg.io/sv9/16.png,,,,,,,,,,,,,,,,,,,,,,,,,
016.jpg,sv9-17,Floragato,Pokémon,Grass,Journey Together,17,Common,https://images.pokemontcg.io/sv9/17_hires.png,https://images.pokemontcg.io/sv9/17.png,,,,,,,,,,,,,,,,,,,,,,,,,
017.jpg,sv9-18,Meowscarada,Pokémon,Grass,Journey Together,18,Rare,https://images.pokemontcg.io/sv9/18_hires.png,https://images.pokemontcg.io/sv9/18.png,,,,,,,,,,,,,,,,,,,,,,,,,
018.jpg,sv9-19,Nymble,Pokémon,Grass,Journey Together,19,Common,https://images.pokemontcg.io/sv9/19_hires.png,https://images.pokemontcg.io/sv9/19.png,,,,,,,,,,,,,,,,,,,,,,,,,
019.jpg,sv9-20,Magmar,Pokémon,Fire,Journey Together,20,Common,https://images.pokemontcg.io/sv9/20_hires.png,https://images.pokemontcg.io/sv9/20.png,,,,,,,,,,,,,,,,,,,,,,,,,
020.jpg,sv9-21,Magmortar,Pokémon,Fire,Journey Together,21,Rare,https://images.pokemontcg.io/sv9/21_hires.png,https://images.pokemontcg.io/sv9/21.png,,,,,,,,,,,,,,,,,,,,,,,,,
021.jpg,sv9-22,Torchic,Pokémon,Fire,Journey Together,22,Common,https://images.pokemontcg.io/sv9/22_hires.png,https://images.pokemontcg.io/sv9/22.png,,,,,,,,,,,,,,,,,,,,,,,,,
022.jpg,sv9-23,Combusken,Pokémon,Fire,Journey Together,23,Uncommon,https://images.pokemontcg.io/sv9/23_hires.png,https://images.pokemontcg.io/sv9/23.png,,,,,,,,,,,,,,,,,,,,,,,,,
023.jpg,sv9-24,Blaziken ex,Pokémon,Fire,Journey Together,24,Double Rare,https://images.pokemontcg.io/sv9/24_hires.png,https://images.pokemontcg.io/sv9/24.png,,,,,,,,,,,,,,,,,,,,,,,,,
024.jpg,sv9-25,Torkoal,Pokémon,Fire,Journey Together,25,Common,https://images.pokemontcg.io/sv9/25_hires.png,https://images.pokemontcg.io/sv9/25.png,,,,,,,,,,,,,,,,,,,,,,,,,
025.jpg,sv9-26,N's Darumaka,Pokémon,Fire,Journey Together,26,Common,https://images.pokemontcg.io/sv9/26_hires.png,https://images.pokemontcg.io/sv9/26.png,,,,,,,,,,,,,,,,,,,,,,,,,
026.jpg,sv9-27,N's Darmanitan,Pokémon,Fire,Journey Together,27,Uncommon,https://images.pokemontcg.io/sv9/27_hires.png,https://images.pokemontcg.io/sv9/27.png,,,,,,,,,,,,,,,,,,,,,,,,,
027.jpg,sv9-28,Larvesta,Pokémon,Fire,Journey Together,28,Common,https://images.pokemontcg.io/sv9/28_hires.png,https://images.pokemontcg.io/sv9/28.png,,,,,,,,,,,,,,,,,,,,,,,,,
028.jpg,sv9-29,Volcarona,Pokémon,Fire,Journey Together,29,Uncommon,https://images.pokemontcg.io/sv9/29_hires.png,https://images.pokemontcg.io/sv9/29.png,,,,,,,,,,,,,,,,,,,,,,,,,
029.jpg,sv9-30,Reshiram ex,Pokémon,Fire,Journey Together,30,Double Rare,https://images.pokemontcg.io/sv9/30_hires.png,https://images.pokemontcg.io/sv9/30.png,,,,,,,,,,,,,,,,,,,,,,,,,
030.jpg,sv9-31,Volcanion ex,Pokémon,Fire,Journey Together,31,Double Rare,https://images.pokemontcg.io/sv9/31_hires.png,https://images.pokemontcg.io/sv9/31.png,,,,,,,,,,,,,,,,,,,,,,,,,
031.jpg,sv9-32,Articuno,Pokémon,Water,Journey Together,32,Uncommon,https://images.pokemontcg.io/sv9/32_hires.png,https://images.pokemontcg.io/sv9/32.png,,,,,,,,,,,,,,,,,,,,,,,,,
032.jpg,sv9-33,Remoraid,Pokémon,Water,Journey Together,33,Common,https://images.pokemontcg.io/sv9/33_hires.png,https://images.pokemontcg.io/sv9/33.png,,,,,,,,,,,,,,,,,,,,,,,,,
033.jpg,sv9-34,Octillery,Pokémon,Water,Journey Together,34,Uncommon,https://images.pokemontcg.io/sv9/34_hires.png,https://images.pokemontcg.io/sv9/34.png,,,,,,,,,,,,,,,,,,,,,,,,,
034.jpg,sv9-35,Lotad,Pokémon,Water,Journey Together,35,Common,https://images.pokemontcg.io/sv9/35_hires.png,https://images.pokemontcg.io/sv9/35.png,,,,,,,,,,,,,,,,,,,,,,,,,
035.jpg,sv9-36,Lombre,Pokémon,Water,Journey Together,36,Common,https://images.pokemontcg.io/sv9/36_hires.png,https://images.pokemontcg.io/sv9/36.png,,,,,,,,,,,,,,,,,,,,,,,,,
036.jpg,sv9-37,Ludicolo,Pokémon,Water,Journey Together,37,Rare,https://images.pokemontcg.io/sv9/37_hires.png,https://images.pokemontcg.io/sv9/37.png,,,,,,,,,,,,,,,,,,,,,,,,,
