Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ex12-1,Aerodactyl,Pokémon,Colorless,Legend Maker,1,Rare Holo,https://images.pokemontcg.io/ex12/1_hires.png,https://images.pokemontcg.io/ex12/1.png,,,,,,8.99,11.79,19.99,12.83,,33.99,38.85,48.95,5.0,,,,,,,,,,,
001.jpg,ex12-2,Aggron,Pokémon,Metal,Legend Maker,2,Rare Holo,https://images.pokemontcg.io/ex12/2_hires.png,https://images.pokemontcg.io/ex12/2.png,,,,,,5.2,9.96,15.74,12.19,7.38,9.7,11.99,15.73,14.99,,,,,,,,,,,
002.jpg,ex12-3,Cradily,Pokémon,Grass,Legend Maker,3,Rare Holo,https://images.pokemontcg.io/ex12/3_hires.png,https://images.pokemontcg.io/ex12/3.png,,,,,,2.49,2.99,13.47,2.99,2.99,3.0,4.03,9.74,4.12,,,,,,,,,,,
003.jpg,ex12-4,Delcatty,Pokémon,Colorless,Legend Maker,4,Rare Holo,https://images.pokemontcg.io/ex12/4_hires.png,https://images.pokemontcg.io/ex12/4.png,,,,,,3.49,5.0,9.99,5.0,2.82,7.19,9.99,11.05,6.01,,,,,,,,,,,
004.jpg,ex12-5,Gengar,Pokémon,Psychic,Legend Maker,5,Rare Holo,https://images.pokemontcg.io/ex12/5_hires.png,https://images.pokemontcg.io/ex12/5.png,,,,,,8.41,15.5,47.59,14.21,6.16,29.99,49.97,60.0,49.99,,,,,,,,,,,
005.jpg,ex12-6,Golem,Pokémon,Fighting,Legend Maker,6,Rare Holo,https://images.pokemontcg.io/ex12/6_hires.png,https://images.pokemontcg.io/ex12/6.png,,,,,,1.32,3.0,5.99,3.3,,5.48,8.95,14.99,6.34,,,,,,,,,,,
006.jpg,ex12-7,Kabutops,Pokémon,Fighting,Legend Maker,7,Rare Holo,https://images.pokemontcg.io/ex12/7_hires.png,https://images.pokemontcg.io/ex12/7.png,,,,,,6.96,13.08,29.99,13.23,,15.0,18.5,29.97,22.54,,,,,,,,,,,
007.jpg,ex12-8,Lapras,Pokémon,Water,Legend Maker,8,Rare Holo,https://images.pokemontcg.io/ex12/8_hires.png,https://images.pokemontcg.io/ex12/8.png,,,,,,20.52,27.71,39.99,25.62,,25.15,31.0,99.99,29.99,29.99,,,,,,,,,,
008.jpg,ex12-9,Machamp,Pokémon,Fighting,Legend Maker,9,Rare Holo,https://images.pokemontcg.io/ex12/9_hires.png,https://images.pokemontcg.io/ex12/9.png,,,,,,4.0,9.13,999.99,6.29,999.99,3.69,5.0,12.75,10.24,8.99,,,,,,,,,,
009.jpg,ex12-10,Mew,Pokémon,Psychic,Legend Maker,10,Rare Holo,https://images.pokemontcg.io/ex12/10_hires.png,https://images.pokemontcg.io/ex12/10.png,,,,,,29.95,35.19,88.0,38.9,,44.0,65.5,89.15,79.97,,,,,,,,,,,
010.jpg,ex12-11,Muk,Pokémon,Grass,Legend Maker,11,Rare Holo,https://images.pokemontcg.io/ex12/11_hires.png,https://images.pokemontcg.io/ex12/11.png,,,,,,3.25,4.3,17.5,4.35,2.69,3.74,4.16,8.72,3.87,3.75,,,,,,,,,,
011.jpg,ex12-12,Shiftry,Pokémon,Darkness,Legend Maker,12,Rare Holo,https://images.pokemontcg.io/ex12/12_hires.png,https://images.pokemontcg.io/ex12/12.png,,,,,,4.77,5.44,6.51,5.99,,5.29,9.99,13.99,4.6,5.55,,,,,,,,,,
012.jpg,ex12-13,Victreebel,Pokémon,Grass,Legend Maker,13,Rare Holo,https://images.pokemontcg.io/ex12/13_hires.png,https://images.pokemontcg.io/ex12/13.png,,,,,,2.99,4.82,15.97,4.83,,1.88,6.0,6.5,4.82,1.88,,,,,,,,,,
013.jpg,ex12-14,Wailord,Pokémon,Water,Legend Maker,14,Rare Holo,https://images.pokemontcg.io/ex12/14_hires.png,https://images.pokemontcg.io/ex12/14.png,,,,,,2.86,6.74,15.49,8.19,9.15,7.48,9.47,26.39,9.25,,,,,,,,,,,
014.jpg,ex12-15,Absol,Pokémon,Darkness,Legend Maker,15,Rare,https://images.pokemontcg.io/ex12/15_hires.png,https://images.pokemontcg.io/ex12/15.png,0.79,2.09,4.45,1.14,3.95,,,,,,8.0,10.5,19.95,12.43,9.56,,,,,,,,,,
015.jpg,ex12-16,Girafarig,Pokémon,Psychic,Legend Maker,16,Rare,https://images.pokemontcg.io/ex12/16_hires.png,https://images.pokemontcg.io/ex12/16.png,1.1,1.49,4.99,1.48,1.47,,,,,,3.5,10.52,999.99,11.0,999.99,,,,,,,,,,
016.jpg,ex12-17,Gorebyss,Pokémon,Water,Legend Maker,17,Rare,https://images.pokemontcg.io/ex12/17_hires.png,https://images.pokemontcg.io/ex12/17.png,0.42,0.58,2.49,1.03,0.42,,,,,,2.98,3.87,10.99,7.16,3.74,,,,,,,,,,
017.jpg,ex12-18,Huntail,Pokémon,Water,Legend Maker,18,Rare,https://images.pokemontcg.io/ex12/18_hires.png,https://images.pokemontcg.io/ex12/18.png,0.47,0.69,2.49,0.76,,,,,,,1.99,3.0,19.0,3.02,,,,,,,,,,,
018.jpg,ex12-19,Lanturn,Pokémon,Lightning,Legend Maker,19,Rare,https://images.pokemontcg.io/ex12/19_hires.png,https://images.pokemontcg.io/ex12/19.png,0.37,0.68,2.49,0.65,,,,,,,1.47,3.35,4.49,4.86,2.95,,,,,,,,,,
019.jpg,ex12-20,Lunatone,Pokémon,Psychic,Legend Maker,20,Rare,https://images.pokemontcg.io/ex12/20_hires.png,https://images.pokemontcg.io/ex12/20.png,1.09,1.39,2.49,1.52,1.39,,,,,,4.0,6.51,28.97,4.5,4.0,,,,,,,,,,
020.jpg,ex12-21,Magmar,Pokémon,Fire,Legend Maker,21,Rare,https://images.pokemontcg.io/ex12/21_hires.png,https://images.pokemontcg.io/ex12/21.png,0.49,1.49,4.97,1.89,1.0,,,,,,10.19,16.38,25.0,20.99,,,,,,,,,,,
021.jpg,ex12-22,Magneton,Pokémon,Lightning,Legend Maker,22,Rare,https://images.pokemontcg.io/ex12/22_hires.png,https://images.pokemontcg.io/ex12/22.png,0.4,0.74,5.0,0.72,0.39,,,,,,4.13,5.86,10.04,4.61,,,,,,,,,,,
022.jpg,ex12-23,Omastar,Pokémon,Water,Legend Maker,23,Rare,https://images.pokemontcg.io/ex12/23_hires.png,https://images.pokemontcg.io/ex12/23.png,0.89,1.22,3.16,1.05,1.77,,,,,,13.24,14.94,36.69,14.33,13.24,,,,,,,,,,
023.jpg,ex12-24,Pinsir,Pokémon,Grass,Legend Maker,24,Rare,https://images.pokemontcg.io/ex12/24_hires.png,https://images.pokemontcg.io/ex12/24.png,0.37,0.53,2.49,0.63,0.38,,,,,,7.0,12.53,19.0,6.98,,,,,,,,,,,
024.jpg,ex12-25,Solrock,Pokémon,Fighting,Legend Maker,25,Rare,https://images.pokemontcg.io/ex12/25_hires.png,https://images.pokemontcg.io/ex12/25.png,0.75,1.33,4.99,1.07,2.49,,,,,,3.77,4.53,19.0,5.14,,,,,,,,,,,
025.jpg,ex12-26,Spinda,Pokémon,Colorless,Legend Maker,26,Rare,https://images.pokemontcg.io/ex12/26_hires.png,https://images.pokemontcg.io/ex12/26.png,0.2,0.67,2.49,0.75,,,,,,,2.97,3.88,32.39,5.46,3.81,,,,,,,,,,
026.jpg,ex12-27,Torkoal,Pokémon,Fire,Legend Maker,27,Rare,https://images.pokemontcg.io/ex12/27_hires.png,https://images.pokemontcg.io/ex12/27.png,0.44,0.75,3.13,0.75,0.75,,,,,,2.0,4.26,6.94,3.52,2.5,,,,,,,,,,
027.jpg,ex12-28,Wobbuffet,Pokémon,Psychic,Legend Maker,28,Rare,https://images.pokemontcg.io/ex12/28_hires.png,https://images.pokemontcg.io/ex12/28.png,0.48,0.89,3.13,0.79,,,,,,,2.05,6.35,25.0,6.57,,,,,,,,,,,
028.jpg,ex12-29,Anorith,Pokémon,Fighting,Legend Maker,29,Uncommon,https://images.pokemontcg.io/ex12/29_hires.png,https://images.pokemontcg.io/ex12/29.png,0.35,0.72,1.36,0.6,,,,,,,1.5,3.97,5.39,1.5,4.49,,,,,,,,,,
029.jpg,ex12-30,Cascoon,Pokémon,Grass,Legend Maker,30,Uncommon,https://images.pokemontcg.io/ex12/30_hires.png,https://images.pokemontcg.io/ex12/30.png,0.15,0.5,1.99,0.38,,,,,,,2.27,5.71,10.97,2.97,,,,,,,,,,,
030.jpg,ex12-31,Dunsparce,Pokémon,Colorless,Legend Maker,31,Uncommon,https://images.pokemontcg.io/ex12/31_hires.png,https://images.pokemontcg.io/ex12/31.png,0.4,0.89,16.49,0.8,0.58,,,,,,2.99,4.0,7.99,3.9,2.99,,,,,,,,,,
031.jpg,ex12-32,Electrode,Pokémon,Lightning,Legend Maker,32,Uncommon,https://images.pokemontcg.io/ex12/32_hires.png,https://images.pokemontcg.io/ex12/32.png,0.25,0.44,1.49,0.38,0.35,,,,,,5.34,6.72,9.94,7.85,5.45,,,,,,,,,,
032.jpg,ex12-33,Furret,Pokémon,Colorless,Legend Maker,33,Uncommon,https://images.pokemontcg.io/ex12/33_hires.png,https://images.pokemontcg.io/ex12/33.png,0.5,1.32,8.97,1.08,0.79,,,,,,5.99,6.53,7.75,2.55,5.99,,,,,,,,,,
033.jpg,ex12-34,Graveler,Pokémon,Fighting,Legend Maker,34,Uncommon,https://images.pokemontcg.io/ex12/34_hires.png,https://images.pokemontcg.io/ex12/34.png,0.25,0.55,2.97,0.5,0.49,,,,,,3.75,4.31,5.99,4.5,4.12,,,,,,,,,,
034.jpg,ex12-35,Haunter,Pokémon,Psychic,Legend Maker,35,Uncommon,https://images.pokemontcg.io/ex12/35_hires.png,https://images.pokemontcg.io/ex12/35.png,0.49,1.7,7.67,1.91,,,,,,,15.0,18.99,27.96,14.48,,,,,,,,,,,
035.jpg,ex12-36,Kabuto,Pokémon,Fighting,Legend Maker,36,Uncommon,https://images.pokemontcg.io/ex12/36_hires.png,https://images.pokemontcg.io/ex12/36.png,0.33,0.64,1.59,0.73,,,,,,,3.51,3.89,6.15,3.9,,,,,,,,,,,
036.jpg,ex12-37,Kecleon,Pokémon,Colorless,Legend Maker,37,Uncommon,https://images.pokemontcg.io/ex12/37_hires.png,https://images.pokemontcg.io/ex12/37.png,0.5,0.89,1.49,0.69,,,,,,,3.42,4.5,16.5,5.0,,,,,,,,,,,
037.jpg,ex12-38,Lairon,Pokémon,Metal,Legend Maker,38,Uncommon,https://images.pokemontcg.io/ex12/38_hires.png,https://images.pokemontcg.io/ex12/38.png,0.4,0.68,1.49,0.66,0.41,,,,,,3.52,5.85,6.68,6.68,3.52,,,,,,,,,,
038.jpg,ex12-39,Machoke,Pokémon,Fighting,Legend Maker,39,Uncommon,https://images.pokemontcg.io/ex12/39_hires.png,https://images.pokemontcg.io/ex12/39.png,0.47,0.57,1.99,0.59,0.47,,,,,,3.95,6.0,13.5,8.49,,,,,,,,,,,
039.jpg,ex12-40,Misdreavus,Pokémon,Psychic,Legend Maker,40,Uncommon,https://images.pokemontcg.io/ex12/40_hires.png,https://images.pokemontcg.io/ex12/40.png,0.34,0.48,1.99,0.45,0.45,,,,,,1.94,5.4,12.94,5.48,5.48,,,,,,,,,,
040.jpg,ex12-41,Nuzleaf,Pokémon,Darkness,Legend Maker,41,Uncommon,https://images.pokemontcg.io/ex12/41_hires.png,https://images.pokemontcg.io/ex12/41.png,0.27,0.38,1.49,0.43,,,,,,,2.99,3.95,9.99,7.65,,,,,,,,,,,
