Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,bw11-1,Tangela,Pokémon,Grass,Legendary Treasures,1,Common,https://images.pokemontcg.io/bw11/1_hires.png,https://images.pokemontcg.io/bw11/1.png,0.05,0.25,1.0,0.18,0.05,,,,,,0.25,0.52,1.79,0.53,0.25,,,,,,,,,,
001.jpg,bw11-2,Tangrowth,Pokémon,Grass,Legendary Treasures,2,Rare,https://images.pokemontcg.io/bw11/2_hires.png,https://images.pokemontcg.io/bw11/2.png,0.15,0.38,1.49,0.35,0.15,,,,,,0.33,0.53,1.99,0.84,,,,,,,,,,,
002.jpg,bw11-3,Shuckle,Pokémon,Grass,Legendary Treasures,3,Uncommon,https://images.pokemontcg.io/bw11/3_hires.png,https://images.pokemontcg.io/bw11/3.png,0.19,0.5,2.95,0.69,0.75,,,,,,8.97,20.35,21.37,8.97,8.97,,,,,,,,,,
003.jpg,bw11-4,Cherubi,Pokémon,Grass,Legendary Treasures,4,Uncommon,https://images.pokemontcg.io/bw11/4_hires.png,https://images.pokemontcg.io/bw11/4.png,0.22,0.37,1.02,0.37,0.25,,,,,,0.25,0.84,1.41,1.15,0.6,,,,,,,,,,
004.jpg,bw11-5,Carnivine,Pokémon,Grass,Legendary Treasures,5,Uncommon,https://images.pokemontcg.io/bw11/5_hires.png,https://images.pokemontcg.io/bw11/5.png,0.1,0.25,1.0,0.24,0.24,,,,,,0.35,0.5,5.04,1.0,0.35,,,,,,,,,,
005.jpg,bw11-6,Snivy,Pokémon,Grass,Legendary Treasures,6,Common,https://images.pokemontcg.io/bw11/6_hires.png,https://images.pokemontcg.io/bw11/6.png,0.05,0.25,1.0,0.2,0.12,,,,,,0.32,0.49,1.0,0.74,0.32,,,,,,,,,,
006.jpg,bw11-7,Servine,Pokémon,Grass,Legendary Treasures,7,Uncommon,https://images.pokemontcg.io/bw11/7_hires.png,https://images.pokemontcg.io/bw11/7.png,0.2,0.46,1.0,0.39,,,,,,,1.76,5.71,7.0,5.88,5.88,,,,,,,,,,
007.jpg,bw11-8,Serperior,Pokémon,Grass,Legendary Treasures,8,Rare Holo,https://images.pokemontcg.io/bw11/8_hires.png,https://images.pokemontcg.io/bw11/8.png,,,,,,0.75,1.01,7.82,1.6,0.91,0.74,1.5,5.95,1.9,0.6,,,,,,,,,,
008.jpg,bw11-9,Sewaddle,Pokémon,Grass,Legendary Treasures,9,Common,https://images.pokemontcg.io/bw11/9_hires.png,https://images.pokemontcg.io/bw11/9.png,0.05,0.24,0.99,0.17,0.11,,,,,,0.49,1.0,7.05,0.86,,,,,,,,,,,
009.jpg,bw11-10,Sewaddle,Pokémon,Grass,Legendary Treasures,10,Common,https://images.pokemontcg.io/bw11/10_hires.png,https://images.pokemontcg.io/bw11/10.png,0.05,0.25,1.0,0.17,0.11,,,,,,0.52,0.82,1.29,0.34,0.52,,,,,,,,,,
010.jpg,bw11-11,Swadloon,Pokémon,Grass,Legendary Treasures,11,Uncommon,https://images.pokemontcg.io/bw11/11_hires.png,https://images.pokemontcg.io/bw11/11.png,0.19,0.38,1.02,0.3,,,,,,,2.2,3.74,5.65,4.0,,,,,,,,,,,
011.jpg,bw11-12,Leavanny,Pokémon,Grass,Legendary Treasures,12,Rare Holo,https://images.pokemontcg.io/bw11/12_hires.png,https://images.pokemontcg.io/bw11/12.png,,,,,,0.28,0.72,4.11,0.71,0.73,0.84,1.25,7.72,1.07,1.24,,,,,,,,,,
012.jpg,bw11-13,Dwebble,Pokémon,Grass,Legendary Treasures,13,Common,https://images.pokemontcg.io/bw11/13_hires.png,https://images.pokemontcg.io/bw11/13.png,0.15,0.25,4.2,0.22,0.2,,,,,,0.25,0.5,1.01,0.45,0.32,,,,,,,,,,
013.jpg,bw11-14,Crustle,Pokémon,Grass,Legendary Treasures,14,Uncommon,https://images.pokemontcg.io/bw11/14_hires.png,https://images.pokemontcg.io/bw11/14.png,0.25,0.49,1.0,0.33,,,,,,,2.0,3.72,12.39,2.73,,,,,,,,,,,
014.jpg,bw11-15,Virizion,Pokémon,Grass,Legendary Treasures,15,Rare Holo,https://images.pokemontcg.io/bw11/15_hires.png,https://images.pokemontcg.io/bw11/15.png,,,,,,0.58,0.84,1.95,0.94,0.69,0.5,0.88,2.25,0.98,0.88,,,,,,,,,,
015.jpg,bw11-16,Genesect,Pokémon,Grass,Legendary Treasures,16,Rare Holo,https://images.pokemontcg.io/bw11/16_hires.png,https://images.pokemontcg.io/bw11/16.png,,,,,,0.65,1.4,999.99,1.49,1.53,0.97,2.45,6.99,1.0,,,,,,,,,,,
016.jpg,bw11-17,Charmander,Pokémon,Fire,Legendary Treasures,17,Common,https://images.pokemontcg.io/bw11/17_hires.png,https://images.pokemontcg.io/bw11/17.png,0.5,1.15,7.64,0.58,0.5,,,,,,8.0,10.22,19.04,18.65,10.44,,,,,,,,,,
017.jpg,bw11-18,Charmeleon,Pokémon,Fire,Legendary Treasures,18,Uncommon,https://images.pokemontcg.io/bw11/18_hires.png,https://images.pokemontcg.io/bw11/18.png,0.5,1.0,3.99,1.12,3.75,,,,,,12.0,14.42,16.84,12.31,,,,,,,,,,,
018.jpg,bw11-19,Charizard,Pokémon,Fire,Legendary Treasures,19,Rare Holo,https://images.pokemontcg.io/bw11/19_hires.png,https://images.pokemontcg.io/bw11/19.png,,,,,,16.3,41.17,139.99,44.72,17.98,39.67,55.99,70.0,59.78,39.67,,,,,,,,,,
019.jpg,bw11-20,Vulpix,Pokémon,Fire,Legendary Treasures,20,Common,https://images.pokemontcg.io/bw11/20_hires.png,https://images.pokemontcg.io/bw11/20.png,0.1,0.25,0.55,0.3,0.15,,,,,,0.54,3.75,4.04,2.74,2.25,,,,,,,,,,
020.jpg,bw11-21,Ninetales,Pokémon,Fire,Legendary Treasures,21,Rare,https://images.pokemontcg.io/bw11/21_hires.png,https://images.pokemontcg.io/bw11/21.png,0.2,0.87,999.99,0.9,0.4,,,,,,8.61,15.98,22.4,18.61,11.73,,,,,,,,,,
