Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,dp6-1,Deoxys Normal Forme,Pokémon,Psychic,Legends Awakened,1,Rare Holo,https://images.pokemontcg.io/dp6/1_hires.png,https://images.pokemontcg.io/dp6/1.png,,,,,,5.38,7.01,9.09,8.82,5.55,10.76,11.93,11.94,11.94,,,,,,,,,,,
001.jpg,dp6-2,Dragonite,Pokémon,Colorless,Legends Awakened,2,Rare Holo,https://images.pokemontcg.io/dp6/2_hires.png,https://images.pokemontcg.io/dp6/2.png,,,,,,13.0,18.91,37.5,28.83,,14.99,20.49,32.96,23.64,,,,,,,,,,,
002.jpg,dp6-3,Froslass,Pokémon,Water,Legends Awakened,3,Rare Holo,https://images.pokemontcg.io/dp6/3_hires.png,https://images.pokemontcg.io/dp6/3.png,,,,,,5.0,7.19,7.98,8.49,,7.49,9.99,14.97,9.99,5.5,,,,,,,,,,
003.jpg,dp6-4,Giratina,Pokémon,Psychic,Legends Awakened,4,Rare Holo,https://images.pokemontcg.io/dp6/4_hires.png,https://images.pokemontcg.io/dp6/4.png,,,,,,11.24,15.99,22.0,15.93,7.5,2.99,4.74,5.99,2.92,,,,,,,,,,,
004.jpg,dp6-5,Gliscor,Pokémon,Fighting,Legends Awakened,5,Rare Holo,https://images.pokemontcg.io/dp6/5_hires.png,https://images.pokemontcg.io/dp6/5.png,,,,,,2.63,3.53,9.99,4.49,2.63,2.99,3.57,9.97,3.57,8.97,,,,,,,,,,
005.jpg,dp6-6,Heatran,Pokémon,Fire,Legends Awakened,6,Rare Holo,https://images.pokemontcg.io/dp6/6_hires.png,https://images.pokemontcg.io/dp6/6.png,,,,,,3.39,19.0,29.99,4.54,,2.75,6.0,39.98,1.1,5.24,,,,,,,,,,
006.jpg,dp6-7,Kingdra,Pokémon,Water,Legends Awakened,7,Rare Holo,https://images.pokemontcg.io/dp6/7_hires.png,https://images.pokemontcg.io/dp6/7.png,,,,,,6.65,13.62,17.97,13.75,,6.5,17.97,19.97,8.28,,,,,,,,,,,
007.jpg,dp6-8,Luxray,Pokémon,Lightning,Legends Awakened,8,Rare Holo,https://images.pokemontcg.io/dp6/8_hires.png,https://images.pokemontcg.io/dp6/8.png,,,,,,4.6,6.24,6.47,7.45,,5.0,6.3,7.15,4.8,5.24,,,,,,,,,,
008.jpg,dp6-9,Mamoswine,Pokémon,Water,Legends Awakened,9,Rare Holo,https://images.pokemontcg.io/dp6/9_hires.png,https://images.pokemontcg.io/dp6/9.png,,,,,,4.28,8.34,29.99,11.2,4.28,2.99,3.96,5.0,4.79,,,,,,,,,,,
009.jpg,dp6-10,Metagross,Pokémon,Metal,Legends Awakened,10,Rare Holo,https://images.pokemontcg.io/dp6/10_hires.png,https://images.pokemontcg.io/dp6/10.png,,,,,,6.99,7.97,19.97,7.82,,1.95,3.43,5.25,5.0,3.3,,,,,,,,,,
