Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh11-1,Oddish,Pokémon,Grass,Lost Origin,1,Common,https://images.pokemontcg.io/swsh11/1_hires.png,https://images.pokemontcg.io/swsh11/1.png,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,swsh11-2,Gloom,Pokémon,Grass,Lost Origin,2,Uncommon,https://images.pokemontcg.io/swsh11/2_hires.png,https://images.pokemontcg.io/swsh11/2.png,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,swsh11-3,Vileplume,Pokémon,Grass,Lost Origin,3,Rare Holo,https://images.pokemontcg.io/swsh11/3_hires.png,https://images.pokemontcg.io/swsh11/3.png,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,swsh11-4,Paras,Pokémon,Grass,Lost Origin,4,Common,https://images.pokemontcg.io/swsh11/4_hires.png,https://images.pokemontcg.io/swsh11/4.png,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,swsh11-5,Parasect,Pokémon,Grass,Lost Origin,5,Rare,https://images.pokemontcg.io/swsh11/5_hires.png,https://images.pokemontcg.io/swsh11/5.png,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,swsh11-6,Wurmple,Pokémon,Grass,Lost Origin,6,Common,https://images.pokemontcg.io/swsh11/6_hires.png,https://images.pokemontcg.io/swsh11/6.png,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,swsh11-7,Silcoon,Pokémon,Grass,Lost Origin,7,Uncommon,https://images.pokemontcg.io/swsh11/7_hires.png,https://images.pokemontcg.io/swsh11/7.png,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,swsh11-8,Beautifly,Pokémon,Grass,Lost Origin,8,Rare Holo,https://images.pokemontcg.io/swsh11/8_hires.png,https://images.pokemontcg.io/swsh11/8.png,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,swsh11-9,Cascoon,Pokémon,Grass,Lost Origin,9,Uncommon,https://images.pokemontcg.io/swsh11/9_hires.png,https://images.pokemontcg.io/swsh11/9.png,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,swsh11-10,Dustox,Pokémon,Grass,Lost Origin,10,Rare,https://images.pokemontcg.io/swsh11/10_hires.png,https://images.pokemontcg.io/swsh11/10.png,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,swsh11-11,Seedot,Pokémon,Grass,Lost Origin,11,Common,https://images.pokemontcg.io/swsh11/11_hires.png,https://images.pokemontcg.io/swsh11/11.png,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,swsh11-12,Nuzleaf,Pokémon,Grass,Lost Origin,12,Uncommon,https://images.pokemontcg.io/swsh11/12_hires.png,https://images.pokemontcg.io/swsh11/12.png,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,swsh11-13,Shiftry,Pokémon,Grass,Lost Origin,13,Rare Holo,https://images.pokemontcg.io/swsh11/13_hires.png,https://images.pokemontcg.io/swsh11/13.png,,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,swsh11-14,Roselia,Pokémon,Grass,Lost Origin,14,Common,https://images.pokemontcg.io/swsh11/14_hires.png,https://images.pokemontcg.io/swsh11/14.png,,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,swsh11-15,Roserade,Pokémon,Grass,Lost Origin,15,Uncommon,https://images.pokemontcg.io/swsh11/15_hires.png,https://images.pokemontcg.io/swsh11/15.png,,,,,,,,,,,,,,,,,,,,,,,,,
015.jpg,swsh11-16,Phantump,Pokémon,Grass,Lost Origin,16,Common,https://images.pokemontcg.io/swsh11/16_hires.png,https://images.pokemontcg.io/swsh11/16.png,,,,,,,,,,,,,,,,,,,,,,,,,
016.jpg,swsh11-17,Trevenant,Pokémon,Grass,Lost Origin,17,Rare Holo,https://images.pokemontcg.io/swsh11/17_hires.png,https://images.pokemontcg.io/swsh11/17.png,,,,,,,,,,,,,,,,,,,,,,,,,
017.jpg,swsh11-18,Blipbug,Pokémon,Grass,Lost Origin,18,Common,https://images.pokemontcg.io/swsh11/18_hires.png,https://images.pokemontcg.io/swsh11/18.png,,,,,,,,,,,,,,,,,,,,,,,,,
018.jpg,swsh11-19,Dottler,Pokémon,Grass,Lost Origin,19,Uncommon,https://images.pokemontcg.io/swsh11/19_hires.png,https://images.pokemontcg.io/swsh11/19.png,,,,,,,,,,,,,,,,,,,,,,,,,
019.jpg,swsh11-20,Orbeetle,Pokémon,Grass,Lost Origin,20,Rare Holo,https://images.pokemontcg.io/swsh11/20_hires.png,https://images.pokemontcg.io/swsh11/20.png,,,,,,,,,,,,,,,,,,,,,,,,,
