Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sm8-1,Tangela,Pokémon,Grass,Lost Thunder,1,Common,https://images.pokemontcg.io/sm8/1_hires.png,https://images.pokemontcg.io/sm8/1.png,0.05,0.21,1.08,0.14,0.08,,,,,,0.12,0.36,3.0,0.24,0.24,,,,,,,,,,
001.jpg,sm8-2,Tangrowth,Pokémon,Grass,Lost Thunder,2,Rare,https://images.pokemontcg.io/sm8/2_hires.png,https://images.pokemontcg.io/sm8/2.png,0.1,0.3,1.13,0.22,,,,,,,0.25,0.5,1.27,0.33,0.3,,,,,,,,,,
002.jpg,sm8-3,Scyther,Pokémon,Grass,Lost Thunder,3,Common,https://images.pokemontcg.io/sm8/3_hires.png,https://images.pokemontcg.io/sm8/3.png,0.05,0.25,1.0,0.16,0.12,,,,,,0.18,0.44,1.5,0.4,0.37,,,,,,,,,,
003.jpg,sm8-4,Pinsir,Pokémon,Grass,Lost Thunder,4,Uncommon,https://images.pokemontcg.io/sm8/4_hires.png,https://images.pokemontcg.io/sm8/4.png,0.05,0.22,0.91,0.16,0.06,,,,,,0.1,0.35,1.95,0.2,0.25,,,,,,,,,,
004.jpg,sm8-5,Chikorita,Pokémon,Grass,Lost Thunder,5,Common,https://images.pokemontcg.io/sm8/5_hires.png,https://images.pokemontcg.io/sm8/5.png,0.04,0.25,1.0,0.18,0.14,,,,,,0.16,0.39,1.5,0.26,,,,,,,,,,,
005.jpg,sm8-6,Chikorita,Pokémon,Grass,Lost Thunder,6,Common,https://images.pokemontcg.io/sm8/6_hires.png,https://images.pokemontcg.io/sm8/6.png,0.09,0.25,1.02,0.16,0.16,,,,,,0.1,0.35,1.5,0.31,0.19,,,,,,,,,,
006.jpg,sm8-7,Bayleef,Pokémon,Grass,Lost Thunder,7,Uncommon,https://images.pokemontcg.io/sm8/7_hires.png,https://images.pokemontcg.io/sm8/7.png,0.1,0.25,1.01,0.21,0.25,,,,,,0.24,0.5,1.95,0.32,,,,,,,,,,,
007.jpg,sm8-8,Meganium,Pokémon,Grass,Lost Thunder,8,Rare Holo,https://images.pokemontcg.io/sm8/8_hires.png,https://images.pokemontcg.io/sm8/8.png,,,,,,0.99,2.0,9.5,2.05,,1.29,2.36,5.89,2.21,3.5,,,,,,,,,,
008.jpg,sm8-9,Spinarak,Pokémon,Grass,Lost Thunder,9,Common,https://images.pokemontcg.io/sm8/9_hires.png,https://images.pokemontcg.io/sm8/9.png,0.08,0.21,0.95,0.12,0.1,,,,,,0.16,0.35,1.5,0.23,0.25,,,,,,,,,,
009.jpg,sm8-10,Ariados,Pokémon,Grass,Lost Thunder,10,Uncommon,https://images.pokemontcg.io/sm8/10_hires.png,https://images.pokemontcg.io/sm8/10.png,0.04,0.25,1.0,0.07,0.07,,,,,,0.07,0.36,1.95,0.3,0.33,,,,,,,,,,
