Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,mcd18-1,Growlithe,Pokémon,Fire,McDonald's Collection 2018,1,Promo,https://images.pokemontcg.io/mcd18/1_hires.png,https://images.pokemontcg.io/mcd18/1.png,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,mcd18-6,Machop,Pokémon,Fighting,McDonald's Collection 2018,6,Promo,https://images.pokemontcg.io/mcd18/6_hires.png,https://images.pokemontcg.io/mcd18/6.png,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,mcd18-2,Psyduck,Pokémon,Water,McDonald's Collection 2018,2,Promo,https://images.pokemontcg.io/mcd18/2_hires.png,https://images.pokemontcg.io/mcd18/2.png,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,mcd18-9,Dratini,Pokémon,Dragon,McDonald's Collection 2018,9,Promo,https://images.pokemontcg.io/mcd18/9_hires.png,https://images.pokemontcg.io/mcd18/9.png,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,mcd18-10,Chansey,Pokémon,Colorless,McDonald's Collection 2018,10,Promo,https://images.pokemontcg.io/mcd18/10_hires.png,https://images.pokemontcg.io/mcd18/10.png,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,mcd18-12,Porygon,Pokémon,Colorless,McDonald's Collection 2018,12,Promo,https://images.pokemontcg.io/mcd18/12_hires.png,https://images.pokemontcg.io/mcd18/12.png,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,mcd18-3,Horsea,Pokémon,Water,McDonald's Collection 2018,3,Promo,https://images.pokemontcg.io/mcd18/3_hires.png,https://images.pokemontcg.io/mcd18/3.png,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,mcd18-4,Pikachu,Pokémon,Lightning,McDonald's Collection 2018,4,Promo,https://images.pokemontcg.io/mcd18/4_hires.png,https://images.pokemontcg.io/mcd18/4.png,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,mcd18-7,Cubone,Pokémon,Fighting,McDonald's Collection 2018,7,Promo,https://images.pokemontcg.io/mcd18/7_hires.png,https://images.pokemontcg.io/mcd18/7.png,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,mcd18-11,Eevee,Pokémon,Colorless,McDonald's Collection 2018,11,Promo,https://images.pokemontcg.io/mcd18/11_hires.png,https://images.pokemontcg.io/mcd18/11.png,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,mcd18-5,Slowpoke,Pokémon,Psychic,McDonald's Collection 2018,5,Promo,https://images.pokemontcg.io/mcd18/5_hires.png,https://images.pokemontcg.io/mcd18/5.png,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,mcd18-8,Magnemite,Pokémon,Metal,McDonald's Collection 2018,8,Promo,https://images.pokemontcg.io/mcd18/8_hires.png,https://images.pokemontcg.io/mcd18/8.png,,,,,,,,,,,,,,,,,,,,,,,,,
