Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,me1-1,Bulbasaur,Pokémon,Grass,Mega Evolution,1,Common,https://images.pokemontcg.io/me1/1_hires.png,https://images.pokemontcg.io/me1/1.png,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,me1-2,Ivysaur,Pokémon,Grass,Mega Evolution,2,Common,https://images.pokemontcg.io/me1/2_hires.png,https://images.pokemontcg.io/me1/2.png,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,me1-3,Mega Venusaur ex,Pokémon,Grass,Mega Evolution,3,Double Rare,https://images.pokemontcg.io/me1/3_hires.png,https://images.pokemontcg.io/me1/3.png,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,me1-4,Exeggcute,Pokémon,Grass,Mega Evolution,4,Common,https://images.pokemontcg.io/me1/4_hires.png,https://images.pokemontcg.io/me1/4.png,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,me1-5,Exeggutor,Pokémon,Grass,Mega Evolution,5,Uncommon,https://images.pokemontcg.io/me1/5_hires.png,https://images.pokemontcg.io/me1/5.png,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,me1-6,Tangela,Pokémon,Grass,Mega Evolution,6,Common,https://images.pokemontcg.io/me1/6_hires.png,https://images.pokemontcg.io/me1/6.png,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,me1-7,Tangrowth,Pokémon,Grass,Mega Evolution,7,Uncommon,https://images.pokemontcg.io/me1/7_hires.png,https://images.pokemontcg.io/me1/7.png,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,me1-8,Chikorita,Pokémon,Grass,Mega Evolution,8,Common,https://images.pokemontcg.io/me1/8_hires.png,https://images.pokemontcg.io/me1/8.png,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,me1-9,Bayleef,Pokémon,Grass,Mega Evolution,9,Common,https://images.pokemontcg.io/me1/9_hires.png,https://images.pokemontcg.io/me1/9.png,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,me1-10,Meganium,Pokémon,Grass,Mega Evolution,10,Rare,https://images.pokemontcg.io/me1/10_hires.png,https://images.pokemontcg.io/me1/10.png,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,me1-11,Shuckle,Pokémon,Grass,Mega Evolution,11,Uncommon,https://images.pokemontcg.io/me1/11_hires.png,https://images.pokemontcg.io/me1/11.png,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,me1-12,Celebi,Pokémon,Grass,Mega Evolution,12,Uncommon,https://images.pokemontcg.io/me1/12_hires.png,https://images.pokemontcg.io/me1/12.png,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,me1-13,Seedot,Pokémon,Grass,Mega Evolution,13,Common,https://images.pokemontcg.io/me1/13_hires.png,https://images.pokemontcg.io/me1/13.png,,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,me1-14,Nuzleaf,Pokémon,Grass,Mega Evolution,14,Common,https://images.pokemontcg.io/me1/14_hires.png,https://images.pokemontcg.io/me1/14.png,,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,me1-15,Shiftry,Pokémon,Grass,Mega Evolution,15,Uncommon,https://images.pokemontcg.io/me1/15_hires.png,https://images.pokemontcg.io/me1/15.png,,,,,,,,,,,,,,,,,,,,,,,,,
