Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,neo3-1,Ampharos,Pokémon,Lightning,Neo Revelation,1,Rare Holo,https://images.pokemontcg.io/neo3/1_hires.png,https://images.pokemontcg.io/neo3/1.png,,,,,,19.0,28.47,71.44,33.16,17.5,,,,,,79.25,80.0,179.55,117.12,,,,,,
001.jpg,neo3-2,Blissey,Pokémon,Colorless,Neo Revelation,2,Rare Holo,https://images.pokemontcg.io/neo3/2_hires.png,https://images.pokemontcg.io/neo3/2.png,,,,,,16.03,25.63,63.56,26.85,,,,,,,63.95,70.0,222.53,53.66,,,,,,
002.jpg,neo3-3,Celebi,Pokémon,Psychic,Neo Revelation,3,Rare Holo,https://images.pokemontcg.io/neo3/3_hires.png,https://images.pokemontcg.io/neo3/3.png,,,,,,35.0,50.0,120.0,60.8,,,,,,,149.99,158.07,356.15,138.33,,,,,,
003.jpg,neo3-4,Crobat,Pokémon,Grass,Neo Revelation,4,Rare Holo,https://images.pokemontcg.io/neo3/4_hires.png,https://images.pokemontcg.io/neo3/4.png,,,,,,18.0,26.48,40.49,35.93,,,,,,,52.78,79.99,149.99,88.69,,,,,,
004.jpg,neo3-5,Delibird,Pokémon,Colorless,Neo Revelation,5,Rare Holo,https://images.pokemontcg.io/neo3/5_hires.png,https://images.pokemontcg.io/neo3/5.png,,,,,,16.49,21.52,55.0,25.6,,,,,,,50.0,99.16,151.02,29.95,,,,,,
005.jpg,neo3-6,Entei,Pokémon,Fire,Neo Revelation,6,Rare Holo,https://images.pokemontcg.io/neo3/6_hires.png,https://images.pokemontcg.io/neo3/6.png,,,,,,60.0,102.23,205.75,143.24,,,,,,,299.99,425.0,600.0,279.97,,,,,,
006.jpg,neo3-7,Ho-oh,Pokémon,Fire,Neo Revelation,7,Rare Holo,https://images.pokemontcg.io/neo3/7_hires.png,https://images.pokemontcg.io/neo3/7.png,,,,,,100.0,147.75,550.0,152.8,120.98,,,,,,399.99,561.64,723.28,100.0,,,,,,
007.jpg,neo3-8,Houndoom,Pokémon,Darkness,Neo Revelation,8,Rare Holo,https://images.pokemontcg.io/neo3/8_hires.png,https://images.pokemontcg.io/neo3/8.png,,,,,,50.2,67.97,99.99,72.88,50.21,,,,,,169.0,199.99,309.75,293.52,,,,,,
008.jpg,neo3-9,Jumpluff,Pokémon,Grass,Neo Revelation,9,Rare Holo,https://images.pokemontcg.io/neo3/9_hires.png,https://images.pokemontcg.io/neo3/9.png,,,,,,12.2,17.69,46.71,18.92,,,,,,,50.0,64.03,90.0,64.04,,,,,,
009.jpg,neo3-10,Magneton,Pokémon,Metal,Neo Revelation,10,Rare Holo,https://images.pokemontcg.io/neo3/10_hires.png,https://images.pokemontcg.io/neo3/10.png,,,,,,7.99,22.21,69.99,19.57,8.98,,,,,,40.58,61.99,179.99,40.51,,,,,,
010.jpg,neo3-11,Misdreavus,Pokémon,Psychic,Neo Revelation,11,Rare Holo,https://images.pokemontcg.io/neo3/11_hires.png,https://images.pokemontcg.io/neo3/11.png,,,,,,21.99,30.07,49.99,29.5,,,,,,,60.0,67.47,158.13,97.01,,,,,,
011.jpg,neo3-12,Porygon2,Pokémon,Colorless,Neo Revelation,12,Rare Holo,https://images.pokemontcg.io/neo3/12_hires.png,https://images.pokemontcg.io/neo3/12.png,,,,,,17.81,26.99,63.89,25.85,,,,,,,51.38,64.62,184.83,85.0,,,,,,
012.jpg,neo3-13,Raikou,Pokémon,Lightning,Neo Revelation,13,Rare Holo,https://images.pokemontcg.io/neo3/13_hires.png,https://images.pokemontcg.io/neo3/13.png,,,,,,52.99,79.99,112.49,85.98,,,,,,,180.0,189.99,472.96,199.99,,,,,,
013.jpg,neo3-14,Suicune,Pokémon,Water,Neo Revelation,14,Rare Holo,https://images.pokemontcg.io/neo3/14_hires.png,https://images.pokemontcg.io/neo3/14.png,,,,,,70.79,86.29,320.0,140.66,,,,,,,279.99,364.99,599.99,480.0,,,,,,
014.jpg,neo3-15,Aerodactyl,Pokémon,Fighting,Neo Revelation,15,Rare,https://images.pokemontcg.io/neo3/15_hires.png,https://images.pokemontcg.io/neo3/15.png,2.48,3.99,9.99,5.17,9.99,,,,,,,,,,,,,,,,11.0,16.45,22.95,17.53,12.83
015.jpg,neo3-16,Celebi,Pokémon,Grass,Neo Revelation,16,Rare,https://images.pokemontcg.io/neo3/16_hires.png,https://images.pokemontcg.io/neo3/16.png,4.01,9.37,15.73,10.36,3.99,,,,,,,,,,,,,,,,18.79,27.99,42.95,33.69,18.79
016.jpg,neo3-17,Entei,Pokémon,Fire,Neo Revelation,17,Rare,https://images.pokemontcg.io/neo3/17_hires.png,https://images.pokemontcg.io/neo3/17.png,6.75,8.94,30.0,9.95,10.9,,,,,,,,,,,,,,,,24.98,34.12,55.78,37.42,24.98
017.jpg,neo3-18,Ho-oh,Pokémon,Colorless,Neo Revelation,18,Rare,https://images.pokemontcg.io/neo3/18_hires.png,https://images.pokemontcg.io/neo3/18.png,8.0,10.87,19.5,12.09,15.0,,,,,,,,,,,,,,,,44.99,48.5,69.99,40.32,
018.jpg,neo3-19,Kingdra,Pokémon,Water,Neo Revelation,19,Rare,https://images.pokemontcg.io/neo3/19_hires.png,https://images.pokemontcg.io/neo3/19.png,4.61,7.77,14.99,7.77,,,,,,,,,,,,,,,,,11.95,14.75,24.99,18.54,
