Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,bw4-1,Pinsir,Pokémon,Grass,Next Destinies,1,Rare,https://images.pokemontcg.io/bw4/1_hires.png,https://images.pokemontcg.io/bw4/1.png,0.13,0.41,1.49,0.3,0.25,,,,,,0.4,0.56,1.99,0.56,0.53,,,,,,,,,,
001.jpg,bw4-2,Seedot,Pokémon,Grass,Next Destinies,2,Common,https://images.pokemontcg.io/bw4/2_hires.png,https://images.pokemontcg.io/bw4/2.png,0.09,0.25,1.0,0.15,0.13,,,,,,0.15,0.44,1.48,0.2,0.2,,,,,,,,,,
002.jpg,bw4-3,Kricketot,Pokémon,Grass,Next Destinies,3,Common,https://images.pokemontcg.io/bw4/3_hires.png,https://images.pokemontcg.io/bw4/3.png,0.09,0.25,1.0,0.15,0.1,,,,,,0.25,0.43,1.0,0.33,0.27,,,,,,,,,,
003.jpg,bw4-4,Kricketune,Pokémon,Grass,Next Destinies,4,Uncommon,https://images.pokemontcg.io/bw4/4_hires.png,https://images.pokemontcg.io/bw4/4.png,0.05,0.25,1.0,0.24,0.2,,,,,,0.15,0.38,1.25,0.29,0.25,,,,,,,,,,
004.jpg,bw4-5,Shaymin-EX,Pokémon,Grass,Next Destinies,5,Rare Holo EX,https://images.pokemontcg.io/bw4/5_hires.png,https://images.pokemontcg.io/bw4/5.png,,,,,,3.58,4.49,10.0,5.95,3.0,,,,,,,,,,,,,,,
005.jpg,bw4-6,Pansage,Pokémon,Grass,Next Destinies,6,Common,https://images.pokemontcg.io/bw4/6_hires.png,https://images.pokemontcg.io/bw4/6.png,0.1,0.25,1.0,0.18,0.1,,,,,,0.25,0.39,0.79,0.25,0.25,,,,,,,,,,
006.jpg,bw4-7,Simisage,Pokémon,Grass,Next Destinies,7,Rare,https://images.pokemontcg.io/bw4/7_hires.png,https://images.pokemontcg.io/bw4/7.png,0.21,0.5,1.49,0.21,0.3,,,,,,0.27,0.5,1.99,0.29,0.33,,,,,,,,,,
007.jpg,bw4-8,Foongus,Pokémon,Grass,Next Destinies,8,Common,https://images.pokemontcg.io/bw4/8_hires.png,https://images.pokemontcg.io/bw4/8.png,0.05,0.25,1.0,0.19,0.12,,,,,,0.1,0.5,2.99,0.47,0.42,,,,,,,,,,
008.jpg,bw4-9,Amoonguss,Pokémon,Grass,Next Destinies,9,Rare,https://images.pokemontcg.io/bw4/9_hires.png,https://images.pokemontcg.io/bw4/9.png,0.2,0.47,1.17,0.32,0.38,,,,,,0.2,0.56,2.99,0.29,0.34,,,,,,,,,,
009.jpg,bw4-10,Growlithe,Pokémon,Fire,Next Destinies,10,Common,https://images.pokemontcg.io/bw4/10_hires.png,https://images.pokemontcg.io/bw4/10.png,0.1,0.28,1.09,0.3,0.2,,,,,,0.38,0.51,2.99,2.8,,,,,,,,,,,
010.jpg,bw4-11,Growlithe,Pokémon,Fire,Next Destinies,11,Common,https://images.pokemontcg.io/bw4/11_hires.png,https://images.pokemontcg.io/bw4/11.png,0.1,0.25,1.0,0.25,0.11,,,,,,0.25,0.79,5.05,0.9,,,,,,,,,,,
011.jpg,bw4-12,Arcanine,Pokémon,Fire,Next Destinies,12,Rare,https://images.pokemontcg.io/bw4/12_hires.png,https://images.pokemontcg.io/bw4/12.png,0.3,0.79,1.73,0.57,0.39,,,,,,0.4,0.99,2.99,1.02,1.76,,,,,,,,,,
012.jpg,bw4-13,Arcanine,Pokémon,Fire,Next Destinies,13,Uncommon,https://images.pokemontcg.io/bw4/13_hires.png,https://images.pokemontcg.io/bw4/13.png,0.21,0.38,1.99,0.37,0.26,,,,,,0.3,0.99,5.24,0.7,0.49,,,,,,,,,,
013.jpg,bw4-14,Moltres,Pokémon,Fire,Next Destinies,14,Rare Holo,https://images.pokemontcg.io/bw4/14_hires.png,https://images.pokemontcg.io/bw4/14.png,,,,,,0.95,2.02,99.99,3.24,0.99,1.0,2.12,3.66,3.26,1.29,,,,,,,,,,
014.jpg,bw4-15,Pansear,Pokémon,Fire,Next Destinies,15,Common,https://images.pokemontcg.io/bw4/15_hires.png,https://images.pokemontcg.io/bw4/15.png,0.1,0.25,0.55,0.12,0.15,,,,,,0.3,0.49,1.25,0.36,0.33,,,,,,,,,,
015.jpg,bw4-16,Simisear,Pokémon,Fire,Next Destinies,16,Rare,https://images.pokemontcg.io/bw4/16_hires.png,https://images.pokemontcg.io/bw4/16.png,0.25,0.46,1.07,0.26,,,,,,,0.25,0.52,1.99,0.09,0.25,,,,,,,,,,
016.jpg,bw4-17,Darumaka,Pokémon,Fire,Next Destinies,17,Common,https://images.pokemontcg.io/bw4/17_hires.png,https://images.pokemontcg.io/bw4/17.png,0.05,0.25,0.99,0.15,0.12,,,,,,0.2,0.48,2.0,0.31,,,,,,,,,,,
017.jpg,bw4-18,Litwick,Pokémon,Fire,Next Destinies,18,Common,https://images.pokemontcg.io/bw4/18_hires.png,https://images.pokemontcg.io/bw4/18.png,0.05,0.25,1.0,0.14,0.1,,,,,,0.3,0.44,1.04,0.48,0.35,,,,,,,,,,
018.jpg,bw4-19,Lampent,Pokémon,Fire,Next Destinies,19,Uncommon,https://images.pokemontcg.io/bw4/19_hires.png,https://images.pokemontcg.io/bw4/19.png,0.05,0.25,1.0,0.12,,,,,,,0.1,0.42,1.25,0.28,0.25,,,,,,,,,,
019.jpg,bw4-20,Chandelure,Pokémon,Fire,Next Destinies,20,Rare Holo,https://images.pokemontcg.io/bw4/20_hires.png,https://images.pokemontcg.io/bw4/20.png,,,,,,0.23,0.73,3.23,0.73,0.54,0.45,0.99,3.99,0.8,0.8,,,,,,,,,,
